Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,461.12,477.76,460.36,469.39,2490171
02/05/2024 16:00:00,474.3,477.16,468.3,476.57,2516422
03/05/2024 16:00:00,482.27,487.49,477.57,486.18,2833186
06/05/2024 16:00:00,490.1,495.44,488,493.59,2104030
07/05/2024 16:00:00,492.51,496.76,489.14,492.27,2518346
08/05/2024 16:00:00,489.97,495.81,486.92,488.1,2165021
09/05/2024 16:00:00,489.41,490.44,481.65,482.65,2301635
10/05/2024 16:00:00,483.5,489.48,480.3,482.29,2741116
13/05/2024 16:00:00,486.24,490.16,481.71,483.11,2458192
14/05/2024 16:00:00,480.41,481.8,466.48,475.95,4287846
15/05/2024 16:00:00,480.76,489.61,476.61,485.35,3491638
16/05/2024 16:00:00,484.7,486.23,481.39,482.88,2562865
17/05/2024 16:00:00,483.32,485.88,481.52,483.43,2261147
20/05/2024 16:00:00,483,485.37,478.32,484.69,1881117
21/05/2024 16:00:00,481.19,487.5,477.12,481.85,1915797
22/05/2024 16:00:00,483.97,485.67,479.14,483.93,1875835
23/05/2024 16:00:00,488.38,491.68,478.69,483.31,2219854
24/05/2024 16:00:00,481.25,485.38,473.9,475.43,3085605
28/05/2024 16:00:00,473.01,478.67,469.6,478.43,2575270
29/05/2024 16:00:00,472.78,482.79,472.6,477.6,2214810
30/05/2024 16:00:00,464.9,466.82,444.84,445.87,5606896
31/05/2024 16:00:00,447.72,448.23,433.97,444.76,7487507
03/06/2024 16:00:00,447.58,449.84,436.58,439.02,3967669
04/06/2024 16:00:00,442.82,450.12,441.59,448.37,3183594
05/06/2024 16:00:00,449.19,458.6,448.37,455.8,3295029
06/06/2024 16:00:00,457.7,467.85,456.87,458.13,3234970
07/06/2024 16:00:00,458.13,468.93,458.13,465.43,2684170
10/06/2024 16:00:00,453.84,462.23,451.51,459.94,3212350
11/06/2024 16:00:00,456.91,462.74,455.5,462.69,2723659
12/06/2024 16:00:00,470,471.12,459.16,459.87,3647447
13/06/2024 16:00:00,457.87,462.39,453.5,458.74,8557963
14/06/2024 16:00:00,530.25,534.45,521.88,525.31,14846614
17/06/2024 16:00:00,525.51,525.94,505.38,518.74,7163820
18/06/2024 16:00:00,514.71,530.37,513.13,522.25,4225943
20/06/2024 16:00:00,527.67,533.23,520.4,522.95,5752373
21/06/2024 16:00:00,530.31,535,524.72,533.44,6614086
24/06/2024 16:00:00,532.1,534.58,523.48,524.17,3067824
25/06/2024 16:00:00,526.2,529.68,522.24,526.88,3144202
26/06/2024 16:00:00,528.58,530.66,526.01,528.66,2931667
27/06/2024 16:00:00,533.21,549.16,532.1,546.76,4734063
28/06/2024 16:00:00,549.7,558.48,548.01,555.54,5084543
01/07/2024 16:00:00,551.37,561.21,549.73,560.01,3070159
02/07/2024 16:00:00,560,570.14,560,567.71,3054491
03/07/2024 13:05:00,564.29,571.83,564,570.15,1664373
05/07/2024 16:00:00,570.91,580.55,568.92,578.34,2808635
08/07/2024 16:00:00,573.18,576.75,563.92,575.4,3007422
09/07/2024 16:00:00,573.05,575.01,562.46,566.02,2169020
10/07/2024 16:00:00,564.71,566.93,558.21,564.55,2368443
11/07/2024 16:00:00,564,572.62,557.09,557.63,3191358
12/07/2024 16:00:00,555.1,562.49,552.32,559.05,2013985
15/07/2024 16:00:00,560.23,568.23,560.23,565.71,1887763
16/07/2024 16:00:00,564.6,570.1,562.08,566.54,1539875
17/07/2024 16:00:00,563.93,565,556.46,563.09,2316265
18/07/2024 16:00:00,564.18,564.26,556.07,556.85,2184657
19/07/2024 16:00:00,557.05,561.09,548.96,551,2601942
22/07/2024 16:00:00,558.65,560.19,552.71,554.82,2391696
23/07/2024 16:00:00,556.49,557.25,544.44,546.01,2363881
24/07/2024 16:00:00,543.8,544.71,530.35,531.04,2630081
25/07/2024 16:00:00,536.8,542.28,527.59,532.15,2136496
26/07/2024 16:00:00,535.35,545.5,533.33,542.44,2090007
29/07/2024 16:00:00,544.3,544.3,535.19,536.61,1590551
30/07/2024 16:00:00,541.85,543.67,530.95,538.71,1566875
31/07/2024 16:00:00,547.05,555.55,543.77,551.65,2776002
01/08/2024 16:00:00,549.99,561.98,540.24,546.41,2075410
02/08/2024 16:00:00,535.78,536.84,519.68,526.17,2729113
05/08/2024 16:00:00,504.23,515.9,500,509.32,3432155
06/08/2024 16:00:00,513.69,519.16,509.01,514.2,2076327
07/08/2024 16:00:00,520.95,531.01,512.86,513.62,1663682
08/08/2024 16:00:00,520.59,531.07,519.56,530.24,2155115
09/08/2024 16:00:00,528.02,537.28,528.02,536.3,1272635
12/08/2024 16:00:00,536.04,538.08,525.77,530.93,1450410
13/08/2024 16:00:00,530.93,537.72,527.9,535.22,3063918
14/08/2024 16:00:00,536.62,542.92,533.2,539.79,1915589
15/08/2024 16:00:00,545.19,557.22,545.01,554.16,2182382
16/08/2024 16:00:00,552.35,554.76,547.8,553.46,1541726
19/08/2024 16:00:00,550.59,563.77,550.59,563.12,1423293
20/08/2024 16:00:00,564.48,568.18,559.61,562.25,1219609
21/08/2024 16:00:00,562.13,566.6,557.91,565.79,1401708
22/08/2024 16:00:00,567.07,572,555.65,557.44,1627658
23/08/2024 16:00:00,565.45,566.52,552.5,558.3,2023465
26/08/2024 16:00:00,555.03,560.26,555.03,559.44,1387479
27/08/2024 16:00:00,554.4,569.52,554.34,567.82,1404415
28/08/2024 16:00:00,568.22,569.59,557.67,560.54,1289699
29/08/2024 16:00:00,567.05,578.4,567.05,569.63,1955588
30/08/2024 16:00:00,572.2,575.65,568.29,574.41,1982970
03/09/2024 16:00:00,576.3,586.7,566.79,571.04,2757929
04/09/2024 16:00:00,568.87,578.86,565.76,575.25,1615787
05/09/2024 16:00:00,570.75,573.39,562.53,567.93,1573571
06/09/2024 16:00:00,570.9,573.31,558,563.41,2096790
09/09/2024 16:00:00,567.69,574.57,564.44,569.88,1997121
10/09/2024 16:00:00,576.75,577.8,567.14,574.48,2030076
11/09/2024 16:00:00,573.01,581.24,559.35,580.38,2680977
12/09/2024 16:00:00,581.45,587.75,572.98,586.55,5605338
13/09/2024 16:00:00,532.57,540.27,526.6,536.87,10423510
16/09/2024 16:00:00,537.4,537.69,521.26,521.5,5248205
17/09/2024 16:00:00,524.29,527.1,514.58,515.03,5164089
18/09/2024 16:00:00,517.01,517.58,506.49,508.13,3997267
19/09/2024 16:00:00,518.81,527.48,518.02,526.44,3582532
20/09/2024 16:00:00,526.44,528.63,515.72,522.3,6100685
23/09/2024 16:00:00,525.71,532,524.96,527.87,2106995
24/09/2024 16:00:00,527.72,530.3,521.71,524.07,2842054
25/09/2024 16:00:00,526.02,526.18,516.24,517.9,3211612
26/09/2024 16:00:00,520.51,521.36,512.11,515.38,3282437
27/09/2024 16:00:00,516.52,516.68,512.3,515.48,2718323
30/09/2024 16:00:00,513.83,518.47,511.74,517.78,2588151
01/10/2024 16:00:00,517.45,519,502.5,502.8,3730026
02/10/2024 16:00:00,503.87,510.19,502.82,505.81,1981848
03/10/2024 16:00:00,501.02,509.81,498.59,503.8,1921604
