Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,181.64,185.15,176.56,179,94645148
02/05/2024 16:00:00,180.85,185.1,179.91,184.72,54303510
03/05/2024 16:00:00,186.99,187.87,185.42,186.21,39172004
06/05/2024 16:00:00,186.28,188.75,184.8,188.7,34725295
07/05/2024 16:00:00,188.92,189.94,187.31,188.76,34048902
08/05/2024 16:00:00,187.44,188.43,186.39,188,26136350
09/05/2024 16:00:00,188.88,191.7,187.44,189.5,43368377
10/05/2024 16:00:00,189.16,189.89,186.93,187.48,34141771
13/05/2024 16:00:00,188,188.31,185.36,186.57,24898613
14/05/2024 16:00:00,183.82,187.72,183.45,187.07,38698155
15/05/2024 16:00:00,185.97,186.72,182.73,185.99,75459927
16/05/2024 16:00:00,185.6,187.31,183.46,183.63,38834450
17/05/2024 16:00:00,183.76,185.3,183.35,184.7,33175655
20/05/2024 16:00:00,184.34,186.67,183.28,183.54,30511768
21/05/2024 16:00:00,182.3,183.26,180.75,183.15,50839129
22/05/2024 16:00:00,183.88,185.22,181.97,183.13,28148784
23/05/2024 16:00:00,183.66,184.76,180.08,181.05,33670173
24/05/2024 16:00:00,181.65,182.44,180.3,180.75,27471640
28/05/2024 16:00:00,179.93,182.24,179.49,182.15,29926963
29/05/2024 16:00:00,181.7,184.08,181.55,182.02,32009294
30/05/2024 16:00:00,181.31,181.34,178.36,179.32,29249229
31/05/2024 16:00:00,178.3,179.21,173.87,176.44,58903939
03/06/2024 16:00:00,177.7,178.7,175.92,178.34,30786640
04/06/2024 16:00:00,177.64,179.82,176.44,179.34,27198388
05/06/2024 16:00:00,180.1,181.5,178.75,181.28,32116394
06/06/2024 16:00:00,181.75,185,181.49,185,31371151
07/06/2024 16:00:00,184.9,186.29,183.36,184.3,28021473
10/06/2024 16:00:00,184.07,187.23,183.79,187.06,34494498
11/06/2024 16:00:00,187.06,187.77,184.54,187.23,27265108
12/06/2024 16:00:00,188.02,188.35,185.43,186.89,33984216
13/06/2024 16:00:00,186.09,187.67,182.67,183.83,39721545
14/06/2024 16:00:00,183.08,183.72,182.23,183.66,25456410
17/06/2024 16:00:00,182.52,185,181.22,184.06,35601907
18/06/2024 16:00:00,183.74,184.29,181.43,182.81,36659157
20/06/2024 16:00:00,182.91,186.51,182.72,186.1,44726779
21/06/2024 16:00:00,187.8,189.28,185.86,189.08,72931754
24/06/2024 16:00:00,189.33,191,185.33,185.57,50610379
25/06/2024 16:00:00,186.81,188.84,185.42,186.34,45898475
26/06/2024 16:00:00,186.92,194.8,186.26,193.61,65103893
27/06/2024 16:00:00,195.01,199.84,194.2,197.85,74397491
28/06/2024 16:00:00,197.73,198.85,192.5,193.25,76930192
01/07/2024 16:00:00,193.49,198.3,192.82,197.2,41192011
02/07/2024 16:00:00,197.28,200.43,195.93,200,45600013
03/07/2024 13:05:00,199.94,200.03,196.76,197.59,31597926
05/07/2024 16:00:00,198.65,200.55,198.17,200,39858885
08/07/2024 16:00:00,200.04,201.2,197.96,199.29,34767261
09/07/2024 16:00:00,199.4,200.57,199.05,199.34,32756736
10/07/2024 16:00:00,200,200.11,197.69,199.79,32883753
11/07/2024 16:00:00,200.09,200.27,192.86,195.05,44565041
12/07/2024 16:00:00,194.8,196.47,193.83,194.49,30598525
15/07/2024 16:00:00,194.56,196.19,190.83,192.72,40683227
16/07/2024 16:00:00,195.59,196.62,192.24,193.02,33994714
17/07/2024 16:00:00,191.35,191.58,185.99,187.93,48076139
18/07/2024 16:00:00,189.59,189.68,181.45,183.75,51043626
19/07/2024 16:00:00,181.14,184.93,180.11,183.13,43081829
22/07/2024 16:00:00,185,185.06,182.48,182.55,39931923
23/07/2024 16:00:00,184.1,189.39,183.56,186.41,47537670
24/07/2024 16:00:00,183.2,185.45,180.41,180.83,41532360
25/07/2024 16:00:00,182.91,183.9,176.8,179.85,44464163
26/07/2024 16:00:00,180.39,183.19,180.24,182.5,29505964
29/07/2024 16:00:00,183.84,184.75,182.38,183.2,33270123
30/07/2024 16:00:00,184.72,185.86,179.38,181.71,39508574
31/07/2024 16:00:00,185.05,187.94,184.46,186.98,41667326
01/08/2024 16:00:00,189.29,190.6,181.87,184.07,70435635
02/08/2024 16:00:00,166.75,168.77,160.55,167.9,141448365
05/08/2024 16:00:00,154.21,162.96,151.61,161.02,83149437
06/08/2024 16:00:00,161.71,165.08,158.54,161.93,59950830
07/08/2024 16:00:00,166.55,167.58,161.43,162.77,48408240
08/08/2024 16:00:00,165.17,166.69,162.55,165.8,44616206
09/08/2024 16:00:00,166.4,168.55,165.85,166.94,36401049
12/08/2024 16:00:00,168.14,168.55,166.11,166.8,30072788
13/08/2024 16:00:00,167.81,171.04,167.1,170.23,39237915
14/08/2024 16:00:00,172.11,172.28,168.86,170.1,28843804
15/08/2024 16:00:00,174.86,177.91,173.99,177.59,51698513
16/08/2024 16:00:00,177.04,178.34,176.26,177.06,31489175
19/08/2024 16:00:00,177.64,178.3,176.16,178.22,31129807
20/08/2024 16:00:00,177.92,179.01,177.43,178.88,26255204
21/08/2024 16:00:00,179.92,182.39,178.89,180.11,35599120
22/08/2024 16:00:00,181.38,181.47,175.68,176.13,32047482
23/08/2024 16:00:00,177.34,178.97,175.24,177.04,29150091
26/08/2024 16:00:00,176.7,177.47,174.3,175.5,22366236
27/08/2024 16:00:00,174.15,174.89,172.25,173.12,29841979
28/08/2024 16:00:00,173.69,173.69,168.92,170.8,29045025
29/08/2024 16:00:00,173.22,174.29,170.81,172.12,26407815
30/08/2024 16:00:00,172.78,178.9,172.6,178.5,43429355
03/09/2024 16:00:00,177.55,178.26,175.26,176.25,37817511
04/09/2024 16:00:00,174.48,175.98,172.54,173.33,30309225
05/09/2024 16:00:00,175,179.88,175,177.89,40170526
06/09/2024 16:00:00,177.24,178.38,171.16,171.39,41466537
09/09/2024 16:00:00,174.53,175.85,173.51,175.4,29037362
10/09/2024 16:00:00,177.49,180.5,176.79,179.55,36233796
11/09/2024 16:00:00,180.1,184.99,175.73,184.52,42564698
12/09/2024 16:00:00,184.8,187.41,183.54,187,33622483
13/09/2024 16:00:00,187,188.5,185.91,186.49,26495351
16/09/2024 16:00:00,185.29,185.81,183.36,184.89,26065485
17/09/2024 16:00:00,186.85,189.45,186.14,186.88,26091682
18/09/2024 16:00:00,186.45,188.8,185.06,186.43,34448130
19/09/2024 16:00:00,190.04,190.99,188.47,189.87,39543168
20/09/2024 16:00:00,190.23,191.84,187.41,191.6,100378553
23/09/2024 16:00:00,191.64,194.45,190.57,193.88,36993111
24/09/2024 16:00:00,194.27,195.37,190.13,193.96,43478926
25/09/2024 16:00:00,193.75,193.95,192.16,192.53,26391144
26/09/2024 16:00:00,194.31,194.53,189.54,191.16,36334854
27/09/2024 16:00:00,190.68,190.9,187.34,187.97,36002316
30/09/2024 16:00:00,187.14,188.49,184.65,186.33,41680400
01/10/2024 16:00:00,184.9,186.19,183.45,185.13,36044906
02/10/2024 16:00:00,184.44,186.6,184.04,184.76,23704056
03/10/2024 16:00:00,183.05,183.44,180.88,181.96,30204302
04/10/2024 16:00:00,185.75,187.6,183.6,186.51,41079011
07/10/2024 16:00:00,182.95,183.6,180.25,180.8,42364201
08/10/2024 16:00:00,181.92,183.09,180.92,182.72,26372086
09/10/2024 16:00:00,182.82,185.85,182.05,185.17,26343117
10/10/2024 16:00:00,187.13,188.13,185.83,186.65,27785043
11/10/2024 16:00:00,186.63,189.93,186.3,188.82,25751557
14/10/2024 16:00:00,189.78,189.83,187.36,187.54,22614407
15/10/2024 16:00:00,187.63,188.41,184.58,187.69,32178925
16/10/2024 16:00:00,187.05,187.78,185.61,186.89,23456812
17/10/2024 16:00:00,188.22,188.94,186,187.53,25039414
18/10/2024 16:00:00,187.15,190.74,186.28,188.99,37417670
21/10/2024 16:00:00,188.05,189.46,186.4,189.07,24639393
22/10/2024 16:00:00,188.35,191.52,186.98,189.7,29650593
23/10/2024 16:00:00,188.85,189.16,183.69,184.71,31937089
24/10/2024 16:00:00,185.25,187.11,183.86,186.38,21647395
25/10/2024 16:00:00,187.85,190.45,187.53,187.83,29362060
28/10/2024 16:00:00,189.57,190.21,188.21,188.39,27930836
29/10/2024 16:00:00,188.58,191.46,187.82,190.83,35690158
30/10/2024 16:00:00,194.7,195.61,192.42,192.73,37707550
31/10/2024 16:00:00,190.51,190.6,185.23,186.4,75146759
01/11/2024 16:00:00,199,200.5,197.02,197.93,99687847
04/11/2024 16:00:00,196.45,197.33,194.31,195.78,38492062
05/11/2024 16:00:00,196.04,199.82,195.99,199.5,30564784
06/11/2024 16:00:00,200.01,207.55,199.14,207.09,72292167
07/11/2024 16:00:00,207.44,212.25,207.19,210.05,52878383
08/11/2024 16:00:00,209.72,209.96,207.44,208.18,36075846
11/11/2024 16:00:00,208.5,209.65,205.59,206.84,35456012
12/11/2024 16:00:00,208.37,209.54,206.01,208.91,38942918
13/11/2024 16:00:00,209.4,215.09,209.14,214.1,46212943
14/11/2024 16:00:00,214.16,215.9,210.88,211.48,42620309
15/11/2024 16:00:00,206.76,207.34,199.61,202.61,86591144
18/11/2024 16:00:00,204.15,204.67,200.95,201.7,36512465
19/11/2024 16:00:00,199.33,205.3,198.78,204.61,31197867
20/11/2024 16:00:00,202.98,203.13,199.45,202.88,32768989
21/11/2024 16:00:00,203.49,203.49,195.75,198.38,58800042
22/11/2024 16:00:00,198.25,199.26,196.75,197.12,31530844
25/11/2024 16:00:00,199.28,201.95,199,201.45,40685672
26/11/2024 16:00:00,201.9,208,201.79,207.86,41673737
27/11/2024 16:00:00,206.98,207.64,205.05,205.74,28061638
29/11/2024 13:05:00,205.83,208.2,204.59,207.89,24892447
02/12/2024 16:00:00,209.96,212.99,209.51,210.71,39523185
03/12/2024 16:00:00,210.31,214.02,209.65,213.44,32214828
04/12/2024 16:00:00,215.96,220,215.75,218.16,48745716
05/12/2024 16:00:00,218.03,222.15,217.3,220.55,41140220
06/12/2024 16:00:00,220.75,227.15,220.6,227.03,44178069
09/12/2024 16:00:00,227.21,230.08,225.67,226.09,46819363
10/12/2024 16:00:00,226.09,229.06,224.2,225.04,404897
11/12/2024 16:00:00,226.41,231.2,226.26,230.26,35385785
12/12/2024 16:00:00,229.83,231.09,227.63,228.97,28204084
13/12/2024 16:00:00,228.4,230.2,225.86,227.46,28768080
16/12/2024 16:00:00,230.23,233,228.01,232.93,37552096
17/12/2024 16:00:00,232.39,232.73,227.85,231.15,35948131
18/12/2024 16:00:00,230.77,231.4,220.11,220.52,43281443
19/12/2024 16:00:00,224.91,226.09,222.92,223.29,39918739
20/12/2024 16:00:00,219.84,226.21,218.73,224.92,88279184
23/12/2024 16:00:00,225.01,226.88,223.9,225.06,28070007
24/12/2024 13:05:00,226.94,229.14,226.13,229.05,15007497
26/12/2024 16:00:00,228.5,228.5,226.67,227.05,16174500
27/12/2024 16:00:00,225.6,226.03,220.9,223.75,27367147
30/12/2024 16:00:00,220.06,223,218.43,221.3,28321240
31/12/2024 16:00:00,222.97,223.23,218.94,219.39,24819655
02/01/2025 16:00:00,222.03,225.15,218.19,220.22,33956579
03/01/2025 16:00:00,222.51,225.36,221.62,224.19,27515606
06/01/2025 16:00:00,226.78,228.84,224.84,227.61,31849831
07/01/2025 16:00:00,227.9,228.38,221.46,222.11,28084164
08/01/2025 16:00:00,223.19,223.52,220.2,222.13,25033292
10/01/2025 16:00:00,221.46,221.71,216.5,218.94,36811525
13/01/2025 16:00:00,218.06,219.4,216.47,218.46,27262655
14/01/2025 16:00:00,220.44,221.82,216.2,217.76,24711650
15/01/2025 16:00:00,222.83,223.57,220.75,223.35,31291257
16/01/2025 16:00:00,224.42,224.65,220.31,220.66,24757276
17/01/2025 16:00:00,225.84,226.51,223.08,225.94,42370123
21/01/2025 16:00:00,228.9,231.78,226.94,230.71,39951456
22/01/2025 16:00:00,232.02,235.44,231.19,235.01,41448217
23/01/2025 16:00:00,234.1,235.52,231.51,235.42,26404364
24/01/2025 16:00:00,234.5,236.4,232.93,234.85,25890738
27/01/2025 16:00:00,226.21,235.61,225.86,235.42,49428332
28/01/2025 16:00:00,234.29,241.77,233.98,238.15,41587188
29/01/2025 16:00:00,239.02,240.39,236.15,237.07,26091716
30/01/2025 16:00:00,237.14,237.95,232.22,234.64,32020728
31/01/2025 16:00:00,236.5,240.29,236.41,237.68,36162377
03/02/2025 16:00:00,234.06,239.25,232.9,237.42,37285868
04/02/2025 16:00:00,239.01,242.52,238.03,242.06,29713812
05/02/2025 16:00:00,237.02,238.32,235.2,236.17,38832042
06/02/2025 16:00:00,238.01,239.66,236.01,238.83,60897095
07/02/2025 16:00:00,232.5,234.81,228.06,229.15,77539276
10/02/2025 16:00:00,230.55,233.92,229.2,233.14,35419926
11/02/2025 16:00:00,231.92,233.44,230.13,232.76,23713726
12/02/2025 16:00:00,230.46,231.18,228.16,228.93,32285249
13/02/2025 16:00:00,228.85,230.42,227.52,230.37,31346512
14/02/2025 16:00:00,229.2,229.89,227.23,228.68,27031084
18/02/2025 16:00:00,228.82,229.3,223.72,226.65,42975133
19/02/2025 16:00:00,225.52,226.83,223.71,226.63,28566709
20/02/2025 16:00:00,224.78,225.13,221.81,222.88,30001665
21/02/2025 16:00:00,223.28,223.31,214.74,216.58,55323850
24/02/2025 16:00:00,217.45,217.72,212.42,212.71,42387585
25/02/2025 16:00:00,211.63,213.34,204.16,212.8,58957977
26/02/2025 16:00:00,214.94,218.16,213.09,214.35,39120603
27/02/2025 16:00:00,218.35,219.97,208.37,208.74,40548571
28/02/2025 16:00:00,208.65,212.62,206.99,212.28,51771737
03/03/2025 16:00:00,213.35,214.01,202.55,205.02,42948447
04/03/2025 16:00:00,200.11,206.8,197.43,203.8,60853084
05/03/2025 16:00:00,204.8,209.98,203.26,208.36,38610085
06/03/2025 16:00:00,204.4,205.77,198.3,200.7,49863755
07/03/2025 16:00:00,199.49,202.27,192.53,199.25,59802821
10/03/2025 16:00:00,195.6,196.73,190.85,194.54,62350926
11/03/2025 16:00:00,193.9,200.18,193.4,196.59,54002880
12/03/2025 16:00:00,200.72,201.52,195.29,198.89,43679284
13/03/2025 16:00:00,198.17,198.88,191.82,193.89,41270761
14/03/2025 16:00:00,197.41,198.65,195.32,197.95,38096663
17/03/2025 16:00:00,198.77,199,194.32,195.74,47341752
18/03/2025 16:00:00,192.52,194,189.38,192.82,40414867
