Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,396.61,402.32,396.35,398.58,2606198
02/05/2024 16:00:00,401,401.56,397.88,400.6,2679740
03/05/2024 16:00:00,404.5,404.5,399.21,400.87,4130994
06/05/2024 16:00:00,403.96,405.15,399.26,404.92,3920908
07/05/2024 16:00:00,406.93,407.26,403.61,406.14,3085702
08/05/2024 16:00:00,406.47,407.23,403.75,406.37,2399639
09/05/2024 16:00:00,406.25,408.87,405.46,408.82,2358862
10/05/2024 16:00:00,409.85,412.38,409.2,412.05,3087837
13/05/2024 16:00:00,414.06,414.3,410.19,411.22,2711154
14/05/2024 16:00:00,410.45,411.56,408.17,410.24,2674407
15/05/2024 16:00:00,410.51,413.4,410.1,412.76,2857594
16/05/2024 16:00:00,413.8,416.34,412.91,413.12,3550693
17/05/2024 16:00:00,413.98,417.33,413.7,416.94,2990028
20/05/2024 16:00:00,417.04,417.28,412.62,413,3292715
21/05/2024 16:00:00,413.59,415.7,412.56,414.37,2740759
22/05/2024 16:00:00,414.95,417.26,412.96,413.99,2673507
23/05/2024 16:00:00,413.25,413.25,404.87,405.88,3398121
24/05/2024 16:00:00,406.9,407.96,405.5,407.41,2068921
28/05/2024 16:00:00,408.24,408.24,401.87,403.9,3321863
29/05/2024 16:00:00,403,405.87,401.58,404.09,3428787
30/05/2024 16:00:00,403.77,409.04,402.77,408.61,2907090
31/05/2024 16:00:00,408.09,415.4,406.88,414.4,5197520
03/06/2024 16:00:00,414.89,416.72,408.78,414.79,4905810
04/06/2024 16:00:00,414.85,415.89,406.44,409.53,4157980
05/06/2024 16:00:00,410.1,410.28,405.77,409.85,2643906
06/06/2024 16:00:00,410.42,411.24,407.38,411.08,3447914
07/06/2024 16:00:00,411.28,415.88,409.85,413.72,2943072
10/06/2024 16:00:00,413.34,413.94,409.27,410.81,2668443
11/06/2024 16:00:00,408.88,408.91,406.11,408.5,3610600
12/06/2024 16:00:00,411.09,411.89,407.16,408.77,3554031
13/06/2024 16:00:00,407.63,408,403.57,405.92,4566105
14/06/2024 16:00:00,404.9,406.34,403.33,405.54,2772449
17/06/2024 16:00:00,405.18,407.82,403.55,407.32,3408255
18/06/2024 16:00:00,406.75,408.5,405.28,407.95,4006848
20/06/2024 16:00:00,407.25,411,404.05,409.15,4845563
21/06/2024 16:00:00,409.82,410.47,407.68,409.62,9012935
24/06/2024 16:00:00,410.7,417,410,413.98,4935716
25/06/2024 16:00:00,414,414.25,409.62,410.97,3883522
26/06/2024 16:00:00,410.02,410.68,407.25,410.26,3335507
27/06/2024 16:00:00,410.26,410.26,406.34,407.95,3220281
28/06/2024 16:00:00,408.25,410.05,405.79,406.8,6820908
01/07/2024 16:00:00,408.09,409.67,403.82,405.19,2976899
02/07/2024 16:00:00,404.02,407.39,403.92,407.1,3221572
03/07/2024 13:00:00,407.16,407.16,404.22,405.77,1970259
05/07/2024 16:00:00,406.24,411.4,405.03,411.17,5153464
08/07/2024 16:00:00,411.27,413.79,408,409.08,3559529
09/07/2024 16:00:00,409.42,413.71,408.64,410.52,2990262
10/07/2024 16:00:00,410.81,413.96,409.4,413.79,3791805
11/07/2024 16:00:00,413.99,419.2,412,418.78,4073570
12/07/2024 16:00:00,420.23,427.45,419.7,424.44,4834635
15/07/2024 16:00:00,425.59,434.71,425.3,434.42,4594912
16/07/2024 16:00:00,437.4,439.05,434.02,438.9,4293707
17/07/2024 16:00:00,437.85,446.15,437.84,445.61,4776601
18/07/2024 16:00:00,445.62,449.25,439.57,441.82,4638333
19/07/2024 16:00:00,442.67,442.8,433.35,434.47,4158849
22/07/2024 16:00:00,435.05,438.11,432.12,435.98,2995689
23/07/2024 16:00:00,437.34,437.92,433.47,434.01,2393018
24/07/2024 16:00:00,433.99,435.41,430.73,432.8,3143717
25/07/2024 16:00:00,431.6,439.63,431.6,433.29,3334269
26/07/2024 16:00:00,435.66,439,434.1,437.66,2717621
29/07/2024 16:00:00,438.01,439.44,435.49,438.31,2619986
30/07/2024 16:00:00,439.51,443.89,439.14,441.26,3736411
31/07/2024 16:00:00,439.85,440.85,437.74,438.5,3798765
01/08/2024 16:00:00,439.67,440.61,430.95,431.81,3892292
02/08/2024 16:00:00,429.77,436.25,423.49,428.36,4251527
05/08/2024 16:00:00,413.43,417.82,406.11,413.72,7695125
06/08/2024 16:00:00,416.41,427.46,415.1,422.14,5138707
07/08/2024 16:00:00,426.07,433.17,425.6,427.02,4745587
08/08/2024 16:00:00,429.24,432.26,427.6,431.54,3149984
09/08/2024 16:00:00,431.92,434.75,430.21,431.67,2602645
12/08/2024 16:00:00,434.16,434.16,429.01,430.39,2376042
13/08/2024 16:00:00,431.83,432.81,425.9,432.41,3471965
14/08/2024 16:00:00,433,438.98,431.71,438.47,2860174
15/08/2024 16:00:00,441.8,442.59,438.72,440.84,3226437
16/08/2024 16:00:00,441.55,445.2,440.45,444.51,3344974
19/08/2024 16:00:00,446.01,450.45,445.73,448.77,3385343
20/08/2024 16:00:00,449.3,450.5,446.38,448.36,2906497
21/08/2024 16:00:00,449.84,451.28,443.84,446.6,3028530
22/08/2024 16:00:00,446.3,449.6,444.65,449.03,3502793
23/08/2024 16:00:00,450,453.72,448.81,453.38,2805379
26/08/2024 16:00:00,455.31,459.27,453.34,454.49,3578262
27/08/2024 16:00:00,455.94,462.1,454.62,460.63,3764691
28/08/2024 16:00:00,461.17,466.6,460.78,464.59,4838124
29/08/2024 16:00:00,467.11,469.85,463,468.37,4459412
30/08/2024 16:00:00,470.52,476.95,470,475.92,7465778
03/09/2024 16:00:00,475,482.89,473.72,476.83,7511879
04/09/2024 16:00:00,478.68,484.82,474.22,478.57,5316318
05/09/2024 16:00:00,479.43,479.43,462.88,464.92,6213155
06/09/2024 16:00:00,463.82,468.17,458.55,459.42,4400294
09/09/2024 16:00:00,463.97,466,459.26,459.61,4571041
10/09/2024 16:00:00,461.82,464.32,456.21,458.92,3544103
11/09/2024 16:00:00,457.62,457.62,445.25,453.1,5772729
12/09/2024 16:00:00,454.84,455,449.27,450.87,3855713
13/09/2024 16:00:00,451.58,452.43,447.21,447.61,3882598
16/09/2024 16:00:00,448.8,452.99,448.34,451.78,3264367
17/09/2024 16:00:00,453.5,461.1,453.29,456.68,3824256
18/09/2024 16:00:00,458.08,459.84,454.88,456.6,3065217
19/09/2024 16:00:00,462,462.19,457.25,459.71,3891344
20/09/2024 16:00:00,457.76,457.95,454.05,455.31,8468764
23/09/2024 16:00:00,457.31,459.65,453.42,454.98,3485083
24/09/2024 16:00:00,454.33,455.6,451.77,454.56,3009852
25/09/2024 16:00:00,454.9,455.81,451.21,452.36,2843311
26/09/2024 16:00:00,452.74,457,451.34,454.18,3262045
27/09/2024 16:00:00,456.04,458.27,455.04,457.47,2727975
30/09/2024 16:00:00,458.4,460.63,454.55,460.26,3637071
01/10/2024 16:00:00,459.11,459.79,454.82,457.41,3043696
02/10/2024 16:00:00,458.7,458.7,454.19,456.67,2803429
03/10/2024 16:00:00,455.47,455.97,450.92,452.96,2564713
04/10/2024 16:00:00,455.01,462.18,453.81,461.97,3093491
07/10/2024 16:00:00,462.34,462.34,452.41,453.5,3222061
08/10/2024 16:00:00,455.96,457.56,452.85,453.8,2234137
09/10/2024 16:00:00,452.75,457.88,452.36,455.9,2206063
10/10/2024 16:00:00,457.5,457.51,452.72,454.93,2375788
11/10/2024 16:00:00,455.9,463.45,455.9,460.21,3243402
14/10/2024 16:00:00,461.92,462,458.1,459.98,2969790
15/10/2024 16:00:00,460.99,466.66,460.51,462.68,3929879
16/10/2024 16:00:00,463.25,466,462.2,465.69,3166265
17/10/2024 16:00:00,466.1,467.84,464.27,465.85,2520903
18/10/2024 16:00:00,467,467,463.25,464.8,5635463
21/10/2024 16:00:00,464.53,465.79,461.68,464.16,3131480
22/10/2024 16:00:00,464.11,465.15,457.6,461.45,3315151
23/10/2024 16:00:00,460.15,463.26,458.75,460.61,3655203
24/10/2024 16:00:00,460.9,461.05,453.96,457.77,3793479
25/10/2024 16:00:00,458.6,459.45,453.03,454.01,2838884
28/10/2024 16:00:00,455.59,459.24,455,458.49,4103359
29/10/2024 16:00:00,458.6,458.92,454.39,454.62,3985180
30/10/2024 16:00:00,454.67,457.67,453.82,454.96,2692082
31/10/2024 16:00:00,455.19,456.84,450.57,450.92,3660308
01/11/2024 16:00:00,451.49,455.12,450.7,452.14,2971342
04/11/2024 16:00:00,450.37,450.7,437.9,442.29,5733184
05/11/2024 16:00:00,442.29,445.23,441.1,445.06,3154357
06/11/2024 16:00:00,461,469.26,459.48,468.9,6906833
07/11/2024 16:00:00,468.27,468.46,460.1,460.13,4237986
08/11/2024 16:00:00,461.98,466.35,459.5,463.41,3541302
11/11/2024 16:00:00,466.01,470.51,464,467.36,4119111
12/11/2024 16:00:00,467.69,468.42,465.15,466.29,4400521
13/11/2024 16:00:00,466.41,468.4,464,468.1,2861709
14/11/2024 16:00:00,468.81,469.45,466,467.7,3777267
15/11/2024 16:00:00,466.74,472.26,465.19,470.28,5817672
18/11/2024 16:00:00,470.98,472.67,468.36,472.2,3358434
19/11/2024 16:00:00,470.77,470.77,465.01,468.86,3656243
20/11/2024 16:00:00,470,470.61,466.11,468.83,3019456
21/11/2024 16:00:00,469.45,474.66,467,472.06,4116801
22/11/2024 16:00:00,472.27,477.44,471.61,476.57,3885177
25/11/2024 16:00:00,479.13,482.5,476.79,477.43,5246561
26/11/2024 16:00:00,478.2,479.4,472.85,478.56,3331974
27/11/2024 16:00:00,481,491.67,480.87,483.08,5359291
29/11/2024 13:00:00,486.01,486.01,482.05,483.02,2969703
02/12/2024 16:00:00,484.8,485.09,474.75,477.33,5031497
03/12/2024 16:00:00,478.16,478.3,468.81,470.19,4931573
04/12/2024 16:00:00,471.09,471.34,466.5,468.32,3941100
05/12/2024 16:00:00,468.78,472.74,468.72,470.57,3320231
06/12/2024 16:00:00,470.58,472.08,467.82,470.5,3270943
09/12/2024 16:00:00,470.6,471.7,463.42,463.87,3748171
10/12/2024 16:00:00,464.42,464.99,459.5,462.49,3648541
11/12/2024 16:00:00,463.33,465.48,458.77,461.39,3876913
12/12/2024 16:00:00,462.16,463.57,458.08,458.63,2571349
13/12/2024 16:00:00,460.51,460.51,457.01,457.9,3474337
16/12/2024 16:00:00,459.17,460.42,454.58,455.2,4513980
17/12/2024 16:00:00,454.7,456.62,452.06,455.66,5057506
18/12/2024 16:00:00,457.06,458.73,446.09,446.59,4361857
19/12/2024 16:00:00,451.73,453.8,448.89,449.34,4645222
20/12/2024 16:00:00,449.11,458.65,447.19,453.2,12943914
23/12/2024 16:00:00,453.19,454.55,449.82,454.35,3836007
24/12/2024 13:00:00,455.41,458.99,454.07,458.66,1761174
26/12/2024 16:00:00,457.27,459.48,455.8,459.08,2160799
27/12/2024 16:00:00,457.3,461.13,454.48,456.51,3237722
30/12/2024 16:00:00,454.25,454.69,449.18,452.16,2831375
31/12/2024 16:00:00,452.21,454.33,451.11,453.28,3380714
02/01/2025 16:00:00,455.96,456.89,450.03,451.1,3751194
03/01/2025 16:00:00,452.53,454.53,450.12,453.56,2887160
06/01/2025 16:00:00,453.85,456.24,450.57,451.41,4072913
07/01/2025 16:00:00,452.8,456.52,451.1,452.92,3507166
08/01/2025 16:00:00,453.63,454,449.63,451.84,3933259
10/01/2025 16:00:00,452.66,453,440.1,442.66,5471869
13/01/2025 16:00:00,442.04,445,441.15,443.91,3639248
14/01/2025 16:00:00,445.5,450.3,443.92,450.03,4055602
15/01/2025 16:00:00,455.55,459.09,453.27,458.51,4719411
16/01/2025 16:00:00,458.93,462.96,458.3,462.81,3475694
17/01/2025 16:00:00,464.71,470.18,462.45,467.95,6466973
21/01/2025 16:00:00,471,473.17,467.72,468.57,4910195
22/01/2025 16:00:00,468.59,468.89,455.28,460.51,5838478
23/01/2025 16:00:00,461.68,464.76,458,459.83,4424526
24/01/2025 16:00:00,459.2,463.81,457.08,463.19,3070305
27/01/2025 16:00:00,464.9,474.93,464.3,474.7,4535629
28/01/2025 16:00:00,473.93,473.93,469.3,469.97,3261260
29/01/2025 16:00:00,469.88,473.92,468,469.26,2524211
30/01/2025 16:00:00,472.2,474.06,469.15,472.35,2552240
31/01/2025 16:00:00,471.84,472.55,467.01,468.67,5442624
03/02/2025 16:00:00,461.3,466.74,454.6,464.61,4232007
04/02/2025 16:00:00,464.94,467.91,462.7,467.49,3238419
05/02/2025 16:00:00,469.81,474.24,468.89,473.73,3782754
06/02/2025 16:00:00,475.46,478,473.28,477.22,3832693
07/02/2025 16:00:00,477.41,478.25,472.34,472.74,3205136
10/02/2025 16:00:00,473.96,474.2,469.37,470.17,2907341
11/02/2025 16:00:00,470.05,473.05,466.72,472.61,2322610
12/02/2025 16:00:00,470.44,472.15,468.09,471.73,3297561
13/02/2025 16:00:00,471.55,481.19,471.2,480.49,3274693
14/02/2025 16:00:00,481.47,484.55,479.45,479.59,2825755
18/02/2025 16:00:00,480.4,484.06,477.63,482.82,3351014
19/02/2025 16:00:00,482.82,484.72,480.68,483.77,2436465
20/02/2025 16:00:00,484.13,484.2,478.14,481.8,2650957
21/02/2025 16:00:00,480.95,483.64,477.74,478.74,4085076
24/02/2025 16:00:00,483.5,503.96,483.24,498.42,9862446
25/02/2025 16:00:00,503.15,507,491.9,499.82,6757512
26/02/2025 16:00:00,499.12,499.9,493.05,494.1,3543491
27/02/2025 16:00:00,496.45,504.95,495.61,502.41,4507714
28/02/2025 16:00:00,507.46,515.37,504.33,513.83,6850339
03/03/2025 16:00:00,516.22,518.77,506.48,510.08,5112297
04/03/2025 16:00:00,507.27,508.73,493.61,495.86,6126619
05/03/2025 16:00:00,496,500.93,492.32,498.5,4715777
06/03/2025 16:00:00,496.84,499.1,491.63,497.84,3989662
07/03/2025 16:00:00,496.29,498.27,490.11,495.62,3842150
10/03/2025 16:00:00,490,500.45,490,497.1,6261980
11/03/2025 16:00:00,496,499.15,491.31,496.25,5358269
12/03/2025 16:00:00,497.6,498.32,488.75,495.94,3871096
13/03/2025 16:00:00,496.46,507.4,494.75,504.25,5104202
14/03/2025 16:00:00,506.95,515.84,502.92,514.6,5775588
