Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,160.78,161.45,158.9,159.63,7714962
02/05/2024 16:00:00,160.41,161.78,159.89,160.73,8597124
03/05/2024 16:00:00,160.66,160.66,157.04,160.25,11664505
06/05/2024 16:00:00,160.73,164.02,160.73,162.3,8430277
07/05/2024 16:00:00,162.31,163.15,162.02,162.67,6869948
08/05/2024 16:00:00,161.95,163.08,161.54,162.54,6706361
09/05/2024 16:00:00,163.02,165.51,162.73,165.45,6683313
10/05/2024 16:00:00,166.04,166.42,165.02,165.82,5490944
13/05/2024 16:00:00,166.48,166.91,162.98,164.53,6848303
14/05/2024 16:00:00,164.34,165.2,163.02,163.61,4923968
15/05/2024 16:00:00,163.13,163.8,160.17,163.05,7603063
16/05/2024 16:00:00,161.53,162,160.48,161.09,6409418
17/05/2024 16:00:00,161.75,162.97,161.19,162.67,5497919
20/05/2024 16:00:00,162.72,163,161.07,161.14,4913820
21/05/2024 16:00:00,160.58,161.46,159.74,159.97,4783287
22/05/2024 16:00:00,159.52,159.52,156.52,157.57,6260509
23/05/2024 16:00:00,157.92,158.6,156.33,156.94,6718378
24/05/2024 16:00:00,158.08,158.97,157.3,157.75,4477720
28/05/2024 16:00:00,158.12,159.42,157.95,159.04,6928298
29/05/2024 16:00:00,158.02,158.49,156.44,156.9,5909632
30/05/2024 16:00:00,156.85,158.46,156.81,158.26,6371243
31/05/2024 16:00:00,158.63,162.58,158.51,162.3,10334227
03/06/2024 16:00:00,161.49,161.68,156.46,157.46,9009935
04/06/2024 16:00:00,155.72,156.35,154.11,156.13,6360542
05/06/2024 16:00:00,156.16,157.02,154.53,154.98,7058506
06/06/2024 16:00:00,154.5,156.02,153.39,155.93,5215140
07/06/2024 16:00:00,155.71,157.69,155.13,156.08,5887651
10/06/2024 16:00:00,156.41,158.2,156.32,156.74,7075943
11/06/2024 16:00:00,156.17,156.75,154.48,156.49,5132009
12/06/2024 16:00:00,157.49,157.63,152.4,154.22,10017421
13/06/2024 16:00:00,153.77,154.09,152.23,152.84,6163015
14/06/2024 16:00:00,153.13,153.29,151.97,152.57,6159138
17/06/2024 16:00:00,152.5,153.93,151.93,153.19,6321386
18/06/2024 16:00:00,153.55,155.95,152.84,153.33,6942882
20/06/2024 16:00:00,153.71,157.41,153.25,156.64,8336031
21/06/2024 16:00:00,156.8,157.67,155.22,155.28,21292090
24/06/2024 16:00:00,156.27,159.54,156.19,159.31,7971620
25/06/2024 16:00:00,159.12,159.36,157.67,158.46,6056711
