Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,111.29,111.99,110.21,110.48,6346109
02/05/2024 16:00:00,111.43,112.87,110.56,112.62,6799805
03/05/2024 16:00:00,113.54,114.11,112.8,113.66,7411112
06/05/2024 16:00:00,114.8,116.94,114.15,116.47,16303234
07/05/2024 16:00:00,107.25,107.88,104.21,105.39,55084617
08/05/2024 16:00:00,104.9,106.48,104.44,105.44,15238111
09/05/2024 16:00:00,104.62,106.13,104.39,105.8,15095970
10/05/2024 16:00:00,106.92,107.02,105.42,105.79,15884574
13/05/2024 16:00:00,105.59,106.64,105.59,105.83,9666409
14/05/2024 16:00:00,105.3,105.99,104.95,105.35,11278423
15/05/2024 16:00:00,105.62,105.88,101.39,102.77,20745621
16/05/2024 16:00:00,103.04,104.03,102.84,103.37,9476686
17/05/2024 16:00:00,103.63,103.82,103.04,103.25,7355999
20/05/2024 16:00:00,103.33,103.67,102.52,102.9,7667435
21/05/2024 16:00:00,102.99,103.7,102.72,103.01,7333306
22/05/2024 16:00:00,102.98,103.83,102.75,103.02,7190343
23/05/2024 16:00:00,102.98,103.01,100.27,100.66,10503993
24/05/2024 16:00:00,100.85,102.09,100.69,101.76,6451579
28/05/2024 16:00:00,101.36,102.86,100.95,102.44,7813094
29/05/2024 16:00:00,101.76,102.08,100.77,100.88,7376258
30/05/2024 16:00:00,101.14,102.07,100.97,101.7,7303708
31/05/2024 16:00:00,101.52,104.08,101.41,103.91,14735791
03/06/2024 16:00:00,104.17,104.22,102.48,102.77,6908604
04/06/2024 16:00:00,102.11,103.49,101.63,103.33,7269109
05/06/2024 16:00:00,103,103.08,101.03,101.5,10796877
06/06/2024 16:00:00,101.05,101.93,100.81,101.21,10294705
07/06/2024 16:00:00,100.86,102.27,100.55,101.54,6047828
10/06/2024 16:00:00,101.25,102.85,100.64,102.74,7633073
11/06/2024 16:00:00,102.64,102.88,100.74,100.87,9134218
12/06/2024 16:00:00,101.2,101.69,100.25,100.8,9041768
13/06/2024 16:00:00,100.61,101.07,99.61,100.09,10164570
14/06/2024 16:00:00,99.81,100.38,99.25,99.97,7087573
17/06/2024 16:00:00,100.98,101.92,100.62,101.52,10388986
18/06/2024 16:00:00,101.12,101.76,100.61,101.5,7044674
20/06/2024 16:00:00,100.57,101.94,100.38,101.84,7886934
21/06/2024 16:00:00,101.8,102.54,101.59,102.27,14144918
24/06/2024 16:00:00,102.25,103.08,101.91,101.98,7393608
25/06/2024 16:00:00,102.66,103.68,101.77,102.2,10343709
26/06/2024 16:00:00,101.9,102.37,101.43,102.18,10122311
27/06/2024 16:00:00,102.04,102.28,101.81,102.17,8365165
28/06/2024 16:00:00,102.02,102.58,98.38,99.29,21439416
01/07/2024 16:00:00,99.4,99.74,97.88,98.04,15298971
02/07/2024 16:00:00,97.94,97.99,96.95,97.99,13340320
03/07/2024 13:00:00,97.84,99.08,97.83,98.61,5029969
05/07/2024 16:00:00,98.31,98.31,97.58,97.99,8550759
08/07/2024 16:00:00,97.69,98.29,96.89,97.37,8167589
09/07/2024 16:00:00,97.47,97.53,96.15,97.05,9048576
10/07/2024 16:00:00,96.95,97.28,96.25,96.97,7761123
11/07/2024 16:00:00,97.01,97.58,96.3,96.6,7432590
12/07/2024 16:00:00,97.1,97.83,96.98,97.13,6465736
15/07/2024 16:00:00,97.33,97.49,96.6,96.87,7417699
16/07/2024 16:00:00,97.02,98.72,96.54,98.47,10755508
17/07/2024 16:00:00,98.3,98.61,96.53,97.31,9456087
18/07/2024 16:00:00,97.36,98.06,96.68,96.79,7529378
19/07/2024 16:00:00,96.82,96.82,95.44,95.74,9300963
22/07/2024 16:00:00,95.11,95.16,93.49,94.13,13377038
23/07/2024 16:00:00,90.7,91.69,89.83,90.94,22534730
24/07/2024 16:00:00,90.22,90.75,89.58,89.8,11768547
25/07/2024 16:00:00,90.08,90.5,89.21,89.21,10765285
26/07/2024 16:00:00,90,90.55,89.34,89.93,11301857
29/07/2024 16:00:00,90.39,92.55,90.19,92.14,13024847
30/07/2024 16:00:00,91.67,94.04,91.67,93.79,9896054
31/07/2024 16:00:00,93.79,94.84,93.64,93.69,10241834
01/08/2024 16:00:00,93.86,93.95,92.6,93.05,9263596
02/08/2024 16:00:00,92.16,92.2,89,89.57,15433552
05/08/2024 16:00:00,86.89,89.56,86.42,87.78,19103158
06/08/2024 16:00:00,88.23,91.91,87.96,89.97,21717509
07/08/2024 16:00:00,88,89.24,85.75,85.96,30581926
08/08/2024 16:00:00,85.15,86.33,83.91,85.96,21890474
09/08/2024 16:00:00,86.13,86.25,84.71,86.21,16008396
12/08/2024 16:00:00,85.86,86.38,85.48,85.95,11754596
13/08/2024 16:00:00,86.46,86.46,85.31,85.6,14615212
14/08/2024 16:00:00,86.01,86.54,85.56,86.3,9475119
15/08/2024 16:00:00,87.25,88.93,87.21,88.79,12400986
16/08/2024 16:00:00,88.96,89.67,88.34,89.3,10277743
19/08/2024 16:00:00,89.41,90.95,89.41,90.82,9723589
20/08/2024 16:00:00,90.39,90.67,89.31,89.74,8863436
21/08/2024 16:00:00,90.22,90.78,89.43,90.72,7637566
22/08/2024 16:00:00,90.99,91.38,89.7,89.92,7613030
23/08/2024 16:00:00,90.15,90.75,89.68,90.56,7369239
26/08/2024 16:00:00,90.92,91.8,90.92,91.78,8043757
27/08/2024 16:00:00,91.43,91.72,90.75,90.9,7237353
28/08/2024 16:00:00,90.33,90.62,88.76,89.49,8569690
