Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,148.74,151.85,147.62,151.18,14473711
02/05/2024 16:00:00,152.04,152.33,149.14,149.92,8459796
03/05/2024 16:00:00,149.89,149.89,147.82,149.27,6532718
06/05/2024 16:00:00,149.87,150.05,147.91,148.58,5042757
07/05/2024 16:00:00,149.38,149.73,148.45,148.72,7333730
08/05/2024 16:00:00,149.12,149.73,148.7,148.95,7735148
09/05/2024 16:00:00,148.98,150.1,148.89,149.85,6546153
10/05/2024 16:00:00,150,150.09,149.19,149.91,5710566
13/05/2024 16:00:00,150.04,152,149.71,151.22,5628467
14/05/2024 16:00:00,151.85,152.21,150.7,151.38,8254171
15/05/2024 16:00:00,151.82,152.95,151.3,152.67,5547955
16/05/2024 16:00:00,153,154.38,152.33,154.28,7590959
17/05/2024 16:00:00,154.86,154.86,153.71,154.64,6521794
20/05/2024 16:00:00,153.1,153.39,151.26,151.27,7742280
21/05/2024 16:00:00,151.78,152.59,150.79,151.24,5492354
22/05/2024 16:00:00,150.84,154.08,150.32,153.5,6609788
23/05/2024 16:00:00,152.75,152.84,149.38,149.7,8000422
24/05/2024 16:00:00,149.53,149.81,146.76,146.97,9520576
28/05/2024 16:00:00,146.79,146.79,144.15,144.38,10499829
29/05/2024 16:00:00,143.82,145.42,143.71,144.44,8263810
30/05/2024 16:00:00,144.62,145.61,144.02,145.28,8491111
31/05/2024 16:00:00,145.57,147.48,145.19,146.67,14621203
03/06/2024 16:00:00,147.25,148.9,146.77,147.74,7329241
04/06/2024 16:00:00,147.48,148.31,146.19,147.8,8876441
05/06/2024 16:00:00,147.97,147.99,145.85,145.97,5891299
06/06/2024 16:00:00,145.5,147,144.66,146.42,5016301
07/06/2024 16:00:00,146.68,148.3,146.34,147.08,5111626
10/06/2024 16:00:00,146.53,147.56,145.6,147.13,5751309
11/06/2024 16:00:00,146.81,147.16,145.44,146.76,5661236
12/06/2024 16:00:00,147.06,147.21,144.78,145.41,6180493
13/06/2024 16:00:00,145.07,146,143.88,145.45,6840374
14/06/2024 16:00:00,145.14,145.97,144.48,145.54,4075342
17/06/2024 16:00:00,145.02,146.43,144.74,145.95,6666583
18/06/2024 16:00:00,145.96,146.39,145.26,145.65,6156572
20/06/2024 16:00:00,145.27,148.08,145.01,147.78,8749717
21/06/2024 16:00:00,147.89,149.08,147.37,148.75,15176869
24/06/2024 16:00:00,149,149.72,148.17,149.12,6914671
25/06/2024 16:00:00,149.18,149.2,146.94,147.19,6620303
26/06/2024 16:00:00,146.2,147.19,145.78,146.82,5267809
27/06/2024 16:00:00,146.8,147.36,144.84,145.8,5739246
28/06/2024 16:00:00,146.04,147.07,145.65,146.16,10495735
01/07/2024 16:00:00,146.07,148.7,145.62,146.44,5144443
02/07/2024 16:00:00,146.43,147.15,145.74,146.03,5491962
03/07/2024 13:00:00,146.2,146.65,144.74,145.69,3246157
05/07/2024 16:00:00,145.77,146.55,144.5,146.48,4888535
08/07/2024 16:00:00,146.4,147.22,145.25,145.48,5260229
09/07/2024 16:00:00,145.67,147.13,145.18,147.05,5892187
10/07/2024 16:00:00,147.26,149.47,146.68,149.43,6093187
11/07/2024 16:00:00,149.58,150.58,148.64,149.7,6352109
12/07/2024 16:00:00,150,150.88,149.24,149.88,5336394
15/07/2024 16:00:00,150.08,150.25,148.87,149.24,6711354
16/07/2024 16:00:00,149.69,151.08,149.16,151.01,6469582
17/07/2024 16:00:00,151.55,157.49,151.42,156.58,13801429
18/07/2024 16:00:00,155.6,157.07,154.62,155.42,10166247
19/07/2024 16:00:00,156.51,156.51,154.12,154.69,7398036
22/07/2024 16:00:00,154.77,155.11,153.59,154.24,6840609
23/07/2024 16:00:00,153.31,153.5,151.57,152.35,6261870
24/07/2024 16:00:00,152.76,156.41,152.33,156.28,7168217
25/07/2024 16:00:00,156.48,160.58,156,159.64,10019578
26/07/2024 16:00:00,159.75,161.58,159.47,160.64,8356878
29/07/2024 16:00:00,159.97,160,158.05,158.56,5625204
30/07/2024 16:00:00,158.54,161.55,158.36,161.33,6545677
31/07/2024 16:00:00,159.85,160.35,157.74,157.85,8293239
01/08/2024 16:00:00,158.48,160.81,157.71,160.76,7213419
02/08/2024 16:00:00,161.9,164.85,161,164.14,11280357
05/08/2024 16:00:00,163.79,165.78,160.58,161.25,12032209
06/08/2024 16:00:00,161.05,161.48,158.94,158.97,7607144
07/08/2024 16:00:00,158.87,160.62,158.19,158.9,5993028
08/08/2024 16:00:00,158.57,160.7,158.03,160.22,5094830
09/08/2024 16:00:00,160.12,160.93,159.34,160.62,4579186
12/08/2024 16:00:00,160.97,161.7,158.71,159.88,7605419
13/08/2024 16:00:00,160.27,160.37,156.44,158.39,9711395
14/08/2024 16:00:00,157.83,159.55,157.4,158.48,5141249
15/08/2024 16:00:00,158.37,159.5,157.84,159.09,7237785
16/08/2024 16:00:00,159.14,159.94,158.18,159.39,5012774
19/08/2024 16:00:00,159.46,160.29,159.13,159.63,4408517
20/08/2024 16:00:00,160,160.93,159.67,160.16,7275133
21/08/2024 16:00:00,160.4,161.48,160.31,161.43,5019375
22/08/2024 16:00:00,162,162.49,160.79,162.35,6552142
23/08/2024 16:00:00,162.5,164.22,161.7,164.13,7093429
26/08/2024 16:00:00,164.17,165.71,163.54,164.61,6870622
27/08/2024 16:00:00,163.5,164.04,162.16,162.95,4388728
28/08/2024 16:00:00,163,165,162.71,163.92,5187198
29/08/2024 16:00:00,164.63,164.72,163.36,164.23,7390125
30/08/2024 16:00:00,164.12,165.98,163.81,165.86,7971017
03/09/2024 16:00:00,165.24,167.81,164.77,167.16,6956452
