Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,192.27,194.46,190.79,191.86,7446703
02/05/2024 16:00:00,193.07,193.5,189.52,191.66,6501657
03/05/2024 16:00:00,192,192.53,188.46,190.51,8922775
06/05/2024 16:00:00,191.73,192.2,189.82,192,7911134
07/05/2024 16:00:00,191.7,192.93,191.65,191.75,7688771
08/05/2024 16:00:00,191,196.65,191,195.65,9227561
09/05/2024 16:00:00,195.17,197.59,195.1,197.5,7977291
10/05/2024 16:00:00,198.54,199.34,198.27,198.77,7529790
13/05/2024 16:00:00,198.8,199.85,198.04,198.73,7049241
14/05/2024 16:00:00,199,201.58,198.16,201.51,8596175
15/05/2024 16:00:00,202.01,202.69,199.77,202.11,8369975
16/05/2024 16:00:00,202.22,204.48,201.99,202.47,8497927
17/05/2024 16:00:00,203.81,205.05,202.81,204.79,9260490
20/05/2024 16:00:00,204.39,205.88,195.4,195.58,17373253
21/05/2024 16:00:00,197,199.9,196.6,199.52,14420799
22/05/2024 16:00:00,199,200.94,197.69,198.31,9425338
23/05/2024 16:00:00,197.81,198.3,196.07,196.92,8069445
24/05/2024 16:00:00,197.75,200.76,197.56,200.71,7356233
28/05/2024 16:00:00,199.86,200.41,198.66,199.5,6910206
29/05/2024 16:00:00,198,198.99,196.89,198.11,6120045
30/05/2024 16:00:00,198.56,199.85,198.4,199.33,6829719
31/05/2024 16:00:00,199.3,203.3,198.35,202.63,14417885
03/06/2024 16:00:00,202.31,202.42,199.19,201.82,6444309
04/06/2024 16:00:00,200.16,201.98,198.28,199.16,6848338
05/06/2024 16:00:00,199.76,199.82,196.92,197.26,8351597
06/06/2024 16:00:00,197.26,198.02,195.33,196.91,7640289
07/06/2024 16:00:00,197.43,200.92,197.01,199.95,6964498
10/06/2024 16:00:00,199.24,200.84,198.44,199.61,6071201
11/06/2024 16:00:00,197.91,197.94,193.6,194.36,9235302
12/06/2024 16:00:00,196,196.72,191.31,191.53,12751329
13/06/2024 16:00:00,192.32,194.58,190.88,193.66,8587786
14/06/2024 16:00:00,191.45,194.86,191.42,193.78,6874029
17/06/2024 16:00:00,193.48,195.58,192.64,194.98,8725445
18/06/2024 16:00:00,194.6,197.96,194.13,197,9022971
20/06/2024 16:00:00,196.39,199.45,196.11,198.67,8731062
21/06/2024 16:00:00,196.71,197.17,194.22,196.3,20972495
24/06/2024 16:00:00,197.81,199.23,197.1,198.88,9785929
25/06/2024 16:00:00,198.09,200.07,197.74,198.07,6915909
26/06/2024 16:00:00,197.45,197.94,196.28,197.43,7758582
27/06/2024 16:00:00,197.44,199.86,196.9,199.17,7913453
28/06/2024 16:00:00,200.01,202.6,199.3,202.26,15307616
01/07/2024 16:00:00,202.84,207.09,202.66,205.45,10205836
02/07/2024 16:00:00,205.29,208.86,204.77,208.83,7802936
03/07/2024 13:00:00,209.55,210.38,207.65,208.69,5560925
05/07/2024 16:00:00,206.99,207.37,204.52,204.79,8093096
08/07/2024 16:00:00,205.04,206.9,203.97,205.17,8706967
09/07/2024 16:00:00,205.63,209.76,205.45,207.63,9060258
10/07/2024 16:00:00,206.14,207.97,205.58,207.8,8328493
11/07/2024 16:00:00,206.21,208.1,205.38,207.45,10666937
12/07/2024 16:00:00,204,207.45,202.1,204.94,15443441
15/07/2024 16:00:00,207.19,211.61,206.72,210.05,10719670
16/07/2024 16:00:00,210,213.74,208.08,213.62,11557018
17/07/2024 16:00:00,213.8,217.56,213.27,216.87,11572470
18/07/2024 16:00:00,215.63,216.64,209.24,209.98,12415125
19/07/2024 16:00:00,211.2,212.35,208.92,209.78,8095898
22/07/2024 16:00:00,210.46,212.17,209.71,210.28,7663223
23/07/2024 16:00:00,211.02,211.48,209.35,210.33,5557262
24/07/2024 16:00:00,209.55,212.03,208.07,208.59,7118957
25/07/2024 16:00:00,208.65,210.19,208.05,208.67,6403774
26/07/2024 16:00:00,209.24,213.16,208.62,212.24,8027787
29/07/2024 16:00:00,212.65,213.61,210.55,210.85,6533636
30/07/2024 16:00:00,213.23,215.79,212.96,215.19,8850705
31/07/2024 16:00:00,214.78,216.39,212.67,212.8,9071637
01/08/2024 16:00:00,213.2,213.83,206.38,207.96,10918644
02/08/2024 16:00:00,203.88,204.67,196.89,199.14,18041676
05/08/2024 16:00:00,194.05,196.17,190.9,194.9,13926997
06/08/2024 16:00:00,195.4,202.6,194,200.34,10605780
07/08/2024 16:00:00,203.51,205.75,200.2,200.4,9204434
08/08/2024 16:00:00,202.47,204.91,201.79,204.06,7761199
09/08/2024 16:00:00,203.47,206.47,202.9,205.8,5540240
12/08/2024 16:00:00,206.41,207.14,203.66,206.19,6935954
13/08/2024 16:00:00,207.73,208.09,205.4,207.94,6387942
14/08/2024 16:00:00,207.74,210.76,207.12,210.24,6999809
15/08/2024 16:00:00,213,213.89,211.1,211.55,7001005
16/08/2024 16:00:00,211.69,214.09,211.59,213.97,7931234
19/08/2024 16:00:00,214,215.53,213.82,215.45,6090818
20/08/2024 16:00:00,215,216,213.68,214.52,5640223
21/08/2024 16:00:00,214.43,215,212.84,214.6,5202472
22/08/2024 16:00:00,214.58,216.8,214.34,216.63,5247098
23/08/2024 16:00:00,217.6,219.19,216.5,218.31,7213981
26/08/2024 16:00:00,219.01,219.68,218.05,219.17,5105245
27/08/2024 16:00:00,219.51,220.42,219.19,220.18,5185221
28/08/2024 16:00:00,219.25,222.21,219.19,221.29,6506402
29/08/2024 16:00:00,222.15,222.98,218.94,222.21,6416149
30/08/2024 16:00:00,222.5,225.48,221.93,224.8,8574128
03/09/2024 16:00:00,222.3,224.1,219.24,220.3,8956089
04/09/2024 16:00:00,221.04,222.07,217.21,219.33,7389474
05/09/2024 16:00:00,220.15,220.8,216.03,217.63,8067874
06/09/2024 16:00:00,217.6,218.74,211.09,212.46,7776998
09/09/2024 16:00:00,215.19,218.15,214.18,216.81,8935074
10/09/2024 16:00:00,218.6,218.64,200.61,205.56,28406903
11/09/2024 16:00:00,205.25,207.7,201.83,207.23,13658743
12/09/2024 16:00:00,207.65,208.78,204.89,206.6,9055756
13/09/2024 16:00:00,206.86,207.85,203.02,204.32,10226694
16/09/2024 16:00:00,205.83,208.21,205.59,207.86,8634936
17/09/2024 16:00:00,207.73,209.93,207.66,209.25,7573345
18/09/2024 16:00:00,209.01,211.34,206.7,207.53,8259876
19/09/2024 16:00:00,209.78,211.91,207.34,210.48,11635168
20/09/2024 16:00:00,209.93,211.42,209.5,211.09,20884974
23/09/2024 16:00:00,211,211.8,209.99,211.44,7223491
24/09/2024 16:00:00,211.15,212.95,210.37,211.59,7323239
25/09/2024 16:00:00,211.68,212.24,208.61,210.19,8976520
26/09/2024 16:00:00,211.13,211.7,209.01,209.78,7807480
27/09/2024 16:00:00,210.65,212.44,209.33,210.5,7032450
30/09/2024 16:00:00,206.31,210.96,205.26,210.86,8668314
01/10/2024 16:00:00,208.9,209.09,206.19,207.04,8540064
02/10/2024 16:00:00,207.08,208.95,205.69,207.29,5810931
