Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,61.8,62.57,61.21,61.93,16730830
02/05/2024 16:00:00,62.18,62.4,61.72,61.99,10991304
03/05/2024 16:00:00,61.99,62.33,61.64,62.17,11628675
06/05/2024 16:00:00,62.3,62.38,61.9,62.35,9310699
07/05/2024 16:00:00,62.76,62.82,62.25,62.62,9807029
08/05/2024 16:00:00,62.85,62.97,62.48,62.85,10484408
09/05/2024 16:00:00,62.81,63.15,62.75,62.88,9113662
10/05/2024 16:00:00,62.92,63.36,62.79,63.26,8371691
13/05/2024 16:00:00,63.24,63.62,63.18,63.58,10137619
14/05/2024 16:00:00,63.58,63.76,62.8,63.1,10852231
15/05/2024 16:00:00,63.06,63.39,63,63.13,9838897
16/05/2024 16:00:00,63.24,63.73,63.07,63.32,10228002
17/05/2024 16:00:00,63.34,63.37,62.94,63.03,11539022
20/05/2024 16:00:00,62.93,63.01,62.46,62.57,11000888
21/05/2024 16:00:00,62.82,62.98,62.44,62.91,9796202
22/05/2024 16:00:00,62.71,63.02,62.66,63,7419406
23/05/2024 16:00:00,62.49,62.88,62.05,62.09,9834292
24/05/2024 16:00:00,62.22,62.42,61.97,62,8203136
28/05/2024 16:00:00,61.79,62.13,61.4,61.82,12346998
29/05/2024 16:00:00,61.47,61.88,61.07,61.7,11861815
30/05/2024 16:00:00,61.85,62.08,61.6,61.97,9436821
31/05/2024 16:00:00,61.99,63.03,61.69,62.93,19816630
03/06/2024 16:00:00,62.71,63.09,62.45,62.93,9369046
04/06/2024 16:00:00,63.2,63.97,62.94,63.94,11895622
05/06/2024 16:00:00,63.99,64.07,63.35,63.92,9632525
06/06/2024 16:00:00,63.92,64.36,63.84,64.15,8658456
07/06/2024 16:00:00,64.09,64.22,63.81,63.91,9523089
10/06/2024 16:00:00,63.94,63.99,63.37,63.59,15687128
11/06/2024 16:00:00,63.59,63.65,63.07,63.55,8395960
12/06/2024 16:00:00,63.69,63.69,62.69,62.88,9569550
13/06/2024 16:00:00,62.86,63.04,62.45,62.99,9668888
14/06/2024 16:00:00,62.38,62.69,62.09,62.55,8179239
17/06/2024 16:00:00,62.37,62.9,62.18,62.62,10532715
18/06/2024 16:00:00,62.53,62.82,62.44,62.63,10651661
20/06/2024 16:00:00,62.4,62.74,61.95,62.18,13306273
21/06/2024 16:00:00,62.18,63.1,62.18,62.77,28282194
24/06/2024 16:00:00,62.99,64.06,62.91,63.97,13212454
25/06/2024 16:00:00,63.94,64.07,63.51,63.84,10546793
26/06/2024 16:00:00,63.4,64.11,63.23,64.05,9402502
27/06/2024 16:00:00,64.05,64.27,63.62,63.91,8494123
28/06/2024 16:00:00,63.9,64.06,63.52,63.65,17358827
01/07/2024 16:00:00,64.03,64.3,63.12,63.28,10033361
02/07/2024 16:00:00,63.26,63.38,62.86,63.15,8878156
03/07/2024 13:00:00,63.19,63.67,62.93,63.33,9154198
05/07/2024 16:00:00,63.33,63.79,63,63.76,11735460
08/07/2024 16:00:00,63.59,63.59,62.84,62.96,11235135
09/07/2024 16:00:00,63.06,63.23,62.59,62.69,11660197
10/07/2024 16:00:00,62.72,62.86,62.29,62.83,11930407
11/07/2024 16:00:00,62.64,63.46,62.4,63.1,11434422
12/07/2024 16:00:00,63.46,64.11,63.39,63.7,9201516
15/07/2024 16:00:00,63.79,63.94,63.35,63.41,8207521
16/07/2024 16:00:00,63.43,64.31,63.39,64.27,9025066
17/07/2024 16:00:00,64.47,65.39,64.41,65.21,12508215
18/07/2024 16:00:00,64.8,65.81,64.72,65.19,11128203
19/07/2024 16:00:00,65.64,65.64,64.82,65.29,13775672
22/07/2024 16:00:00,65.25,65.29,64.32,64.77,11794212
23/07/2024 16:00:00,65.43,66.04,64.85,64.96,11810262
24/07/2024 16:00:00,65.09,65.97,64.83,65.81,13244568
25/07/2024 16:00:00,66.04,66.89,65.86,66.07,16328583
26/07/2024 16:00:00,66.07,67.11,66.01,67.05,13530071
29/07/2024 16:00:00,66.88,67.03,66.39,66.83,12140153
30/07/2024 16:00:00,66.48,67.83,66.36,67.68,13257960
31/07/2024 16:00:00,67.5,67.61,66.61,66.74,15576846
01/08/2024 16:00:00,67,68.11,66.7,67.96,16495907
02/08/2024 16:00:00,68.53,69.67,67.69,69.33,22514775
05/08/2024 16:00:00,68.99,69.55,67.73,68.1,25484273
06/08/2024 16:00:00,68.15,68.84,67.77,68.05,12969099
07/08/2024 16:00:00,68.05,69.18,67.83,68.46,13365270
08/08/2024 16:00:00,68,68.86,67.85,68.73,15240914
09/08/2024 16:00:00,68.7,68.79,68.25,68.68,12080420
12/08/2024 16:00:00,68.45,68.54,67.83,68.17,11012318
13/08/2024 16:00:00,68.08,68.61,68.01,68.46,9877569
14/08/2024 16:00:00,68.23,68.89,68.13,68.58,14328033
15/08/2024 16:00:00,68.62,68.92,68.5,68.65,11285120
16/08/2024 16:00:00,68.84,69.3,68.64,69.18,12651230
19/08/2024 16:00:00,69.35,69.42,68.85,68.98,9843861
20/08/2024 16:00:00,68.99,69.39,68.77,69.38,11957372
21/08/2024 16:00:00,69.48,70.13,69.33,69.57,8792397
22/08/2024 16:00:00,69.92,69.92,68.79,69.33,12509202
23/08/2024 16:00:00,69.4,69.85,68.94,69.79,11834745
26/08/2024 16:00:00,69.83,70.92,69.73,70.84,12912248
27/08/2024 16:00:00,71.32,71.53,71.05,71.5,16988408
28/08/2024 16:00:00,71.61,71.81,71.3,71.75,13272584
29/08/2024 16:00:00,71.9,72.22,71.23,72.05,17201677
30/08/2024 16:00:00,72.2,72.57,71.78,72.47,18624227
03/09/2024 16:00:00,72.44,73.29,72.25,73.01,14755752
04/09/2024 16:00:00,73.3,73.53,71.91,72.56,18140831
05/09/2024 16:00:00,72.62,72.68,70.98,71.17,23866125
06/09/2024 16:00:00,70.99,71.67,70.89,71.14,17485707
09/09/2024 16:00:00,71.23,72.31,70.98,71.85,12939256
10/09/2024 16:00:00,71.97,72.42,71.52,71.55,10277585
11/09/2024 16:00:00,71.36,71.37,70.57,71.08,11418234
12/09/2024 16:00:00,71,71.38,70.66,71.23,12340779
13/09/2024 16:00:00,70.84,71.47,70.48,71.41,11073849
16/09/2024 16:00:00,71.77,72.24,71.62,72.1,10786531
17/09/2024 16:00:00,71.9,72.35,71.72,71.8,12974382
18/09/2024 16:00:00,71.89,72.38,71.27,71.75,10719713
19/09/2024 16:00:00,71.56,71.94,70.6,70.62,13635646
20/09/2024 16:00:00,70.41,71.8,70.38,71.64,48578480
23/09/2024 16:00:00,71.55,72.2,71.18,71.73,11613022
24/09/2024 16:00:00,71.22,71.82,70.6,71.33,13330638
25/09/2024 16:00:00,71.71,71.92,71.31,71.45,12329127
26/09/2024 16:00:00,70.86,71.61,70.84,71.4,10815219
27/09/2024 16:00:00,71.54,72.2,71.46,71.79,11175706
30/09/2024 16:00:00,72.01,72.2,71.69,71.86,18016013
01/10/2024 16:00:00,72.1,72.75,71.63,71.71,13294498
02/10/2024 16:00:00,71.39,71.43,70.41,71.01,11155480
03/10/2024 16:00:00,70.86,70.99,70.2,70.52,9374794
04/10/2024 16:00:00,69.96,70.28,69.72,70.17,12687289
07/10/2024 16:00:00,70.05,70.1,68.87,69.01,14511962
08/10/2024 16:00:00,69.04,69.44,68.86,69.18,13549702
09/10/2024 16:00:00,69.19,69.74,69.07,69.57,9037735
10/10/2024 16:00:00,69.83,69.91,68.99,69.25,8635150
11/10/2024 16:00:00,69.46,69.59,69,69.57,8786318
14/10/2024 16:00:00,69.57,70.47,69.47,70.34,7659318
15/10/2024 16:00:00,70.46,71.21,70.16,70.34,10358734
16/10/2024 16:00:00,70.09,70.7,69.97,70.57,7937347
17/10/2024 16:00:00,70.63,70.69,69.58,69.9,14674631
18/10/2024 16:00:00,69.87,70.55,69.61,70.44,15087519
21/10/2024 16:00:00,70,70.33,69.31,69.45,11981163
22/10/2024 16:00:00,69,69.75,68.68,69.45,18603251
23/10/2024 16:00:00,66.99,68.7,66.58,68.01,24655203
24/10/2024 16:00:00,67.65,68.04,66.95,67.3,17568831
25/10/2024 16:00:00,67.07,67.7,66.79,66.92,11138127
28/10/2024 16:00:00,66.96,67.4,66.6,66.67,10761416
29/10/2024 16:00:00,66.29,66.34,65.52,65.56,16525917
30/10/2024 16:00:00,65.51,66.54,65.32,65.92,14177766
31/10/2024 16:00:00,65.81,65.99,65.26,65.31,13383717
01/11/2024 16:00:00,65.47,65.66,64.89,65.01,12163094
04/11/2024 16:00:00,65.08,65.42,64.65,65.11,10984502
05/11/2024 16:00:00,64.64,65.47,64.64,65.37,8780220
06/11/2024 16:00:00,64.42,64.86,63.18,63.7,22899263
07/11/2024 16:00:00,64.29,64.39,63.6,63.66,14856051
08/11/2024 16:00:00,63.91,64.24,63.74,63.92,14719308
11/11/2024 16:00:00,63.86,64.12,63.25,63.36,13980873
12/11/2024 16:00:00,63.68,63.75,63.12,63.2,15020975
13/11/2024 16:00:00,63.05,63.26,62.49,63,13177637
14/11/2024 16:00:00,63.11,63.11,62.43,62.55,15910820
15/11/2024 16:00:00,62.49,62.63,61.39,61.74,26284331
18/11/2024 16:00:00,61.85,62.14,61.56,61.86,16079364
19/11/2024 16:00:00,61.9,62.62,61.63,62.59,16254832
20/11/2024 16:00:00,62.7,63.01,62.02,62.99,18904909
21/11/2024 16:00:00,63.15,63.81,62.95,63.76,17292300
22/11/2024 16:00:00,64.24,64.48,63.65,63.92,19562231
25/11/2024 16:00:00,64.32,64.71,63.84,64.38,36805252
26/11/2024 16:00:00,64.31,64.64,64.06,64.55,14473271
27/11/2024 16:00:00,64.96,65.1,64.25,64.43,13263403
29/11/2024 13:00:00,64.02,64.25,63.77,64.08,10648354
02/12/2024 16:00:00,64.05,64.19,63.35,63.65,16500095
03/12/2024 16:00:00,63.72,64.08,63.03,63.52,24874490
04/12/2024 16:00:00,63.28,63.35,61.9,62.21,28137660
05/12/2024 16:00:00,62.47,63.12,62.1,62.92,21040359
06/12/2024 16:00:00,62.83,63.36,62.51,62.53,15581148
09/12/2024 16:00:00,62.69,62.93,61.9,62.6,22348331
10/12/2024 16:00:00,62.7,63.04,61.79,62.91,14949415
11/12/2024 16:00:00,63,63.63,62.4,62.64,32819011
12/12/2024 16:00:00,63.55,63.92,63.22,63.84,17542091
13/12/2024 16:00:00,63.57,63.84,63.11,63.12,13429033
16/12/2024 16:00:00,63.23,63.86,62.35,62.55,24559738
17/12/2024 16:00:00,62.45,63.55,62.32,63.4,21902382
18/12/2024 16:00:00,62.81,63.64,62.79,62.85,20946087
19/12/2024 16:00:00,62.7,63.17,62.4,62.45,21300647
20/12/2024 16:00:00,62.47,63.06,62.28,62.55,42458096
23/12/2024 16:00:00,62.5,62.76,61.53,62.38,13010758
24/12/2024 13:00:00,62.2,62.84,62.01,62.84,5019131
26/12/2024 16:00:00,62.62,62.74,62.4,62.57,7945641
27/12/2024 16:00:00,62.45,62.95,62.21,62.45,8542773
30/12/2024 16:00:00,62.34,62.34,61.68,62.03,8972212
31/12/2024 16:00:00,62.02,62.43,61.8,62.26,9256664
02/01/2025 16:00:00,62.36,62.75,61.62,61.84,12990975
03/01/2025 16:00:00,61.9,62.08,61.62,61.75,10403204
06/01/2025 16:00:00,61.5,61.57,60.66,60.81,17924237
07/01/2025 16:00:00,61.11,61.72,60.62,60.84,17799629
08/01/2025 16:00:00,60.99,61.77,60.93,61.71,14412397
10/01/2025 16:00:00,61.58,61.65,60.73,61.07,22424951
13/01/2025 16:00:00,61.13,61.85,60.71,61.65,18016173
14/01/2025 16:00:00,61.66,62.07,61.3,62.04,16658287
15/01/2025 16:00:00,62.33,62.62,61.68,61.77,16187203
16/01/2025 16:00:00,61.42,62.3,61.32,62.25,12585528
17/01/2025 16:00:00,62.31,62.77,62.17,62.71,17948868
21/01/2025 16:00:00,62.9,63.23,62.3,62.42,19817068
22/01/2025 16:00:00,62.12,62.29,61.66,61.78,18191886
23/01/2025 16:00:00,61.8,61.98,61.37,61.53,16528423
24/01/2025 16:00:00,61.72,62.01,61.44,61.92,19244604
27/01/2025 16:00:00,62.87,64.18,62.47,63.87,20742915
28/01/2025 16:00:00,63.51,64.04,62.28,62.36,14956031
29/01/2025 16:00:00,62.56,63.36,62.55,62.83,11325635
30/01/2025 16:00:00,63.85,64.29,63.23,64.05,13200977
31/01/2025 16:00:00,63.7,63.93,63.39,63.48,12102060
03/02/2025 16:00:00,63.18,63.63,62.43,63.35,12067883
04/02/2025 16:00:00,63.61,63.63,62.35,62.67,15677998
05/02/2025 16:00:00,62.72,63.29,62.59,63.12,10686754
06/02/2025 16:00:00,63.62,63.74,62.91,63.36,13423408
07/02/2025 16:00:00,63.43,63.92,63.27,63.84,13184674
10/02/2025 16:00:00,64.1,64.65,63.66,64.55,16154300
11/02/2025 16:00:00,67.5,67.67,66.41,67.6,30589148
12/02/2025 16:00:00,66.87,68.82,66.87,68.71,26033764
13/02/2025 16:00:00,69,69.61,68.76,69.5,24393148
14/02/2025 16:00:00,69.36,70.03,68.76,68.87,20779090
18/02/2025 16:00:00,68.55,69.37,68.42,69.05,15569122
19/02/2025 16:00:00,69.21,70.13,69.17,70.07,16032270
20/02/2025 16:00:00,69.71,70.07,69.42,70.04,13398010
