Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,445.8,448.98,438.38,442.07,4979366
02/05/2024 16:00:00,443,444.66,438.05,441.1,3866467
03/05/2024 16:00:00,444.91,445.26,436.9,443.58,3711610
06/05/2024 16:00:00,447.23,450.5,445.56,449.37,2536211
07/05/2024 16:00:00,451.76,453.3,447.53,453.06,2345486
08/05/2024 16:00:00,454,455.11,449.92,454.77,2332440
09/05/2024 16:00:00,453.55,456.03,453.55,455.49,1970193
10/05/2024 16:00:00,457.33,458.58,454.98,456.98,1730054
13/05/2024 16:00:00,456.93,458.72,455.51,457.76,2069345
14/05/2024 16:00:00,457.92,458.98,449.3,454.2,2990997
15/05/2024 16:00:00,452.79,458.6,452.79,458,2437772
16/05/2024 16:00:00,460,464.93,458.82,458.87,2412233
17/05/2024 16:00:00,460.45,461.69,458.11,460.27,1985903
20/05/2024 16:00:00,459.48,462.22,458.78,459.66,1397291
21/05/2024 16:00:00,457.91,460.39,455.63,459.1,2165999
22/05/2024 16:00:00,458.9,462.5,455.17,456.52,1713650
23/05/2024 16:00:00,456.52,458.05,450.44,451.21,2084733
24/05/2024 16:00:00,452.51,454.45,450.32,451.18,2162182
28/05/2024 16:00:00,450,450.63,442.4,445.08,2670989
29/05/2024 16:00:00,442.11,444.56,441.8,442.47,1876996
30/05/2024 16:00:00,442.21,444.19,440.67,442.1,2189905
31/05/2024 16:00:00,442.69,447.34,439.26,447.07,3917303
03/06/2024 16:00:00,443.48,445,437.89,443.19,2123775
04/06/2024 16:00:00,443.36,444.88,441.32,444.77,2096578
05/06/2024 16:00:00,446.8,447.57,442.31,446.66,2157011
06/06/2024 16:00:00,448.49,449.78,444.63,448.68,1887061
07/06/2024 16:00:00,449.45,453,447.26,449.79,1664850
10/06/2024 16:00:00,448.42,450.17,444.37,449.25,1954548
11/06/2024 16:00:00,447.84,449.25,445.11,449.04,1777281
12/06/2024 16:00:00,451.49,452.5,441.6,443,2738928
13/06/2024 16:00:00,443,445.15,439.32,445,2916648
14/06/2024 16:00:00,443.34,444.96,441.2,444.63,2161546
17/06/2024 16:00:00,442.43,449.34,441.68,448.11,2351895
18/06/2024 16:00:00,447.06,451.2,446.7,450.11,2636506
20/06/2024 16:00:00,451.06,454.48,448.36,452.51,3006765
21/06/2024 16:00:00,452.19,455.3,450.26,454.85,5062383
24/06/2024 16:00:00,454.93,463.07,454.93,456.96,2597068
25/06/2024 16:00:00,458.48,460.31,453.8,455.65,2529625
26/06/2024 16:00:00,452.75,454.68,451.39,452.38,2451388
27/06/2024 16:00:00,448.57,448.7,442,442.75,3313924
28/06/2024 16:00:00,444.64,448.3,438.72,441.16,4105179
01/07/2024 16:00:00,440.8,442.47,435.55,437.61,3149663
02/07/2024 16:00:00,435,444.76,435,444.65,2061407
03/07/2024 13:00:00,445.32,449.29,444.28,448.18,3192350
05/07/2024 16:00:00,447.11,449.95,444.28,449.49,2220706
08/07/2024 16:00:00,449.28,450.61,445,446.24,1802729
09/07/2024 16:00:00,446.65,447.58,442.79,444.7,1608726
10/07/2024 16:00:00,434.61,437.41,429.05,433.64,4760902
11/07/2024 16:00:00,432,437.77,430.11,436.42,4032726
12/07/2024 16:00:00,437.4,442.23,437.32,440.11,2645729
15/07/2024 16:00:00,440.33,444.4,438.74,444,1727716
16/07/2024 16:00:00,446.94,447.16,439.7,443.53,2846645
17/07/2024 16:00:00,442.4,451.52,442.06,451.16,2924993
18/07/2024 16:00:00,448.75,455.43,447.48,448.72,3339984
19/07/2024 16:00:00,451.22,451.24,443.57,443.69,2121736
22/07/2024 16:00:00,445.41,448.85,443.25,447.94,2111943
23/07/2024 16:00:00,448.05,448.74,441.11,441.72,2385481
24/07/2024 16:00:00,434,435.86,428.86,432.45,3764823
25/07/2024 16:00:00,433.94,437.7,429.56,429.6,2384325
26/07/2024 16:00:00,432.28,440.78,432.11,438.18,2039595
29/07/2024 16:00:00,438.8,442.92,435.42,441.3,2248633
30/07/2024 16:00:00,443.77,448.73,443.01,447.45,2266899
31/07/2024 16:00:00,462,474,457.54,463.71,4313637
01/08/2024 16:00:00,465.46,467.5,459.19,462.41,2590132
02/08/2024 16:00:00,460.22,466.75,458.61,462.02,3808080
05/08/2024 16:00:00,455,461.3,439.59,442,4496726
06/08/2024 16:00:00,443.22,455.45,442.11,448.3,2759051
07/08/2024 16:00:00,450.53,456.92,449.04,449.84,2059829
08/08/2024 16:00:00,452.24,456.27,451.03,455.58,1585584
09/08/2024 16:00:00,455.58,458.8,453.46,456.78,1760295
12/08/2024 16:00:00,457.77,458.46,453.89,455.69,1760046
13/08/2024 16:00:00,458.14,459.64,454.89,459.36,1816206
14/08/2024 16:00:00,459.26,460.54,456.07,460.16,1654140
15/08/2024 16:00:00,465.1,469,464,468.71,2130571
16/08/2024 16:00:00,468,470.26,466.04,468.88,1922047
19/08/2024 16:00:00,469,470.15,465.52,466.98,1690880
20/08/2024 16:00:00,468.13,469.67,465.51,469.12,1763383
21/08/2024 16:00:00,468.54,469.09,464.52,468,2105889
22/08/2024 16:00:00,469.49,470.91,466.7,468.82,1538288
23/08/2024 16:00:00,470.3,470.34,461.9,466.44,1986348
26/08/2024 16:00:00,468.1,470.53,467,468.64,1434397
27/08/2024 16:00:00,471.08,475.5,468.22,474.99,1635908
28/08/2024 16:00:00,475,476.41,468.87,471.8,1445425
29/08/2024 16:00:00,474.47,481.92,474.47,480.8,1893601
30/08/2024 16:00:00,481.84,485.74,479.65,483.34,2982115
03/09/2024 16:00:00,482.47,486.69,480.04,482.12,2063707
04/09/2024 16:00:00,482.09,486.17,481.18,483.14,2156342
05/09/2024 16:00:00,483.14,484.16,473.11,477.36,2293539
06/09/2024 16:00:00,477.11,480.44,474.71,476.12,2116234
09/09/2024 16:00:00,480.5,489.21,479.57,487.09,2343553
10/09/2024 16:00:00,487.1,488.33,482.33,488.02,2234088
11/09/2024 16:00:00,486.52,489.11,477.84,488.18,2479988
12/09/2024 16:00:00,486.95,492.88,483,492.11,2299485
13/09/2024 16:00:00,493.1,496.85,491.45,493.36,2204789
16/09/2024 16:00:00,495.3,498.32,493.39,497.71,1589320
17/09/2024 16:00:00,498.6,501.74,497.85,500.99,2202852
18/09/2024 16:00:00,501.28,501.8,494.04,494.76,2193838
19/09/2024 16:00:00,500,501.13,486.25,493.01,3517228
20/09/2024 16:00:00,489.65,493.53,487.74,492.74,3470313
23/09/2024 16:00:00,493.16,497.69,491.3,497.14,2191256
24/09/2024 16:00:00,492.68,493.25,484.42,487.41,4143654
25/09/2024 16:00:00,484.76,489.9,483.54,489.45,3483193
26/09/2024 16:00:00,491,493.63,489,491.27,3073747
27/09/2024 16:00:00,491.03,496,490.39,493.64,2177336
30/09/2024 16:00:00,491.87,494.99,490.11,493.8,2862475
01/10/2024 16:00:00,497.26,498.03,493.11,496.38,3748206
02/10/2024 16:00:00,492.94,495.91,489.68,495.57,1736490
03/10/2024 16:00:00,495.55,497.09,493,494.97,1382289
