Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,163.28,164.24,162.22,163.4,7543154
02/05/2024 16:00:00,163.54,164.49,162.64,163.84,5647490
03/05/2024 16:00:00,163.54,164.71,162.16,164.46,5581692
06/05/2024 16:00:00,164.78,164.98,163.26,164.44,5472549
07/05/2024 16:00:00,164.98,166.04,164.59,165.76,6433090
08/05/2024 16:00:00,165.98,166.37,164.93,165.07,4579471
09/05/2024 16:00:00,165.05,166.33,165.05,166.04,4671126
10/05/2024 16:00:00,166.09,167.36,165.7,166.85,4879427
13/05/2024 16:00:00,166.85,167.65,165.36,165.87,5725523
14/05/2024 16:00:00,165.53,166.07,163.95,165.76,6009837
15/05/2024 16:00:00,165.31,166.68,165.12,166.51,5102897
16/05/2024 16:00:00,166.93,168.34,166.59,167.86,6793672
17/05/2024 16:00:00,167.67,168,166.88,167.64,4700819
20/05/2024 16:00:00,167.55,167.88,166.79,167.31,3804823
21/05/2024 16:00:00,167.76,168.54,167.29,168.35,5147065
22/05/2024 16:00:00,168.01,168.43,167.63,167.81,4536733
23/05/2024 16:00:00,167.29,168.11,165.32,165.49,4729792
24/05/2024 16:00:00,165.85,166.31,165.15,165.33,3820090
28/05/2024 16:00:00,164.49,164.76,162.26,163.11,6466193
29/05/2024 16:00:00,162.65,162.74,161.42,161.65,4360383
30/05/2024 16:00:00,161.65,162.7,161.48,162.58,4756454
31/05/2024 16:00:00,162.44,164.77,161.97,164.54,10341644
03/06/2024 16:00:00,163.93,166.24,163.63,164.65,5828442
04/06/2024 16:00:00,164.79,167.12,164.4,167.01,6277001
05/06/2024 16:00:00,167.01,167.01,164.98,166.05,5243345
06/06/2024 16:00:00,165.83,168.58,165.08,168.47,6302243
07/06/2024 16:00:00,168.4,168.97,166.84,167.06,4558190
10/06/2024 16:00:00,166.78,167.72,166.08,167.35,4110668
11/06/2024 16:00:00,166.97,167.5,166.02,167.48,3947671
12/06/2024 16:00:00,167.5,167.64,164.22,165.18,5474498
13/06/2024 16:00:00,164.47,167,164.47,166.41,4902180
14/06/2024 16:00:00,165.99,166.93,165.25,166.79,3694974
17/06/2024 16:00:00,165.85,168.71,165.4,167.5,6759352
18/06/2024 16:00:00,167.03,168.65,166.94,168.56,5112634
20/06/2024 16:00:00,168.37,168.78,166.86,167.67,8483606
21/06/2024 16:00:00,167.48,168.88,167.18,168.26,14682061
24/06/2024 16:00:00,168.76,169.41,167.48,168.45,7565304
25/06/2024 16:00:00,168.63,168.91,165.9,166.85,8323968
26/06/2024 16:00:00,166.05,167.81,165.66,167.45,5164046
27/06/2024 16:00:00,167.49,168.1,165.5,166.62,5006990
28/06/2024 16:00:00,166,167.24,164.58,164.92,9253317
01/07/2024 16:00:00,165.59,166.21,162.2,162.72,7638639
02/07/2024 16:00:00,162.58,164.04,161.71,163.9,5449219
03/07/2024 13:00:00,163.21,164.21,162.98,163.83,2980461
05/07/2024 16:00:00,164.01,165.63,163.5,165.21,6509248
08/07/2024 16:00:00,165.95,166.67,165.62,166.52,5144458
09/07/2024 16:00:00,166.63,166.76,165.14,165.66,4393179
10/07/2024 16:00:00,165.9,166.92,165.54,166.8,5037097
11/07/2024 16:00:00,166.3,166.63,164.78,165.54,5833061
12/07/2024 16:00:00,166.22,167.64,166.02,166.61,4684642
15/07/2024 16:00:00,166.47,166.62,164.46,164.58,5752513
16/07/2024 16:00:00,164.91,167.07,164.61,166.95,6378312
17/07/2024 16:00:00,167.75,170.17,167.33,169.44,7982328
18/07/2024 16:00:00,168.8,170.92,168.28,168.44,5926346
19/07/2024 16:00:00,167.97,169.04,167.13,167.96,6597090
22/07/2024 16:00:00,167.93,168.7,167.7,168.25,6383031
