Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,479.26,489.19,477.07,484.11,2729234
02/05/2024 16:00:00,484.28,493.69,483.94,492.97,3561404
03/05/2024 16:00:00,490.86,492.79,485.78,492.45,2487811
06/05/2024 16:00:00,492.48,494.87,492,494.38,2029503
07/05/2024 16:00:00,496,501.65,495.04,500.96,3752131
08/05/2024 16:00:00,504.17,507,500.08,503.21,3079031
09/05/2024 16:00:00,502.14,507.97,502.14,507.03,2343066
10/05/2024 16:00:00,509,513.58,507,512.81,2784585
13/05/2024 16:00:00,512.05,514.67,507.31,511.74,2454689
14/05/2024 16:00:00,514.58,516.17,507.3,513.88,2949795
15/05/2024 16:00:00,514.83,522.59,514.83,517.55,2981351
16/05/2024 16:00:00,520,528.16,519.51,521.27,3655775
17/05/2024 16:00:00,522.94,525.85,520.01,524.63,2657396
20/05/2024 16:00:00,524.63,524.63,516.54,517.23,2476393
21/05/2024 16:00:00,518.32,524.72,515.92,523.55,2521986
22/05/2024 16:00:00,522.82,526.28,520.65,521.35,2299273
23/05/2024 16:00:00,518.32,520.23,515.23,516.83,3055555
24/05/2024 16:00:00,516.11,517.14,507.52,508.17,2528228
28/05/2024 16:00:00,506.65,506.65,501.9,503.68,2912992
29/05/2024 16:00:00,492.34,493.9,473.27,484.72,7521587
30/05/2024 16:00:00,482.32,486.03,478,481.65,5170507
31/05/2024 16:00:00,482.41,498.41,482.41,495.37,6694985
03/06/2024 16:00:00,494.13,498.68,493.07,497.44,2795265
04/06/2024 16:00:00,498.56,508.27,494.59,505.49,3178436
05/06/2024 16:00:00,508.7,509.1,498.8,503.12,2464359
06/06/2024 16:00:00,503.65,504.7,497.28,501.92,2419608
07/06/2024 16:00:00,502.04,502.86,490.42,490.69,3416349
10/06/2024 16:00:00,491,495.39,486.19,495,3332892
11/06/2024 16:00:00,490.86,497.78,490.29,496.22,4599726
12/06/2024 16:00:00,500,500,487.42,493.07,4048214
13/06/2024 16:00:00,490.28,502,484.38,497.3,4951694
14/06/2024 16:00:00,496.83,497.85,491.73,497.12,3188374
17/06/2024 16:00:00,491.33,493.12,488.7,489.23,2407163
18/06/2024 16:00:00,490.71,491.66,479.04,481.05,3692708
20/06/2024 16:00:00,480.04,485.92,478.11,484.52,5258232
21/06/2024 16:00:00,484.44,488.3,480.59,482.59,6775974
24/06/2024 16:00:00,488.86,490.89,484.5,489.98,5139763
25/06/2024 16:00:00,490.64,490.64,480.6,484.5,3209889
26/06/2024 16:00:00,484.5,487.44,481.47,484.04,3153096
27/06/2024 16:00:00,485.05,488.98,482.05,486.44,2992070
28/06/2024 16:00:00,496.37,509.4,489.41,509.26,22734197
01/07/2024 16:00:00,506.75,508.91,492.89,494.65,4523141
02/07/2024 16:00:00,494.26,498.47,493.39,498.24,3312171
03/07/2024 13:00:00,497.12,498.08,486.52,489.89,2239210
05/07/2024 16:00:00,489,489.67,484.5,488.01,3498996
08/07/2024 16:00:00,489.19,493.88,486.17,489.34,3450841
09/07/2024 16:00:00,488.33,495.4,486.09,492.11,3057284
10/07/2024 16:00:00,490.94,501.5,490.12,500.93,3189837
11/07/2024 16:00:00,497.7,508.73,497.7,504.36,3536225
12/07/2024 16:00:00,506.92,514.57,503.43,511.53,3570624
15/07/2024 16:00:00,524.24,530.83,513.8,515.37,5127979
