Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,59.31,59.41,58.72,58.85,15470975
02/05/2024 16:00:00,58.94,59.89,58.58,59.71,17574115
03/05/2024 16:00:00,59.62,59.98,59.14,59.82,14207397
06/05/2024 16:00:00,60,60,59.39,59.87,11119402
07/05/2024 16:00:00,60.17,60.8,60.05,60.62,14520240
08/05/2024 16:00:00,60.63,60.85,60.22,60.3,11015695
09/05/2024 16:00:00,60.2,60.58,59.95,60.44,14550463
10/05/2024 16:00:00,60.41,60.58,60.16,60.48,12356612
13/05/2024 16:00:00,60.62,61.35,60.29,60.41,19260522
14/05/2024 16:00:00,60.52,60.55,59.44,59.86,18780139
15/05/2024 16:00:00,59.83,59.94,59.47,59.83,22240558
16/05/2024 16:00:00,64.22,64.42,62.94,64.01,60545613
17/05/2024 16:00:00,64.24,64.88,63.63,64.65,29330381
20/05/2024 16:00:00,64.42,64.76,63.87,64.18,15001391
21/05/2024 16:00:00,64.53,65.19,64.45,65.15,17131691
22/05/2024 16:00:00,64.98,65.69,64.73,65.25,14879434
23/05/2024 16:00:00,65.17,65.52,64.56,64.84,16222946
24/05/2024 16:00:00,65.13,65.69,65.01,65.38,11795024
28/05/2024 16:00:00,65.22,65.47,64.74,65.04,13349619
29/05/2024 16:00:00,64.75,65.21,64.65,64.92,11538552
30/05/2024 16:00:00,64.93,65.17,64.77,64.89,13053481
31/05/2024 16:00:00,64.67,65.9,64.16,65.76,27632223
03/06/2024 16:00:00,65.51,65.84,65.16,65.82,11578709
04/06/2024 16:00:00,65.99,66.64,65.83,66.6,14780755
05/06/2024 16:00:00,66.57,67.15,66.28,67.09,14982667
06/06/2024 16:00:00,67.06,67.44,66.77,67.15,13256005
07/06/2024 16:00:00,67.4,67.57,65.64,65.88,20213211
10/06/2024 16:00:00,67.19,67.33,66.27,66.96,21667416
11/06/2024 16:00:00,66.95,66.96,66.35,66.73,13367514
12/06/2024 16:00:00,66.85,66.94,65.9,66.31,11704704
13/06/2024 16:00:00,66.3,66.76,65.95,66.7,11196603
14/06/2024 16:00:00,66.54,67.11,66.3,67.02,12590146
17/06/2024 16:00:00,66.92,67.44,66.41,67.42,12103044
18/06/2024 16:00:00,67.63,67.87,67.3,67.6,12093549
20/06/2024 16:00:00,67.35,68.13,67.3,68.01,13860763
21/06/2024 16:00:00,68.26,68.55,67.83,67.91,25891526
24/06/2024 16:00:00,68.05,69.04,67.9,68.9,12470448
25/06/2024 16:00:00,67.17,67.59,66.55,67.42,20904039
26/06/2024 16:00:00,67.4,68.6,67.21,68.29,14177522
27/06/2024 16:00:00,68.29,68.58,67.67,67.88,12899186
28/06/2024 16:00:00,67.87,68.1,67.32,67.71,18816720
01/07/2024 16:00:00,67.89,68.24,67.25,67.48,8666021
02/07/2024 16:00:00,67.44,68.08,67.26,68.07,9436487
03/07/2024 13:00:00,67.81,68.25,67.62,68.24,6287545
05/07/2024 16:00:00,68.16,70.15,68.1,70.04,21586100
08/07/2024 16:00:00,69.9,70.14,69.35,69.68,12077679
09/07/2024 16:00:00,69.9,70.25,69.67,69.9,9781831
10/07/2024 16:00:00,70.1,70.44,69.72,70.41,10803405
11/07/2024 16:00:00,70.18,70.45,69.26,69.8,15624796
12/07/2024 16:00:00,69.9,70.03,69.17,69.24,12145317
15/07/2024 16:00:00,69.3,69.97,69.3,69.61,10171137
16/07/2024 16:00:00,69.82,70.24,69.58,69.99,9836824
17/07/2024 16:00:00,70.18,71.1,69.95,71.03,13533791
18/07/2024 16:00:00,70.68,71.19,70.43,70.82,10682742
19/07/2024 16:00:00,71.2,71.33,70.65,70.75,11665526
22/07/2024 16:00:00,70.86,71.26,70.23,70.38,12666130
