Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,118.28,118.47,115.66,116.03,27789759
02/05/2024 16:00:00,116.26,117.26,115.9,116.24,25513648
03/05/2024 16:00:00,116,116.07,114.13,116,28023313
06/05/2024 16:00:00,116.67,118.34,116.4,116.75,31401260
07/05/2024 16:00:00,117.28,117.58,115.93,116.17,30121973
08/05/2024 16:00:00,115.71,116.95,115.41,116.15,18957166
09/05/2024 16:00:00,116.2,118.53,116.19,118.44,17563975
10/05/2024 16:00:00,118.54,118.66,117.58,117.96,13648130
13/05/2024 16:00:00,118.42,119.04,117.12,117.91,15060619
14/05/2024 16:00:00,116.79,117.74,116.48,117.67,15079131
15/05/2024 16:00:00,117.61,118.84,116.08,118.58,18244303
16/05/2024 16:00:00,118.54,119.3,117.54,117.87,15745202
17/05/2024 16:00:00,118.3,119.83,117.96,119.64,15104469
20/05/2024 16:00:00,119.73,119.89,118.55,118.67,11551250
21/05/2024 16:00:00,118.4,119.45,117.78,117.85,14494980
22/05/2024 16:00:00,117.46,117.46,114.96,115.48,17879252
23/05/2024 16:00:00,115.6,117.51,113.36,113.51,15979835
24/05/2024 16:00:00,114.84,115.08,113.04,113.42,12212949
28/05/2024 16:00:00,113.52,115.11,113.07,114.86,13978305
29/05/2024 16:00:00,114.53,114.55,112.81,113.63,13902001
30/05/2024 16:00:00,113.27,114.13,112.96,113.99,14691976
31/05/2024 16:00:00,114.12,117.49,113.99,117.26,29037378
03/06/2024 16:00:00,116.3,116.36,113.76,114.45,19589338
04/06/2024 16:00:00,113,113.09,110.92,112.67,19412238
05/06/2024 16:00:00,112.89,113.19,111.48,113.12,14863516
06/06/2024 16:00:00,112.75,114.04,112.11,113.97,13154094
07/06/2024 16:00:00,113.79,114.9,112.67,112.75,13289196
10/06/2024 16:00:00,113.06,114.22,112.7,113.08,15245227
11/06/2024 16:00:00,112.49,112.67,111.31,112.17,12462403
12/06/2024 16:00:00,113.3,113.3,110.54,110.93,13606788
13/06/2024 16:00:00,110.84,110.86,109.72,110.04,14466868
14/06/2024 16:00:00,110.02,110.21,108.59,109.11,13313430
17/06/2024 16:00:00,109.17,109.46,108.18,108.36,21147943
18/06/2024 16:00:00,109.03,110.72,108.8,109.38,17762915
20/06/2024 16:00:00,109.91,112.62,109.59,111.74,17433192
21/06/2024 16:00:00,111.9,112.7,110.76,110.76,52220574
24/06/2024 16:00:00,111.64,114.53,111.64,114.05,16266688
25/06/2024 16:00:00,114.11,114.55,113.46,114.37,16213682
26/06/2024 16:00:00,114.39,114.82,113.14,114.41,15771751
27/06/2024 16:00:00,114.99,114.99,114.11,114.9,16812731
28/06/2024 16:00:00,115.86,116.54,114.68,115.12,24565910
01/07/2024 16:00:00,115.71,116.74,114.53,114.96,11972881
02/07/2024 16:00:00,115.9,115.94,113.49,114.18,13326703
03/07/2024 13:00:00,114.27,115.66,114.27,114.76,7732928
05/07/2024 16:00:00,114.61,114.63,112.69,113.37,12630986
08/07/2024 16:00:00,112.39,113.55,111.42,112.18,13350549
09/07/2024 16:00:00,111.11,112.54,110.62,110.94,11729085
10/07/2024 16:00:00,110.92,111.96,110.42,111.92,10004094
11/07/2024 16:00:00,111.43,113.32,110.93,113.25,13084875
12/07/2024 16:00:00,113.99,114.15,112.63,113.27,11684946
15/07/2024 16:00:00,114.27,116.16,113.58,115.21,13032503
16/07/2024 16:00:00,114.35,116.35,113.71,116.04,13614050
17/07/2024 16:00:00,116.74,118.18,116.55,117.64,13602766
18/07/2024 16:00:00,117.95,119.92,117.44,118.8,13033563
19/07/2024 16:00:00,118.59,118.88,115.87,116.07,16157707
22/07/2024 16:00:00,115.18,115.94,114.58,115.27,12065877
23/07/2024 16:00:00,114.81,115.17,113.17,113.41,11251733
24/07/2024 16:00:00,113.77,115.2,113.07,115.01,14925184
25/07/2024 16:00:00,115.17,118.03,114.56,117.43,17021698
26/07/2024 16:00:00,116.77,118.03,116.47,117.33,11252479
29/07/2024 16:00:00,117.32,117.39,115.38,116.1,8861806
30/07/2024 16:00:00,116.36,118.6,116.23,118.17,12483857
31/07/2024 16:00:00,119.64,119.76,118.56,118.59,15137710
01/08/2024 16:00:00,118.35,119.49,116.36,116.95,15051482
02/08/2024 16:00:00,115.97,118.87,115.42,116.88,20403773
05/08/2024 16:00:00,115.54,116.03,113.25,114.77,18025858
06/08/2024 16:00:00,114.45,115.63,113.63,114.16,13647778
07/08/2024 16:00:00,115.45,117.12,115.26,115.68,13660657
08/08/2024 16:00:00,116.08,118.11,115.73,117.89,13850993
09/08/2024 16:00:00,117.89,119.31,117.36,118.85,12151867
12/08/2024 16:00:00,119.55,120.17,118.02,119,13228911
13/08/2024 16:00:00,118.28,118.51,117.5,117.86,11585067
14/08/2024 16:00:00,118.1,119.9,117.63,118.95,12194520
15/08/2024 16:00:00,118.25,119.63,118.12,118.73,11579432
16/08/2024 16:00:00,117.99,118.48,117.66,118.17,10056024
19/08/2024 16:00:00,118.4,120.5,118.17,118.53,12417467
20/08/2024 16:00:00,118.65,118.65,114.51,114.58,15631967
21/08/2024 16:00:00,115.01,115.57,113.76,113.85,11752358
22/08/2024 16:00:00,113.78,115.01,113.64,114.73,10609501
23/08/2024 16:00:00,115.03,116.72,115.03,116.32,10381431
26/08/2024 16:00:00,117.76,118.94,116.92,118.81,13671016
27/08/2024 16:00:00,118.96,119.41,117.4,117.68,9991631
28/08/2024 16:00:00,117,117.58,116.26,116.52,10742867
29/08/2024 16:00:00,117.2,118.79,116.35,118.13,10753895
30/08/2024 16:00:00,116.79,118.02,116.29,117.94,13284689
03/09/2024 16:00:00,115.84,116.09,114.04,115.47,15725139
04/09/2024 16:00:00,115.29,116.15,113.98,114.06,12620584
05/09/2024 16:00:00,115.07,115.28,113.07,113.17,17200770
06/09/2024 16:00:00,113.59,114.18,111.73,112.64,13467747
09/09/2024 16:00:00,112.87,116.15,112.66,115.01,21645325
10/09/2024 16:00:00,115.1,115.4,110.17,110.82,20913405
11/09/2024 16:00:00,110.78,110.95,107.77,109.72,19571945
12/09/2024 16:00:00,109.9,111.33,109.76,111.23,15923318
13/09/2024 16:00:00,111.47,112.47,110.93,111.15,10035392
16/09/2024 16:00:00,112.05,113.09,111.69,112.71,11729034
17/09/2024 16:00:00,112.32,114.37,112.12,114.18,12202556
18/09/2024 16:00:00,114.11,115.63,113.81,114.58,12569929
19/09/2024 16:00:00,116.16,117.58,115.19,116,12660642
20/09/2024 16:00:00,115.46,115.51,114.25,115.27,36206195
23/09/2024 16:00:00,115.33,117.79,115.12,117.36,16066285
24/09/2024 16:00:00,117.84,118.16,116.83,117.05,11984863
25/09/2024 16:00:00,116.49,117.05,114.04,114.77,13816041
26/09/2024 16:00:00,111.14,113.48,111.14,112.8,16887908
27/09/2024 16:00:00,113.76,116.09,113.25,115.82,15963973
30/09/2024 16:00:00,115.46,117.39,114.96,117.22,13250657
01/10/2024 16:00:00,116.04,120.6,115.93,119.93,23235878
02/10/2024 16:00:00,121.93,122.82,120.2,121.52,17129676
03/10/2024 16:00:00,121.9,123.17,120.93,122.58,16524334
04/10/2024 16:00:00,123.2,125.19,122.43,124.83,19759207
07/10/2024 16:00:00,125.25,126.34,124.86,125.37,15714440
08/10/2024 16:00:00,123.88,124.02,121.26,122.04,14818475
09/10/2024 16:00:00,120.9,122.58,120.8,122.09,11144864
10/10/2024 16:00:00,123.16,123.7,122.29,123.14,10243320
11/10/2024 16:00:00,123.1,124.03,122.94,123.61,8294839
14/10/2024 16:00:00,123.24,124.26,122.62,124.08,9808122
15/10/2024 16:00:00,120.82,121.95,119.78,120.35,15771317
16/10/2024 16:00:00,120.89,121.44,120.6,120.66,8426770
17/10/2024 16:00:00,120.76,121.58,119.71,120.35,11204857
18/10/2024 16:00:00,120.44,120.64,119.15,120.01,12898640
21/10/2024 16:00:00,120.98,121.48,119.72,120.08,10177777
