date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,00:00:00,187.86,193.93,187.2,192.17,41267315,,,,,,,,,41267315
01/05/2024,00:00:00,181.64,185.15,176.56,179.0,94645148,,,,,,,,,-53377833
01/05/2025,00:00:00,190.63,191.81,187.5,190.2,74265963,,,,,,,,,20888130
01/07/2024,00:00:00,193.49,198.3,192.82,197.2,41192011,,,,,,,,,62080141
01/08/2024,00:00:00,189.29,190.6,181.87,184.07,70435635,,,,,,,,,-8355494
01/10/2024,00:00:00,184.9,186.19,183.45,185.13,36044906,,,,,,,,,27689412
01/11/2024,00:00:00,199.0,200.5,197.02,197.93,99687847,,,,,,,,,127377259
02/01/2025,00:00:00,222.03,225.15,218.19,220.22,33956579,,,,,,,,,161333838
02/04/2025,00:00:00,187.66,198.34,187.66,196.01,53679198,,,,,,,,,107654640
02/05/2024,00:00:00,180.85,185.1,179.91,184.72,54303510,,,,,,,,,53351130
02/05/2025,00:00:00,191.44,192.88,186.4,189.98,77903487,,,,,,,,,131254617
02/06/2025,00:00:00,204.98,207.0,202.68,206.65,29113319,,,,,,,,,160367936
02/07/2024,00:00:00,197.28,200.43,195.93,200.0,45600013,,,,,,,,,114767923
02/08/2024,00:00:00,166.75,168.77,160.55,167.9,141448365,,,,39.52750700323222,,,,,-26680442
02/10/2024,00:00:00,184.44,186.6,184.04,184.76,23704056,,,,47.20242377450284,,,,,-2976386
02/12/2024,00:00:00,209.96,212.99,209.51,210.71,39523185,,,,56.37891651849496,,,,,36546799
03/01/2025,00:00:00,222.51,225.36,221.62,224.19,27515606,,,,60.24435492774234,,,,,64062405
03/02/2025,00:00:00,234.06,239.25,232.9,237.42,37285868,,,,63.64901048610709,,,,,101348273
03/03/2025,00:00:00,213.35,214.01,202.55,205.02,42948447,,,,51.9218166012346,,,,,58399826
03/04/2025,00:00:00,183.0,184.13,176.92,178.41,95553617,,,,44.64617562710387,196.5845,229.77794903742304,163.39105096257694,66.3868980748461,-37153791
03/05/2024,00:00:00,186.99,187.87,185.42,186.21,39172004,,,,46.99097458525888,196.2865,229.7391281628216,162.83387183717844,66.90525632564311,2018213
03/06/2024,00:00:00,177.7,178.7,175.92,178.34,30786640,,,,44.923244217142894,196.2535,229.7755036841475,162.73149631585244,67.04400736829507,-28768427
03/06/2025,00:00:00,207.11,208.95,205.03,205.71,33139121,,,,52.71580505301191,197.029,230.67235351893447,163.38564648106552,67.28670703786895,4370694
03/07/2024,00:00:00,199.94,200.03,196.76,197.59,31597926,,,,50.43589608398668,197.0485,230.6926794520241,163.40432054797589,67.28835890404821,-27227232
03/09/2024,00:00:00,177.55,178.26,175.26,176.25,37817511,,,,44.935552500426766,196.6575,231.06893000515964,162.24606999484035,68.82286001031929,-65044743
03/10/2024,00:00:00,183.05,183.44,180.88,181.96,30204302,-1.7842970280175905,,,46.61323606830626,196.499,231.1497240328395,161.8482759671605,69.30144806567898,-34840441
03/12/2024,00:00:00,210.31,214.02,209.65,213.44,32214828,0.0627807833133999,,,54.79119764551651,197.2745,232.70410653182591,161.84489346817412,70.8592130636518,-2625613
04/02/2025,00:00:00,239.01,242.52,238.03,242.06,29713812,3.792282991241564,,,60.68728720638674,198.3665,237.6899811658378,159.0430188341622,78.64696233167558,27088199
04/03/2025,00:00:00,200.11,206.8,197.43,203.8,60853084,3.618960983307829,,,51.093934047709865,198.75600000000003,238.1326846750714,159.37931532492863,78.75336935014275,-33764885
04/04/2025,00:00:00,167.15,178.14,166.0,171.0,123159359,0.8254014502167024,,,44.58676312722827,198.07,238.85379776332752,157.28620223667247,81.56759552665505,-156924244
04/06/2024,00:00:00,177.64,179.82,176.44,179.34,27198388,-0.7073919326919338,,,46.45411375719287,197.538,239.0019484854012,156.07405151459884,82.9278969708023,-129725856
04/06/2025,00:00:00,206.55,208.18,205.18,207.23,29915592,0.324606322096912,,,52.24920295662014,197.567,239.05720274715463,156.07679725284535,82.98040549430931,-99810264
04/09/2024,00:00:00,174.48,175.98,172.54,173.33,30309225,-1.5748207583060605,,,45.765696370013465,196.2335,239.0193220792823,153.4476779207177,85.5716441585646,-130119489
04/10/2024,00:00:00,185.75,187.6,183.6,186.51,41079011,-1.993633191575583,-0.4746934735946622,-1.5189397179809208,48.44429364926048,197.164,238.21902522225508,156.10897477774495,82.11005044451014,-89040478
04/11/2024,00:00:00,196.45,197.33,194.31,195.78,38492062,-1.5595559448030087,-0.6916659678363315,-0.8678899769666772,50.30341982926092,197.715,238.3833161687326,157.04668383126736,81.33663233746523,-50548416
