date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,16:00:00,166.37,168.71,163.42,168.52,20472443,,,,,,,,,20472443
01/05/2024,16:00:00,127.83,129.24,124.13,124.29,3095783,,,,,,,,,17376660
01/05/2025,16:00:00,198.14,201.4,196.24,197.33,24939695,,,,,,,,,42316355
01/07/2024,16:00:00,160.82,164.88,159.35,164.08,4762344,,,,,,,,,37554011
01/08/2024,16:00:00,157.5,158.91,146.17,147.02,40319955,,,,,,,,,-2765944
01/10/2024,16:00:00,172.16,172.25,165.8,167.47,23770416,,,,,,,,,21004472
01/11/2024,16:00:00,168.26,171.33,167.5,168.92,17847038,,,,,,,,,38851510
02/01/2025,16:00:00,236.16,239.5,230.24,231.98,31525830,,,,,,,,,70377340
02/04/2025,16:00:00,166.08,173.43,165.5,172.09,19523663,,,,,,,,,50853677
02/05/2024,16:00:00,125.63,126.45,122.33,123.86,2947968,,,,,,,,,47905709
02/05/2025,16:00:00,203.9,205.68,201.08,203.64,17766751,,,,,,,,,65672460
02/06/2025,16:00:00,243.25,250.0,243.19,248.71,19197009,,,,,,,,,84869469
02/07/2024,16:00:00,164.08,165.92,162.2,165.75,3253884,,,,,,,,,81615585
02/08/2024,16:00:00,141.93,145.35,139.6,143.82,33745843,,,,46.15182937495944,,,,,47869742
02/10/2024,16:00:00,167.55,172.84,167.02,170.66,14317834,,,,49.725754013227046,,,,,62187576
02/12/2024,16:00:00,162.95,168.38,162.75,166.51,21472442,,,,49.18221244033148,,,,,40715134
03/01/2025,16:00:00,233.59,236.49,229.0,232.55,24973192,,,,57.199755339981095,,,,,65688326
03/02/2025,16:00:00,215.46,220.94,213.51,217.73,24507274,,,,55.098908661629096,,,,,41181052
03/03/2025,16:00:00,204.0,204.06,184.53,187.37,37435603,,,,50.96896393103023,,,,,3745449
03/04/2025,16:00:00,160.54,163.43,153.7,154.01,44354859,,,,46.81647123874163,177.8155,245.57005924880627,110.06094075119373,135.50911849761258,-40609410
03/05/2024,16:00:00,125.9,128.39,124.71,127.81,2489755,,,,43.79845355208472,175.78,246.89213679815845,104.66786320184156,142.2242735963169,-43099165
03/06/2024,16:00:00,135.27,135.3,130.25,132.19,2627847,,,,44.44324237256143,176.175,246.2184543694127,106.13154563058733,140.0869087388254,-40471318
03/06/2025,16:00:00,250.08,257.88,249.4,256.85,30380248,,,,58.89699216398306,179.151,257.143586288698,101.15841371130205,155.98517257739593,-10091070
03/07/2024,13:05:00,167.0,172.92,166.45,172.92,3995382,,,,49.55017735724536,179.593,257.3387402305747,101.84725976942528,155.49148046114937,-14086452
03/09/2024,16:00:00,160.38,160.74,151.38,152.79,37179061,,,,47.59907406645384,179.8815,257.1831642188252,102.57983578117478,154.60332843765042,-51265513
03/10/2024,16:00:00,169.62,174.94,169.19,171.89,13072281,-0.0506163775029335,,,49.62590076846248,180.10250000000002,257.2861490132464,102.9188509867537,154.36729802649268,-38193232
03/12/2024,16:00:00,164.48,168.27,164.03,168.15,17024434,-0.6207792354923924,,,49.22440492913631,180.064,257.27068711970486,102.85731288029513,154.41337423940973,-55217666
04/02/2025,16:00:00,219.35,223.03,215.3,222.43,23768517,3.2696148699060643,,,54.92431381122197,179.5865,255.612034467046,103.560965532954,152.05106893409203,-31449149
04/03/2025,16:00:00,189.22,193.95,180.48,187.48,37910477,3.492349683310522,,,50.95774394745597,180.356,256.37399350153885,104.33800649846118,152.03598700307765,-69359626
04/04/2025,16:00:00,148.17,152.8,139.17,146.29,72302229,0.3412461931480663,,,46.679135288771896,181.4775,254.74033611081407,108.21466388918596,146.5256722216281,-141661855
04/06/2024,16:00:00,132.04,133.2,130.7,133.08,2304814,-3.1852451019153705,,,45.36362033395769,177.9495,253.3675637447025,102.53143625529756,150.83612748940493,-143966669
04/06/2025,16:00:00,258.06,265.43,257.59,261.08,31536047,4.298959668071035,,,57.77973638567313,178.568,256.4594661821178,100.67653381788222,155.7829323642356,-112430622
04/09/2024,16:00:00,150.3,157.79,149.15,154.12,20324062,1.581240218139328,,,47.96976861501799,177.9865,256.42379120131574,99.54920879868428,156.87458240263146,-132754684
04/10/2024,16:00:00,176.3,176.9,172.6,176.64,17941387,1.2304202477581896,1.1169023373198788,0.1135179104383108,49.89851146409304,179.6275,256.4944616610413,102.76053833895864,153.73392332208266,-114813297
04/11/2024,16:00:00,169.28,172.45,168.42,168.55,13621310,0.2961832880834265,0.9527585274725884,-0.6565752393891618,49.19302782798167,179.522,256.4436761647846,102.60032383521532,153.84335232956929,-128434607
