date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,00:00:00,153.62,158.1,153.62,157.07,30672899,,,,,,,,,30672899
01/05/2024,00:00:00,164.3,167.12,163.09,163.86,33493151,,,,,,,,,64166050
01/05/2025,00:00:00,160.45,161.95,158.91,161.3,30203248,,,,,,,,,33962802
01/07/2024,00:00:00,183.03,183.88,181.3,182.99,16006128,,,,,,,,,49968930
01/08/2024,00:00:00,170.25,174.05,168.88,170.76,24531392,,,,,,,,,25437538
01/10/2024,00:00:00,167.69,169.16,164.58,166.99,28338123,,,,,,,,,-2900585
01/11/2024,00:00:00,170.07,172.32,168.88,171.29,31796477,,,,,,,,,28895892
02/01/2025,00:00:00,190.65,192.0,187.5,189.43,20370828,,,,,,,,,49266720
02/04/2025,00:00:00,155.15,158.41,154.7,157.04,25041730,,,,,,,,,24224990
02/05/2024,00:00:00,164.79,166.73,163.89,166.62,24294549,,,,,,,,,48519539
02/05/2025,00:00:00,163.41,164.97,161.87,164.03,25715005,,,,,,,,,22804534
02/06/2025,00:00:00,167.84,169.87,167.39,169.03,38612272,,,,,,,,,61416806
02/07/2024,00:00:00,182.05,185.57,181.56,185.24,17372485,,,,,,,,,78789291
02/08/2024,00:00:00,166.44,168.51,164.67,166.66,29130102,,,,50.608278947799775,,,,,49659189
02/10/2024,00:00:00,166.42,167.52,164.73,165.86,17760179,,,,50.20144636915976,,,,,31899010
02/12/2024,00:00:00,168.77,172.08,168.57,171.49,23789084,,,,53.061203778501614,,,,,55688094
03/01/2025,00:00:00,191.37,193.21,189.98,191.79,18596159,,,,61.61963059953589,,,,,74284253
03/02/2025,00:00:00,200.69,203.75,200.1,201.23,27838348,,,,64.83094842710472,,,,,102122601
03/03/2025,00:00:00,171.93,173.37,165.93,167.01,40770451,,,,48.868601517553536,,,,,61352150
03/04/2025,00:00:00,151.11,152.78,150.39,150.72,46883371,,,,43.39156712706464,171.0205,196.02781530972487,146.01318469027512,50.01463061944975,14468779
03/05/2024,00:00:00,167.56,167.96,163.05,167.24,34662432,,,,49.56493026870774,171.529,195.78320944908324,147.27479055091675,48.5084188981665,49131211
03/06/2024,00:00:00,172.54,174.53,171.16,173.17,27459118,,,,51.60511497920579,171.99450000000002,195.99816178315305,147.990838216847,48.00732356630601,76590329
03/06/2025,00:00:00,167.49,168.48,165.28,166.18,45084903,,,,49.08459998821689,172.2385,195.89911814492595,148.57788185507405,47.321236289851925,31505426
03/07/2024,00:00:00,184.85,186.09,184.0,185.82,10242126,,,,55.64049798687438,172.38,196.3282199756057,148.4317800243943,47.89643995121139,41747552
03/09/2024,00:00:00,161.72,161.85,156.48,157.36,38945301,,,,46.33088335152038,171.70999999999998,196.53572939512551,146.88427060487444,49.65145879025107,2802251
03/10/2024,00:00:00,164.41,166.64,163.92,165.86,15073101,0.9327798318369104,,,49.07163175980367,171.6535,196.52703796708465,146.7799620329154,49.74707593416923,17875352
03/12/2024,00:00:00,171.49,172.68,170.85,171.34,22248705,0.987019105481636,,,50.81552184067433,171.656,196.52940137576684,146.78259862423317,49.746802751533664,40124057
04/02/2025,00:00:00,203.39,207.05,202.81,206.38,43856425,3.8134798571350927,,,60.200008961674726,172.5035,200.67762449393948,144.32937550606053,56.34824898787895,83980482
04/03/2025,00:00:00,166.24,173.29,165.8,170.92,45387996,3.155767000372009,,,49.8368457265284,173.1975,200.4836187236294,145.91138127637058,54.57223744725883,38592486
04/04/2025,00:00:00,148.01,151.07,145.38,145.6,62259539,0.5846726880890003,,,44.01090886380947,172.1465,201.87503126207213,142.41796873792788,59.45706252414425,-23667053
04/06/2024,00:00:00,173.28,173.85,171.89,173.79,26879596,0.8123945495414944,,,50.89375429957716,172.6345,202.1336135290537,143.1353864709463,58.99822705810743,3212543
04/06/2025,00:00:00,166.74,168.22,166.36,168.05,26900838,0.5236593179211866,,,49.557840389985856,172.5855,202.1116433140192,143.05935668598082,59.05228662803836,-23688295
04/09/2024,00:00:00,156.66,159.0,155.96,156.45,19353759,-0.6338814968003987,,,46.879721888795714,171.14600000000002,200.87053693499692,141.42146306500305,59.44907386999392,-43042054
04/10/2024,00:00:00,168.06,168.23,165.48,167.06,19093724,-0.6871812063765503,0.5639022882956783,-1.251083494672229,49.56442620622632,171.166,200.87897252043285,141.45302747956714,59.42594504086571,-23948330
04/11/2024,00:00:00,169.93,170.73,168.01,169.24,21492744,-0.5472059793336541,0.3416806347698118,-0.8888866141034659,50.12221409587692,171.33499999999998,200.96366281154107,141.7063371884589,59.25732562308218,-2455586
04/12/2024,00:00:00,171.15,174.91,171.06,174.37,31615137,-0.0220720438518071,0.2689300990454881,-0.2910021428972952,51.48203053315706,171.479,201.13725611865945,141.8207438813406,59.31651223731882,29159551
05/02/2025,00:00:00,191.07,192.75,188.03,191.33,70461770,1.7425436838772723,0.563652816011845,1.1788908678654275,55.77478671300617,171.456,201.05186349475207,141.8601365052479,59.19172698950416,99621321
