date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
2024-06-26,16:00:00,339.46,342.59,337.53,341.82,3365303,-0.5710447505038019,0.9730014984690716,-1.5440462489728737,43.80963884804122,372.7005,425.5294914630216,319.87150853697835,105.65798292604325,-81956904
2024-06-27,16:00:00,342.83,344.76,338.45,341.49,2912566,-1.0956811172962944,2.701850194703564,-3.7975313119998577,43.7584217743114,378.693,434.52753164485233,322.8584683551477,111.66906328970458,-73855224
2024-06-28,16:00:00,341.35,345.28,340.71,344.24,6344192,-6.577289593752141,-1.096171467570847,-5.481118126181294,45.15370396633674,382.4745,439.97488242481535,324.9741175751846,115.00076484963074,-83275923
2024-07-05,16:00:00,332.71,335.92,331.64,334.58,3437489,-3.844440268716937,1.653434136408959,-5.497874405125897,44.43242418357852,377.633,440.73455120121855,314.5314487987814,126.20310240243714,-24894026
2024-07-08,16:00:00,335.88,340.76,335.0,339.6,3534519,-5.721678902009842,-3.294299312459695,-2.4273795895501467,46.11118676639781,367.852,424.5877875066522,311.11621249334775,113.47157501330446,-27576488
2024-07-09,16:00:00,338.95,339.26,335.57,337.09,2255131,-3.8767079378199583,-2.166094002239866,-1.7106139355800924,45.542973429664826,361.193,414.3216247139901,308.06437528601003,106.25724942798,-31999085
2024-07-11,16:00:00,350.78,354.13,345.0,353.79,4147603,-2.879160888196452,0.4464964528495877,-3.32565734104604,47.18899048245918,376.2885,436.9649808719161,315.6120191280839,121.35296174383222,-41681417
2024-07-12,16:00:00,355.0,363.95,354.09,359.77,4019875,-1.6999355762979462,1.6489566597200136,-3.34889223601796,47.207038907361,378.177,434.3327452448101,322.02125475518994,112.31149048962016,-44701373
2024-07-15,16:00:00,359.14,361.18,355.03,358.46,2884198,-1.7919970873642228,-0.3205490293828568,-1.471448057981366,47.42266928767787,375.2795,427.75084245471527,322.8081575452847,104.94268490943055,-51708674
2024-07-16,16:00:00,360.06,369.42,359.5,369.12,3210362,-1.0804942001154814,0.2950149233085392,-1.3755091234240204,48.94453725942595,373.5945,425.93933641200925,321.2496635879908,104.68967282401844,-51193941
2024-07-17,16:00:00,366.64,375.19,365.42,371.89,3991105,-3.619330477018252,-0.6408330069476513,-2.978497470070601,49.55922598003059,376.3215,428.0294310261009,324.613568973899,103.41586205220187,-51820392
2024-07-18,16:00:00,369.9,375.74,365.78,366.08,2394996,-1.525542777375449,0.391432783872923,-1.916975561248372,47.85066009196463,376.5165,427.2919548084014,325.74104519159863,101.55090961680276,-51538116
2024-07-19,16:00:00,366.43,367.6,361.95,363.36,2474497,-0.3455329849274449,1.719010646065913,-2.0645436309933576,46.64822350009645,377.4895,425.3579837758625,329.6210162241375,95.736967551725,-50428350
2024-07-22,16:00:00,364.5,367.28,361.08,363.25,4049300,-3.079190104791792,-1.4927155654052084,-1.5864745393865831,48.12391552022833,374.213,425.1242156994902,323.30178430050984,101.82243139898036,-69463614
2024-07-23,16:00:00,365.43,365.43,359.38,359.62,2535667,-3.3784256618765767,-0.7960045012300646,-2.582421160646512,47.636077371803495,371.6725,428.14773240324047,315.1972675967596,112.95046480648092,-66512284
