date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,16:00:00,364.14,367.29,361.92,365.52,2801979,,,,,,,,,2801979
01/05/2024,16:00:00,333.01,335.39,329.43,331.97,3267852,,,,,,,,,-465873
01/05/2025,16:00:00,360.31,362.88,357.72,358.3,3210084,,,,,,,,,2744211
01/07/2024,16:00:00,343.92,344.65,335.39,336.19,2643576,,,,,,,,,100635
01/08/2024,16:00:00,369.99,371.48,353.75,358.58,3759024,,,,,,,,,3859659
01/10/2024,16:00:00,404.02,410.56,401.41,409.05,3476191,,,,,,,,,7335850
01/11/2024,16:00:00,394.8,398.71,392.01,392.59,3277974,,,,,,,,,4057876
02/01/2025,16:00:00,392.2,392.67,386.38,388.46,2418343,,,,,,,,,1639533
02/04/2025,16:00:00,362.56,372.31,362.26,370.89,3189508,,,,,,,,,-1549975
02/05/2024,16:00:00,335.5,336.0,330.98,335.53,3213554,,,,,,,,,-4763529
02/05/2025,16:00:00,362.08,366.23,361.16,364.52,2283261,,,,,,,,,-2480268
02/06/2025,16:00:00,365.15,368.04,361.84,367.96,2507113,,,,,,,,,26845
02/07/2024,16:00:00,335.0,336.83,332.53,334.97,2995943,,,,,,,,,-2969098
02/08/2024,16:00:00,354.93,355.57,346.74,355.43,3764790,,,,47.99900468697983,,,,,795692
02/10/2024,16:00:00,407.7,411.46,404.96,411.26,3431264,,,,59.85877850475264,,,,,4226956
02/12/2024,16:00:00,429.0,430.4,423.16,426.96,2617198,,,,62.45216005093654,,,,,6844154
03/01/2025,16:00:00,389.82,391.01,385.81,389.18,2232389,,,,53.49560640107548,,,,,4611765
03/02/2025,16:00:00,406.12,411.9,401.01,408.76,2896444,,,,56.94213125327996,,,,,7508209
03/03/2025,16:00:00,396.95,397.07,386.47,389.69,3397551,,,,52.8350592524765,,,,,4110658
03/04/2025,16:00:00,355.78,360.04,351.71,355.91,5407124,,,,46.44465961752197,372.586,427.69466044461615,317.4773395553839,110.21732088923228,-1296466
03/05/2024,16:00:00,341.28,346.88,340.37,342.85,4165054,,,,44.21790580358464,371.4525,428.0094220785573,314.89557792144274,113.1138441571145,-5461520
03/06/2024,16:00:00,333.65,333.65,326.84,328.01,3712785,,,,41.76743446263768,371.2545,428.3877234256041,314.1212765743959,114.26644685120824,-9174305
03/06/2025,16:00:00,367.96,373.54,367.0,373.08,3359541,,,,50.70279524434949,371.9935,428.81887647037627,315.1681235296237,113.65075294075255,-5814764
03/07/2024,13:00:00,337.0,339.64,333.54,333.64,1732991,,,,44.297238882264594,371.866,429.0226134056244,314.7093865943757,114.31322681124868,-7547755
03/09/2024,16:00:00,367.9,369.38,362.9,364.74,3598082,,,,49.69422122271971,372.174,429.1068676249493,315.2411323750507,113.86573524989852,-3949673
03/10/2024,16:00:00,409.0,412.97,406.8,411.58,3320682,0.7825234767021243,,,56.52615308567368,372.3005,429.5707898456084,315.0302101543916,114.54057969121686,-628991
03/12/2024,16:00:00,429.73,430.68,423.32,429.35,2713985,5.409143943922686,,,58.81152350989073,374.1385,436.0656301692562,312.2113698307438,123.8542603385124,2084994
04/02/2025,16:00:00,409.51,412.58,406.09,411.49,2150773,7.547617028566435,,,55.64534028440026,375.29,439.0682994442468,311.5117005557533,127.55659888849344,-65779
04/03/2025,16:00:00,386.15,387.96,378.9,381.68,4384823,6.759040476323605,,,50.73567112314507,375.8295,439.6323342552273,312.02666574477274,127.6056685104545,-4450602
04/04/2025,16:00:00,350.71,365.44,349.04,353.9,7531133,3.848115365861816,,,46.60857835787791,376.748,438.7060321185236,314.7899678814764,123.91606423704718,-11981735
04/06/2024,16:00:00,326.87,329.79,325.1,328.26,4296831,-0.5217332576151534,,,43.12199443545974,374.93500000000006,440.2493345675359,309.62066543246425,130.62866913507162,-16278566
04/06/2025,16:00:00,373.08,375.37,371.66,372.4,2429139,-0.4183185522753092,,,50.04944697359983,375.157,440.40514391229846,309.9088560877016,130.49628782459683,-13849427
