date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
2024-06-20,00:00:00,145.27,148.08,145.01,147.78,8749717,-0.8269876008605195,-0.0425674076612033,-0.7844201931993161,46.399809683894176,156.03050000000002,169.94961559690472,142.11138440309531,27.838231193809406,-130959860
2024-06-21,00:00:00,147.89,149.08,147.37,148.75,15176869,-0.7674085250617395,-0.2842831595843575,-0.4831253654773819,46.620877495082105,155.1255,168.28530923113996,141.96569076886,26.319618462279948,-117826442
2024-06-24,00:00:00,149.0,149.72,148.17,149.12,6914671,-0.7050053870339354,0.043106670474453,-0.7481120575083885,46.50263739209788,155.4375,168.92473822730202,141.95026177269798,26.97447645460403,-129045398
2024-06-25,00:00:00,149.18,149.2,146.94,147.19,6620303,-0.1878501367396836,0.2985721988344778,-0.4864223355741614,45.657350452475455,156.305,171.09206799876148,141.5179320012385,29.574135997522944,-124029896
2024-06-26,00:00:00,146.2,147.19,145.78,146.82,5267809,0.1644672130678088,0.5743575304224539,-0.409890317354645,44.63466520771373,157.2015,170.27153179032072,144.1314682096793,26.140063580641424,-115541272
2024-06-27,00:00:00,146.8,147.36,144.84,145.8,5739246,-0.7942145072506435,0.0554845781537499,-0.8496990854043934,44.3644996149972,156.8425,169.35945949502093,144.32554050497907,25.03391899004185,-112742002
2024-06-28,00:00:00,146.04,147.07,145.65,146.16,10495735,-1.5927714908489747,-0.6465142985261578,-0.9462571923228168,45.57062576900511,155.3565,169.86625433975354,140.84674566024648,29.01950867950705,-127389879
2024-07-05,00:00:00,145.77,146.55,144.5,146.48,4888535,-0.9152744706843804,0.1618413151748599,-1.0771157858592404,45.90368654128402,155.529,168.98762533842142,142.07037466157857,26.91725067684285,-15448889
2024-07-08,00:00:00,146.4,147.22,145.25,145.48,5260229,-1.3523606510912884,-0.7563594845007453,-0.5960011665905431,46.23737233218449,153.64249999999998,166.3290943026487,140.95590569735126,25.373188605297457,-22494856
2024-07-09,00:00:00,145.67,147.13,145.18,147.05,5892187,-0.6428679382518396,-0.3851829194094147,-0.2576850188424249,46.23659216369434,152.697,162.993609344828,142.400390655172,20.593218689656,-50464811
2024-07-10,00:00:00,147.26,149.47,146.68,149.43,6093187,-0.6512182977007797,-0.1958061188793607,-0.4554121788214189,48.005469500896005,154.2895,167.43145643730412,141.1475435626959,26.28391287460824,-50303485
2024-07-11,00:00:00,149.58,150.58,148.64,149.7,6352109,-0.3610920061514093,0.1913423762730856,-0.552434382424495,47.92847451595162,154.7515,169.76896486594853,139.73403513405145,30.03492973189708,-56432009
2024-07-12,00:00:00,150.0,150.88,149.24,149.88,5336394,-0.5552495691419779,-0.0021237046445812,-0.5531258644973966,47.941443603628514,155.2075,168.3564069887956,142.0585930112044,26.297813977591204,-74067170
2024-07-15,00:00:00,150.08,150.25,148.87,149.24,6711354,-0.9212794200615804,-0.5902996483870389,-0.3309797716745415,47.79354413428873,153.214,165.18702033740863,141.24097966259134,23.94604067481731,-130843807
2024-07-16,00:00:00,149.69,151.08,149.16,151.01,6469582,-0.2850249718292161,-0.1036359504037707,-0.1813890214254453,48.40777280059592,152.7595,162.7274094598618,142.7915905401382,19.9358189197236,-132293064
2024-07-17,00:00:00,151.55,157.49,151.42,156.58,13801429,0.0597448141107577,0.3507676288625915,-0.2910228147518338,51.22868045121031,154.668,167.57552276775053,141.76047723224949,25.81504553550104,-129732218
2024-07-18,00:00:00,155.6,157.07,154.62,155.42,10166247,0.1496774561120446,0.5397376819285842,-0.3900602258165395,50.12078539833188,155.695,170.4710028424468,140.91899715755318,29.55200568489363,-118777522
2024-07-19,00:00:00,156.51,156.51,154.12,154.69,7398036,0.1818280040987758,0.5119074660047963,-0.3300794619060204,49.42500199235685,156.7295,170.76536616493598,142.69363383506402,28.071732329871963,-128143579
2024-07-22,00:00:00,154.77,155.11,153.59,154.24,6840609,-0.4485838911920154,-0.2788060930869364,-0.1697777981050791,49.55171642230812,154.8775,166.9023074828663,142.8526925171337,24.049614965732587,-126340205
2024-07-23,00:00:00,153.31,153.5,151.57,152.35,6261870,-0.7688500906536433,-0.3361046256911112,-0.4327454649625321,48.52376966710703,154.5885,164.61781159153,144.55918840847002,20.05862318305998,-131315088
2024-07-24,00:00:00,152.76,156.41,152.33,156.28,7168217,-0.4990432027938709,-0.0653233041792117,-0.4337198986146592,50.65140710982108,155.59250000000003,169.04360385804813,142.14139614195193,26.9022077160962,-121877181
