date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,00:00:00,242.62,245.69,240.88,243.66,8054683,,,,,,,,,8054683
01/05/2024,00:00:00,192.27,194.46,190.79,191.86,7446703,,,,,,,,,607980
01/05/2025,00:00:00,242.84,248.45,242.17,246.89,8689579,,,,,,,,,9297559
01/07/2024,00:00:00,202.84,207.09,202.66,205.45,10205836,,,,,,,,,-908277
01/08/2024,00:00:00,213.2,213.83,206.38,207.96,10918644,,,,,,,,,10010367
01/10/2024,00:00:00,208.9,209.09,206.19,207.04,8540064,,,,,,,,,1470303
01/11/2024,00:00:00,223.56,226.15,222.7,222.94,6923452,,,,,,,,,8393755
02/01/2025,00:00:00,240.63,243.28,239.45,240.0,9220914,,,,,,,,,17614669
02/04/2025,00:00:00,241.6,247.25,241.46,245.82,7758750,,,,,,,,,25373419
02/05/2024,00:00:00,193.07,193.5,189.52,191.66,6501657,,,,,,,,,18871762
02/05/2025,00:00:00,251.26,253.62,249.46,252.51,7165044,,,,,,,,,26036806
02/06/2025,00:00:00,263.02,265.03,261.9,264.66,6011165,,,,,,,,,32047971
02/07/2024,00:00:00,205.29,208.86,204.77,208.83,7802936,,,,,,,,,24245035
02/08/2024,00:00:00,203.88,204.67,196.89,199.14,18041676,,,,43.25284153879068,,,,,6203359
02/10/2024,00:00:00,207.08,208.95,205.69,207.29,5810931,,,,45.15837742326173,,,,,12014290
02/12/2024,00:00:00,249.55,250.25,245.03,246.25,8899741,,,,53.241506994678105,,,,,20914031
03/01/2025,00:00:00,243.89,244.88,240.26,243.28,9491053,,,,52.60497788177924,,,,,11422978
03/02/2025,00:00:00,261.83,268.17,261.7,266.81,8381361,,,,56.99197723397915,,,,,19804339
03/03/2025,00:00:00,264.0,266.32,257.82,260.62,9058307,,,,55.53564629640028,,,,,10746032
03/04/2025,00:00:00,234.27,235.14,227.3,228.69,17188469,,,,48.63223800325423,229.068,277.5526737021092,180.5833262978908,96.9693474042184,-6442437
03/05/2024,00:00:00,192.0,192.53,188.46,190.51,8922775,,,,41.92176707633204,226.4105,277.1773488188897,175.64365118111033,101.53369763777935,-15365212
03/06/2024,00:00:00,202.31,202.42,199.19,201.82,6444309,,,,44.370520758317895,226.90849999999995,276.4914814654181,177.3255185345818,99.16596293083629,-8920903
03/06/2025,00:00:00,263.73,266.58,262.88,266.27,6998383,,,,55.8056998131201,227.8775,279.6918771071312,176.06312289286882,103.62875421426236,-1922520
03/07/2024,00:00:00,209.55,210.38,207.65,208.69,5560925,,,,46.59113750983454,228.0395,279.5919798530585,176.48702014694155,103.10495970611694,-7483445
03/09/2024,00:00:00,222.3,224.1,219.24,220.3,8956089,,,,48.43979325526495,228.6565,279.5237599124427,177.7892400875573,101.7345198248854,1472644
