date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
2024-06-20,00:00:00,62.4,62.74,61.95,62.18,13306273,-0.2781549413899569,-0.0245776887220971,-0.2535772526678597,46.3478010222699,67.075,74.64375022708508,59.50624977291493,15.137500454170144,286772522
2024-06-21,00:00:00,62.18,63.1,62.18,62.77,28282194,-0.0498521173748116,0.0221878654782319,-0.0720399828530436,47.03412679582039,67.0065,75.20179688296894,58.81120311703107,16.390593765937865,230364298
2024-06-24,00:00:00,62.99,64.06,62.91,63.97,13212454,-0.3010864444115668,-0.0048369851031905,-0.2962494593083762,47.84936908286145,67.2415,75.34767116769689,59.13532883230312,16.21234233539377,187948471
2024-06-25,00:00:00,63.94,64.07,63.51,63.84,10546793,0.1525178336101902,0.1222510546584961,0.030266778951694,47.361504499178125,67.59599999999999,75.00640457734934,60.18559542265063,14.820809154698717,206746597
2024-06-26,00:00:00,63.4,64.11,63.23,64.05,9402502,0.0329649226768253,0.1623057907204492,-0.1293408680436238,47.19919856870119,67.7525,74.45933792856219,61.0456620714378,13.413675857124389,178106837
2024-06-27,00:00:00,64.05,64.27,63.62,63.91,8494123,0.074145419038885,0.0932068823538035,-0.0190614633149185,46.47588497800525,67.7915,74.35708992018239,61.225910079817616,13.131179840364773,220986468
2024-06-28,00:00:00,63.9,64.06,63.52,63.65,17358827,-0.2008697232505625,-0.007631034033734,-0.1932386892168285,46.91740944358682,67.6525,75.67383872866621,59.6311612713338,16.042677457332417,212145405
2024-07-05,00:00:00,63.33,63.79,63.0,63.76,11735460,-0.3088580047156881,-0.2036419379237103,-0.1052160667919778,46.98335345709704,67.659,75.37990383310142,59.9380961668986,15.441807666202829,73468210
2024-07-08,00:00:00,63.59,63.59,62.84,62.96,11235135,-0.2941310574286291,-0.212516990599807,-0.081614066828822,47.613351163914345,66.421,73.99618290208231,58.845817097917696,15.150365804164617,79738122
2024-07-09,00:00:00,63.06,63.23,62.59,62.69,11660197,0.1404225930921541,0.1192348406110456,0.0211877524811084,47.10233999730181,66.759,73.87934521635013,59.63865478364986,14.24069043270027,124464532
2024-07-10,00:00:00,62.72,62.86,62.29,62.83,11930407,-0.1514852714934136,0.0134666406667219,-0.1649519121601355,47.10998876323621,67.11,74.79674703629567,59.42325296370433,15.373494072591342,122278519
2024-07-11,00:00:00,62.64,63.46,62.4,63.1,11434422,0.1126740895059299,0.2618493515124928,-0.1491752620065629,47.08106334075424,67.319,75.39122125563964,59.24677874436037,16.144442511279266,180513458
2024-07-12,00:00:00,63.46,64.11,63.39,63.7,9201516,-0.0790486684059601,0.0744939794745984,-0.1535426478805586,47.407501087131415,67.449,74.84866188416744,60.04933811583256,14.79932376833488,153799387
2024-07-15,00:00:00,63.79,63.94,63.35,63.41,8207521,-0.167090535641833,-0.1103040892754327,-0.0567864463664002,47.79028038061696,66.87950000000001,74.67940890972456,59.07959109027546,15.5998178194491,251431455
2024-07-16,00:00:00,63.43,64.31,63.39,64.27,9025066,-0.0353005459226238,-0.06446219201225,0.0291616460896261,48.45472613626976,66.738,74.90571351113641,58.57028648886358,16.33542702227283,273840854
2024-07-17,00:00:00,64.47,65.39,64.41,65.21,12508215,-0.3431642980655596,0.0252093632950324,-0.3683736613605921,48.837277997630224,67.018,75.163395263583,58.872604736417,16.290790527165996,309556179
2024-07-18,00:00:00,64.8,65.81,64.72,65.19,11128203,-0.2552122351758612,0.0066371110971275,-0.2618493462729887,48.63895623356701,67.1015,74.69145197613268,59.51154802386732,15.179903952265365,314656827
2024-07-19,00:00:00,65.64,65.64,64.82,65.29,13775672,0.2245169018457176,0.1139814326082119,0.1105354692375056,48.26973921520885,67.44,74.87709889674733,60.00290110325267,14.87419779349466,315915110
2024-07-22,00:00:00,65.25,65.29,64.32,64.77,11794212,-0.0099737208392838,0.015889230983172,-0.0258629518224558,48.53526652140069,66.978,75.49718212036814,58.45881787963185,17.038364240736286,188111743
2024-07-23,00:00:00,65.43,66.04,64.85,64.96,11810262,-0.0729108926581432,-0.0344389649348588,-0.0384719277232843,48.754365289922085,67.2365,75.88898929499484,58.58401070500517,17.304978589989673,190665060
2024-07-24,00:00:00,65.09,65.97,64.83,65.81,13244568,-0.3490751650114134,-0.0736846210848351,-0.2753905439265783,49.17662274621547,66.9395,74.78216402442438,59.09683597557562,15.685328048848753,201193039
2024-07-25,00:00:00,66.04,66.89,65.86,66.07,16328583,0.0216181893591453,0.102124481598626,-0.0805062922394806,49.041213475705945,67.311,74.4922586640505,60.12974133594951,14.362517328100983,223075180
2024-07-26,00:00:00,66.07,67.11,66.01,67.05,13530071,-0.007655978230332,0.128313436930293,-0.135969415160625,49.65810753639805,67.5755,74.1591751894364,60.991824810563614,13.167350378872785,191636908
2024-07-29,00:00:00,66.88,67.03,66.39,66.83,12140153,-0.0519543445994372,-0.0640367018809098,0.0120823572814725,49.54095209517694,67.5915,75.85823399838172,59.32476600161827,16.53346799676345,205867122
2024-07-30,00:00:00,66.48,67.83,66.36,67.68,13257960,0.0541584868026632,-0.073040187991219,0.1271986747938822,50.09402305915594,67.622,75.6989216908424,59.5450783091576,16.153843381684794,209092969
2024-07-31,00:00:00,67.5,67.61,66.61,66.74,15576846,-0.3776636888056259,-0.1315484726333744,-0.2461152161722515,49.65580024687242,67.47299999999998,75.59190164985387,59.354098350146096,16.23780329970777,218430347
2024-08-05,00:00:00,68.99,69.55,67.73,68.1,25484273,-0.2130398301160738,-0.205521516362183,-0.0075183137538908,50.43526131800728,67.506,75.06286548775351,59.949134512246495,15.113730975507018,98952483
