date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,16:00:00,546.8,551.15,544.0,548.51,2714883,,,,,,,,,2714883
01/05/2024,16:00:00,445.8,448.98,438.38,442.07,4979366,,,,,,,,,-2264483
01/05/2025,16:00:00,550.0,552.83,539.73,546.63,2839922,,,,,,,,,575439
01/07/2024,16:00:00,440.8,442.47,435.55,437.61,3149663,,,,,,,,,-2574224
01/08/2024,16:00:00,465.46,467.5,459.19,462.41,2590132,,,,,,,,,15908
01/10/2024,16:00:00,497.26,498.03,493.11,496.38,3748206,,,,,,,,,3764114
01/11/2024,16:00:00,500.44,510.55,498.53,508.08,3753713,,,,,,,,,7517827
02/01/2025,16:00:00,529.0,530.56,517.66,522.4,2818795,,,,,,,,,10336622
02/04/2025,16:00:00,542.86,549.53,541.65,547.38,2994565,,,,,,,,,13331187
02/05/2024,16:00:00,443.0,444.66,438.05,441.1,3866467,,,,,,,,,9464720
02/05/2025,16:00:00,555.63,562.38,554.99,559.39,2632713,,,,,,,,,12097433
02/06/2025,16:00:00,580.5,581.82,574.78,581.22,2089236,,,,,,,,,14186669
02/07/2024,16:00:00,435.0,444.76,435.0,444.65,2061407,,,,,,,,,12125262
02/08/2024,16:00:00,460.22,466.75,458.61,462.02,3808080,,,,44.530994309597794,,,,,15933342
02/10/2024,16:00:00,492.94,495.91,489.68,495.57,1736490,,,,47.98799939230587,,,,,17669832
02/12/2024,16:00:00,532.93,534.82,526.23,531.36,2355191,,,,51.46316083419036,,,,,20025023
03/01/2025,16:00:00,522.53,524.46,517.68,521.36,1627726,,,,50.44890811192237,,,,,18397297
03/02/2025,16:00:00,552.64,565.0,551.07,563.95,3195610,,,,54.55673016266627,,,,,21592907
03/03/2025,16:00:00,577.33,582.23,570.0,574.92,3092583,,,,55.57822912910982,,,,,24685490
03/04/2025,16:00:00,528.42,539.99,527.0,530.55,3443480,,,,50.6217529541589,510.878,604.517509310974,417.2384906890259,187.27901862194807,21242010
03/05/2024,16:00:00,444.91,445.26,436.9,443.58,3711610,,,,42.6019682872946,505.6315,601.9685402856554,409.29445971434455,192.67408057131087,17530400
03/06/2024,16:00:00,443.48,445.0,437.89,443.19,2123775,,,,42.56939940379144,505.6875,601.8778743365208,409.4971256634792,192.3807486730416,15406625
03/06/2025,16:00:00,579.87,582.53,573.44,581.97,2116891,,,,55.58234912267689,507.4545,607.7971392865963,407.11186071340353,200.6852785731928,17523516
03/07/2024,13:00:00,445.32,449.29,444.28,448.18,3192350,,,,44.99715349132349,507.983,606.9505221676283,409.0154778323717,197.93504433525655,14331166
03/09/2024,16:00:00,482.47,486.69,480.04,482.12,2063707,,,,47.71730339458632,508.96850000000006,606.4830368188765,411.4539631811237,195.02907363775284,16394873
03/10/2024,16:00:00,495.55,497.09,493.0,494.97,1382289,-8.994967677622924,,,48.750710618795054,508.898,606.4508705062029,411.345129493797,195.10574101240596,17777162
03/12/2024,16:00:00,534.67,534.82,525.96,526.18,2319746,-6.281839697345276,,,51.270039678153445,509.803,607.6441269558973,411.96187304410273,195.68225391179453,20096908
04/02/2025,16:00:00,570.88,572.0,557.58,559.11,2639060,-1.4576871236537272,,,53.84796621724175,511.6385,611.7080210890908,411.5689789109092,200.13904217818168,22735968
04/03/2025,16:00:00,570.46,573.2,552.01,555.07,3318100,2.016252210419907,,,53.47420594125335,512.023,612.6961630773565,411.3498369226436,201.34632615471287,19417868
04/04/2025,16:00:00,519.62,520.88,488.29,489.77,6125102,-0.4940944903535182,,,47.70987845304075,514.4565,610.3961836090259,418.5168163909741,191.87936721805187,13292766
04/06/2024,16:00:00,443.36,444.88,441.32,444.77,2096578,-6.04500322183867,,,44.17582595809986,508.7255,606.9114624335374,410.5395375664627,196.3719248670747,11196188
04/06/2025,16:00:00,584.17,586.85,582.22,584.13,1530210,0.7919201734005128,,,55.23481396402379,508.871,607.4938967126802,410.2481032873197,197.24579342536052,12726398
04/09/2024,16:00:00,482.09,486.17,481.18,483.14,2156342,-1.9167229804536987,,,47.83879183506296,510.7955,605.7650238431783,415.82597615682175,189.9390476863565,10570056
04/10/2024,16:00:00,495.56,499.05,492.47,497.7,1935893,-2.855554819166173,-3.1527777009874614,0.2972228818212885,48.90113360581483,512.5795,605.1266143742473,420.0323856257528,185.0942287484945,12505949
04/11/2024,16:00:00,509.14,510.0,503.03,505.58,2165122,-2.929960905688347,-3.1082143419276385,0.1782534362392915,49.50058297359104,513.08,605.3616360929952,420.7983639070048,184.56327218599048,14671071
04/12/2024,16:00:00,523.64,526.28,518.17,521.14,2630030,-1.7136128434970033,-2.829294042241512,1.1156811987445083,50.729703510286,512.569,604.5527861582137,420.5852138417862,183.96757231642755,17301101
05/02/2025,16:00:00,561.35,566.87,559.8,566.29,2404997,2.8606041607098405,-1.6913144016512414,4.551918562361082,54.21220034080631,514.8155,609.697335453368,419.933664546632,189.763670906736,19706098
05/03/2025,16:00:00,552.58,560.99,551.32,558.3,2795399,5.774414016875198,-0.1981687179459534,5.972582734821152,53.491648479862064,514.533,608.8600056982623,420.20599430173775,188.6540113965245,16910699
05/05/2025,16:00:00,557.81,564.55,555.85,561.12,2131042,8.216465453849537,1.4847581164131447,6.731707337436392,53.72542327060282,513.8430000000001,606.5815106846127,421.10448931538747,185.4770213692252,19041741
05/06/2024,16:00:00,446.8,447.57,442.31,446.66,2157011,0.9054064320619092,1.3688877795428978,-0.4634813474809887,44.0475888485463,509.64850000000007,606.4831134964147,412.8138865035855,193.66922699282924,16884730
05/06/2025,16:00:00,586.31,586.69,582.63,585.44,1480192,6.237819945680485,2.342674212770415,3.89514573291007,54.702114044696,516.7415,613.9606376787513,419.5223623212487,194.43827535750256,18364922
05/07/2024,16:00:00,447.11,449.95,444.28,449.49,2220706,-0.5004637111217107,1.7740466279919902,-2.274510339113701,45.55141663504063,517.0565,613.3568221749543,420.7561778250457,192.60064434990863,16144216
05/08/2024,16:00:00,455.0,461.3,439.59,442.0,4496726,-6.371535365754596,0.1449302292426728,-6.516465594997269,45.1037547999626,510.058,606.8142875683022,413.30171243169775,193.51257513660448,11647490
05/09/2024,16:00:00,483.14,484.16,473.11,477.36,2293539,-8.07802699983165,-1.4996612165721916,-6.578365783259458,47.71610409736767,511.517,605.3323448216229,417.7016551783771,187.63068964324577,13941029
05/11/2024,16:00:00,505.58,508.15,503.61,505.56,2132859,-7.073391932514994,-2.614407359760752,-4.458984572754241,49.76906829016157,512.689,605.5872509846122,419.79074901538775,185.79650196922444,16073888
