date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,16:00:00,570.84,589.91,570.0,586.0,12836574,,,,,,,,,12836574
01/05/2024,16:00:00,428.6,449.96,427.11,439.19,20344947,,,,,,,,,-7508373
01/05/2025,16:00:00,592.08,592.95,570.5,572.21,31159033,,,,,,,,,23650660
01/07/2024,16:00:00,504.95,506.58,493.17,504.68,10328150,,,,,,,,,13322510
01/08/2024,16:00:00,521.0,527.17,492.1,497.74,43083082,,,,,,,,,-29760572
01/10/2024,16:00:00,577.98,583.04,570.1,576.47,15259274,,,,,,,,,-14501298
01/11/2024,16:00:00,567.61,573.67,562.56,567.16,15303235,,,,,,,,,-29804533
02/01/2025,16:00:00,589.72,604.91,587.82,599.24,12682269,,,,,,,,,-17122264
02/04/2025,16:00:00,574.91,592.66,573.36,583.93,13470778,,,,,,,,,-30593042
02/05/2024,16:00:00,438.84,443.96,432.28,441.68,15221322,,,,,,,,,-45814364
02/05/2025,16:00:00,583.46,604.34,578.33,597.02,24739260,,,,,,,,,-21075104
02/06/2025,16:00:00,644.39,673.26,644.26,670.9,15766258,,,,,,,,,-5308846
02/07/2024,16:00:00,500.76,510.5,499.45,509.5,7739479,,,,,,,,,-13048325
02/08/2024,16:00:00,489.0,501.15,476.15,488.14,24044658,,,,44.419444800878885,,,,,-37092983
02/10/2024,16:00:00,574.86,576.0,569.34,572.81,6524650,,,,50.82338146002223,,,,,-30568333
02/12/2024,16:00:00,577.5,594.5,575.57,592.83,12522371,,,,52.22504454156821,,,,,-18045962
03/01/2025,16:00:00,604.76,609.5,596.41,604.63,11436784,,,,53.07403114524563,,,,,-6609178
03/02/2025,16:00:00,675.91,704.0,675.25,697.46,21415739,,,,59.21444876899545,,,,,14806561
03/03/2025,16:00:00,673.68,681.25,650.84,655.05,10843763,,,,55.63282176879191,,,,,3962798
03/04/2025,16:00:00,546.22,552.56,530.3,531.62,34777460,,,,46.766822898718864,564.413,699.8782358503834,428.9477641496167,270.9304717007667,-30814662
03/05/2024,16:00:00,445.93,454.17,443.85,451.96,16489057,,,,42.103272326039786,557.711,701.262728084339,414.15927191566107,287.1034561686779,-47303719
03/06/2024,16:00:00,470.86,479.6,468.24,477.49,11279390,,,,44.02960971872157,559.626,697.7204097927211,421.5315902072789,276.1888195854422,-36024329
03/06/2025,16:00:00,671.45,675.58,665.03,666.85,11585031,,,,55.78143005933064,564.358,710.1257074800862,418.5902925199137,291.5354149601726,-24439298
03/07/2024,13:05:00,506.37,511.28,506.02,509.96,6005615,,,,46.98002935965382,564.6220000000001,709.9749549200842,419.269045079916,290.70590984016826,-30444913
03/09/2024,16:00:00,519.64,525.49,508.62,511.76,12459113,,,,47.08319087748208,565.3230000000001,709.5095240721199,421.1364759278802,288.37304814423965,-17985800
