date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,16:00:00,89.75,89.75,86.61,87.12,13922105,,,,,,,,,13922105
01/05/2024,16:00:00,128.61,129.93,127.8,128.8,5895807,,,,,,,,,19817912
01/05/2025,16:00:00,84.51,84.58,83.17,83.26,10036427,,,,,,,,,9781485
01/07/2024,16:00:00,125.38,129.19,125.1,127.9,11532966,,,,,,,,,21314451
01/08/2024,16:00:00,113.13,114.47,111.41,113.82,14117458,,,,,,,,,7196993
01/10/2024,16:00:00,113.96,114.79,113.11,114.74,7715526,,,,,,,,,14912519
01/11/2024,16:00:00,101.78,102.72,101.21,101.88,10180978,,,,,,,,,4731541
02/01/2025,16:00:00,100.28,100.35,98.83,99.17,6153261,,,,,,,,,-1421720
02/04/2025,16:00:00,86.88,87.07,85.32,86.6,10590843,,,,,,,,,-12012563
02/05/2024,16:00:00,129.06,129.69,127.99,128.26,7422542,,,,,,,,,-4590021
02/05/2025,16:00:00,84.19,84.71,82.95,83.18,11755592,,,,,,,,,-16345613
02/06/2025,16:00:00,77.02,77.02,75.4,76.25,11271832,,,,,,,,,-27617445
02/07/2024,16:00:00,128.21,128.24,126.66,127.72,5645359,,,,,,,,,-21972086
02/08/2024,16:00:00,115.16,117.3,114.36,115.2,16562288,,,,54.05080407900749,,,,,-38534374
02/10/2024,16:00:00,114.55,114.6,111.98,112.08,9041754,,,,53.22932710672489,,,,,-47576128
02/12/2024,16:00:00,101.73,101.85,100.46,100.61,13703135,,,,50.208249892035134,,,,,-61279263
03/01/2025,16:00:00,99.34,99.75,98.69,99.14,6072551,,,,49.81800628909023,,,,,-67351814
03/02/2025,16:00:00,98.13,100.15,98.0,99.79,13363888,,,,50.00305449844799,,,,,-53987926
03/03/2025,16:00:00,91.78,93.21,91.78,93.15,13636057,,,,48.05364655627231,,,,,-67623983
03/04/2025,16:00:00,88.73,88.9,86.26,86.39,12684130,,,,46.083863584083616,103.253,136.29434628007763,70.21165371992237,66.08269256015527,-80308113
03/05/2024,16:00:00,128.01,128.48,127.18,127.51,6221928,,,,57.496952338612935,105.2725,139.05182377949566,71.49317622050435,67.55864755899131,-74086185
03/06/2024,16:00:00,125.77,128.95,125.77,128.42,7702676,,,,57.71030201304001,105.2535,138.98025452811905,71.52674547188093,67.45350905623812,-66383509
03/06/2025,16:00:00,76.0,77.19,75.44,77.14,18139184,,,,44.23522013305421,104.9475,139.56614230440007,70.32885769559991,69.23728460880017,-84522693
03/07/2024,13:00:00,127.69,127.94,125.3,125.85,4002054,,,,54.98680929070177,104.845,139.20235467116174,70.48764532883825,68.71470934232349,-80520639
03/09/2024,16:00:00,118.26,118.84,116.42,116.58,7640303,,,,52.89661416413821,104.983,139.50521841075684,70.46078158924314,69.0444368215137,-88160942
03/10/2024,16:00:00,111.82,112.08,109.83,110.18,10280553,4.013129919485635,,,51.44270579015851,104.755,139.0760952622436,70.4339047377564,68.6421905244872,-98441495
03/12/2024,16:00:00,100.75,102.45,100.62,101.85,11395586,3.20919386052293,,,49.53432463036896,104.7535,139.075100356044,70.431899643956,68.643200712088,-109837081
04/02/2025,16:00:00,89.0,91.23,87.33,90.74,50837558,1.6564896107883555,,,47.02846981114362,104.332,139.12139700540956,69.54260299459042,69.57879401081914,-160674639
04/03/2025,16:00:00,93.57,95.36,92.32,92.56,15072992,0.5662912429246489,,,47.49704086212835,104.63,138.90503698028638,70.35496301971361,68.55007396057277,-145601647
04/04/2025,16:00:00,86.12,86.27,81.08,81.47,22965747,-1.1789786036115828,,,44.89125046257372,102.2905,136.1798325251472,68.4011674748528,67.77866505029439,-168567394
04/06/2024,16:00:00,127.15,129.36,126.88,128.71,6440167,1.2355134380322426,,,55.97191381467779,104.567,139.12583105661997,70.00816894338006,69.11766211323992,-162127227
04/06/2025,16:00:00,77.47,79.14,77.33,78.27,13009326,-0.9105741468682708,,,45.46112608603416,104.668,138.90552245709375,70.43047754290625,68.4750449141875,-175136553
04/09/2024,16:00:00,116.66,116.73,114.47,115.8,7693362,0.4122412683449141,,,52.59431469959047,104.072,137.07643036927013,71.06756963072988,66.00886073854025,-167443191
04/10/2024,16:00:00,109.49,110.3,109.39,109.77,9721325,0.9629115649553056,1.1037771207885594,-0.1408655558332536,51.43040073105555,103.8005,136.52242749518277,71.0785725048172,65.44385499036557,-177164516
04/11/2024,16:00:00,102.0,102.53,100.95,101.87,9182560,0.7531756256619673,1.033656821763241,-0.2804811961012736,49.87320285846525,103.29,135.79719058916044,70.78280941083958,65.01438117832086,-186347076
04/12/2024,16:00:00,102.03,102.09,101.05,101.37,11314989,0.5403833584018116,0.9350021290909551,-0.3946187706891435,49.77049033261424,103.328,135.8243453945209,70.8316546054791,64.99269078904179,-197662065
05/02/2025,16:00:00,90.39,90.74,88.0,89.67,21670599,-0.5658257781513214,0.6348365476424999,-1.2006623257938212,47.31490697621647,102.8545,135.8532269299893,69.85577307001071,65.99745385997858,-219332664
05/03/2025,16:00:00,91.08,93.45,90.5,93.19,13117129,-1.1452679702866675,0.2788156440566663,-1.424083614343334,48.14384969157285,102.5245,135.77029159833614,69.27870840166382,66.49158319667232,-206215535
05/05/2025,16:00:00,83.23,83.58,81.91,82.84,8688011,-2.411836434548988,-0.2593147716644645,-2.1525216628845234,45.85906974341607,102.009,136.1284864556898,67.88951354431018,68.23897291137962,-214903546
