date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,16:00:00,150.49,150.79,148.67,149.67,6072838,,,,,,,,,6072838
01/05/2024,16:00:00,175.46,176.23,173.66,175.15,4340495,,,,,,,,,10413333
01/05/2025,16:00:00,134.47,134.81,133.24,133.55,6807019,,,,,,,,,3606314
01/07/2024,16:00:00,165.04,166.06,162.58,162.89,4508019,,,,,,,,,8114333
01/08/2024,16:00:00,172.53,175.56,172.5,174.96,5994458,,,,,,,,,14108791
01/10/2024,16:00:00,171.29,171.94,169.77,171.38,7095860,,,,,,,,,7012931
01/11/2024,16:00:00,166.09,166.25,165.21,165.59,6339121,,,,,,,,,673810
02/01/2025,16:00:00,152.88,153.66,149.89,150.21,4970233,,,,,,,,,-4296423
02/04/2025,16:00:00,150.23,150.5,148.07,149.12,5866172,,,,,,,,,-10162595
02/05/2024,16:00:00,175.58,176.32,174.55,175.45,3964773,,,,,,,,,-6197822
02/05/2025,16:00:00,134.15,134.4,133.15,133.75,7169731,,,,,,,,,-13367553
02/06/2025,16:00:00,130.9,131.03,129.07,130.91,6723720,,,,,,,,,-20091273
02/07/2024,16:00:00,163.5,164.47,162.32,163.58,4650803,,,,,,,,,-15440470
02/08/2024,16:00:00,178.84,179.95,173.84,178.04,6856083,,,,57.48240136016481,,,,,-8584387
02/10/2024,16:00:00,171.5,171.74,168.52,169.55,5785972,,,,54.46966415703133,,,,,-14370359
02/12/2024,16:00:00,163.32,163.65,161.76,163.05,4967612,,,,52.21335653656381,,,,,-19337971
03/01/2025,16:00:00,150.96,150.96,149.56,149.65,5221639,,,,47.81598793625352,,,,,-24559610
03/02/2025,16:00:00,149.76,151.13,148.83,150.27,7196227,,,,48.03406079340611,,,,,-17363383
03/03/2025,16:00:00,151.35,156.15,150.5,155.99,8321674,,,,50.10565412208153,,,,,-9041709
03/04/2025,16:00:00,151.69,154.05,150.86,151.37,8216247,,,,48.426466836043375,157.7065,186.14191543568512,129.2710845643149,56.87083087137023,-17257956
03/05/2024,16:00:00,175.8,176.49,175.0,176.15,3492120,,,,56.79082119536498,159.03050000000002,188.29953515662928,129.76146484337076,58.53807031325852,-13765836
03/06/2024,16:00:00,172.72,172.9,171.03,171.23,5032377,,,,54.88743481557953,158.8345,187.71910937939091,129.94989062060904,57.7692187587819,-18798213
03/06/2025,16:00:00,130.63,132.21,129.81,131.85,7339524,,,,42.58478724993491,158.7495,187.93962194219137,129.55937805780866,58.38024388438271,-26137737
03/07/2024,13:05:00,162.92,164.13,161.96,162.6,2879575,,,,51.69047066197045,158.735,187.9171675000333,129.5528324999667,58.3643350000666,-23258162
03/09/2024,16:00:00,172.38,177.89,171.88,177.54,7032051,,,,55.39205733432856,158.864,188.3531135166861,129.37488648331387,58.97822703337226,-16226111
03/10/2024,16:00:00,168.14,169.11,167.17,168.53,5090330,2.842597298096422,,,52.76620756885651,158.72150000000002,187.99406140142167,129.44893859857837,58.54512280284331,-21316441
03/12/2024,16:00:00,162.84,163.05,161.42,161.7,4277392,2.627292863768929,,,50.80027316529893,158.527,187.66581541861305,129.38818458138695,58.27763083722607,-25593833
04/02/2025,16:00:00,146.1,147.75,143.0,143.49,12804949,0.9760168213326494,,,45.891026651331146,158.19099999999997,187.85590782052088,128.5260921794791,59.32981564104176,-38398782
04/03/2025,16:00:00,157.34,160.15,153.96,154.19,10274235,0.5247205849927639,,,49.00919241194464,158.4445,187.8807820172657,129.0082179827343,58.87256403453142,-28124547
04/04/2025,16:00:00,152.99,154.92,146.44,146.61,12911386,-0.439511173791999,,,46.945276873470405,157.0025,185.78358606359396,128.2214139364061,57.56217212718786,-41035933
04/06/2024,16:00:00,171.21,174.39,170.82,173.89,4619065,0.9862276040693984,,,54.38978985419538,159.0095,186.5982748731255,131.42072512687452,55.177549746250975,-36416868
04/06/2025,16:00:00,132.24,132.74,131.1,131.74,6519728,-1.2703728133220125,,,44.09457726778634,159.051,186.47256735126567,131.6294326487343,54.84313470253136,-42936596
04/09/2024,16:00:00,177.9,179.65,176.29,178.52,6188454,0.7078504814661812,,,54.40898937168921,159.798,188.45836189583096,131.13763810416904,57.32072379166192,-36748142
04/10/2024,16:00:00,167.15,168.5,166.82,167.97,4391321,1.408078413491495,0.9699138082962828,0.4381646051952121,52.075525248029535,159.2945,186.9929566176529,131.5960433823471,55.39691323530582,-41139463
04/11/2024,16:00:00,165.59,166.65,165.19,166.34,4885472,1.810615073471581,1.1380540613313426,0.6725610121402386,51.706551159714245,159.134,186.62934898851077,131.63865101148923,54.99069797702151,-46024935
04/12/2024,16:00:00,160.6,161.03,159.41,160.18,6964605,1.613962997120069,1.233235848489088,0.3807271486309811,50.257314605743005,158.9905,186.43250537497212,131.54849462502784,54.88401074994431,-52989540
05/02/2025,16:00:00,143.39,145.79,142.7,145.66,9249234,0.2832075185299345,1.0432301824972574,-0.7600226639673229,46.91910203808314,158.791,186.5578132128986,131.0241867871014,55.5336264257972,-62238774
05/03/2025,16:00:00,152.93,155.34,152.73,153.88,5578701,-0.1069081130553115,0.8132025233867436,-0.9201106364420552,48.984970818186845,158.97150000000002,186.56076767784896,131.38223232215108,55.17853535569788,-56660073
05/05/2025,16:00:00,134.04,134.04,131.7,131.99,8972159,-2.157546763293823,0.2190526660506303,-2.376599429344453,44.06648413080275,157.7715,187.75866543790028,127.78433456209972,59.97433087580055,-65632232
05/06/2024,16:00:00,173.84,173.97,171.96,173.49,5370688,-0.4290437483719245,0.0894333831661193,-0.5184771315380439,53.582177309967605,158.8775,189.4643526494636,128.29064735053635,61.173705298927246,-60261544
05/06/2025,16:00:00,131.2,131.41,130.21,131.11,9566619,-2.450654847810654,-0.4185842630292352,-2.0320705847814184,45.137167595723646,156.6255,188.4029841515184,124.8480158484816,63.55496830303677,-69828163
05/07/2024,16:00:00,162.64,164.52,162.47,164.39,4208217,-1.3517956824385635,-0.6052265469111009,-0.7465691355274626,51.58962690739637,156.2835,187.568318219066,124.99868178093402,62.569636438131965,-65619946
05/08/2024,16:00:00,179.52,180.91,173.16,174.04,7502535,0.2943395118836065,-0.4253133351521594,0.7196528470357659,53.30457150161468,158.393,188.46955838024024,128.31644161975976,60.153116760480486,-58117411
05/09/2024,16:00:00,178.73,179.73,177.52,179.3,5743141,2.000293416131626,0.0598080151045976,1.9404854010270285,54.25581279211045,159.228,190.62371983567184,127.83228016432815,62.79143967134371,-52374270
05/11/2024,16:00:00,165.95,167.96,165.67,167.85,3678708,2.400681307879978,0.5279826736596738,1.872698634220304,51.78290912057157,158.74349999999998,189.28124993348396,128.20575006651603,61.0754998669679,-56052978
05/12/2024,16:00:00,160.93,161.01,158.83,160.49,5229646,2.0998948263964508,0.8423651042070293,1.2575297221894215,50.19906101272588,158.3415,188.56339092363348,128.11960907636652,60.44378184726696,-61282624
06/01/2025,16:00:00,149.6,149.95,146.1,146.27,9470626,0.705946502426201,0.8150813838508637,-0.1091348814246626,47.19551506211866,157.57,188.1946658757284,126.94533412427164,61.24933175145672,-70753250
06/02/2025,16:00:00,146.26,146.9,143.96,145.35,5604877,-0.4676135405980517,0.5585423989610806,-1.0261559395591324,46.99958295659261,157.66299999999998,188.1269453124509,127.19905468754904,60.92789062490186,-76358127
