date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,16:00:00,170.57,171.05,169.06,170.56,7021507,,,,,,,,,7021507
01/05/2024,16:00:00,163.28,164.24,162.22,163.4,7543154,,,,,,,,,-521647
01/05/2025,16:00:00,160.66,161.35,159.05,159.98,6792815,,,,,,,,,-7314462
01/07/2024,16:00:00,165.59,166.21,162.2,162.72,7638639,,,,,,,,,324177
01/08/2024,16:00:00,160.88,166.31,160.68,165.69,12532700,,,,,,,,,12856877
01/10/2024,16:00:00,173.24,174.0,172.2,173.04,7130825,,,,,,,,,19987702
01/11/2024,16:00:00,165.31,166.35,164.99,165.1,5455095,,,,,,,,,14532607
02/01/2025,16:00:00,168.09,168.71,165.91,165.98,5401712,,,,,,,,,19934319
02/04/2025,16:00:00,170.07,170.88,168.31,169.5,6274548,,,,,,,,,26208867
02/05/2024,16:00:00,163.54,164.49,162.64,163.84,5647490,,,,,,,,,20561377
02/05/2025,16:00:00,160.93,161.81,159.9,160.52,5750165,,,,,,,,,14811212
02/06/2025,16:00:00,169.02,169.04,166.23,167.78,7574428,,,,,,,,,22385640
02/07/2024,16:00:00,162.58,164.04,161.71,163.9,5449219,,,,,,,,,16936421
02/08/2024,16:00:00,167.44,170.35,165.15,170.08,11899038,,,,53.18697711342289,,,,,28835459
02/10/2024,16:00:00,172.01,172.45,171.08,171.92,6212890,,,,55.297123757004194,,,,,35048349
02/12/2024,16:00:00,179.12,180.16,178.01,179.7,5728297,,,,62.91000686860016,,,,,40776646
03/01/2025,16:00:00,166.25,166.5,164.25,165.13,5256807,,,,46.82679544895508,,,,,35519839
03/02/2025,16:00:00,165.47,169.38,165.23,168.76,8668729,,,,50.24002096558408,,,,,44188568
03/03/2025,16:00:00,173.58,176.29,173.51,175.59,7615570,,,,55.96727531973259,,,,,51804138
03/04/2025,16:00:00,174.23,174.8,170.73,172.39,9393270,,,,52.89543635747835,167.779,177.74700461476618,157.8109953852338,19.93600922953237,42410868
03/05/2024,16:00:00,163.54,164.71,162.16,164.46,5581692,,,,46.13733531897808,167.474,177.45625305229234,157.49174694770764,19.9645061045847,36829176
03/06/2024,16:00:00,163.93,166.24,163.63,164.65,5828442,,,,46.314317706816986,167.5365,177.43120823218146,157.64179176781852,19.789416464362944,42657618
03/06/2025,16:00:00,166.78,167.41,165.9,166.85,6223447,,,,48.42739343033579,167.88,177.1594073086593,158.6005926913407,18.558814617318603,48881065
03/07/2024,13:00:00,163.21,164.21,162.98,163.83,2980461,,,,45.76449730699187,167.9355,177.10340374076864,158.76759625923134,18.3358074815373,45900604
03/09/2024,16:00:00,171.03,175.0,170.99,174.52,10101418,,,,55.162936549538735,168.377,177.91290289380086,158.84109710619916,19.071805787601704,56002022
03/10/2024,16:00:00,171.37,171.37,169.77,170.12,4794348,0.1820774086345977,,,51.22798830374157,168.231,177.5641171641633,158.8978828358367,18.666234328326595,51207674
