date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,00:00:00,263.8,277.45,259.25,268.46,146486911,,,,,,,,,146486911
01/05/2024,00:00:00,182.0,185.86,179.01,179.99,92829719,,,,,,,,,53657192
01/05/2025,00:00:00,280.01,290.87,279.81,280.52,99658974,,,,,,,,,153316166
01/07/2024,00:00:00,201.02,213.23,200.85,209.86,135691395,,,,,,,,,17624771
01/08/2024,00:00:00,227.69,231.87,214.33,216.86,83861898,,,,,,,,,101486669
01/10/2024,00:00:00,262.67,263.98,248.53,258.02,87397613,,,,,,,,,188884282
01/11/2024,00:00:00,252.04,254.0,246.63,248.98,57544757,,,,,,,,,131339525
02/01/2025,00:00:00,390.1,392.73,373.04,379.28,109710749,,,,,,,,,241050274
02/04/2025,00:00:00,254.6,284.99,251.27,282.76,212787817,,,,,,,,,28262457
02/05/2024,00:00:00,182.86,184.6,176.02,180.01,89148041,,,,,,,,,-60885584
02/05/2025,00:00:00,284.9,294.78,279.81,287.21,114454683,,,,,,,,,53569099
02/06/2025,00:00:00,343.5,348.02,333.33,342.69,81873829,,,,,,,,,135442928
02/07/2024,00:00:00,218.89,231.3,218.06,231.26,205047920,,,,,,,,,-69604992
02/08/2024,00:00:00,214.88,216.13,205.78,207.67,82880120,,,,45.46436735327842,,,,,-152485112
02/10/2024,00:00:00,247.55,251.16,241.5,249.02,93983930,,,,49.04592556905283,,,,,-58501182
02/12/2024,00:00:00,352.38,360.0,351.15,357.09,77986478,,,,56.99512927859336,,,,,19485296
03/01/2025,00:00:00,381.48,411.88,379.45,410.44,95423329,,,,60.28874045081751,,,,,114908625
03/02/2025,00:00:00,386.68,389.17,374.36,383.68,93732122,,,,57.893649674762514,,,,,21176503
03/03/2025,00:00:00,300.34,303.94,277.3,284.65,115551414,,,,49.98046323949551,,,,,-94374911
03/04/2025,00:00:00,265.29,276.3,261.51,267.28,136174291,,,,48.72250054815168,276.2865,407.8257250661376,144.74727493386243,263.0784501322752,-230549202
03/05/2024,00:00:00,182.1,184.78,178.42,181.19,75491539,,,,42.952293284844096,271.923,409.8462585316922,133.99974146830783,275.84651706338434,-306040741
03/06/2024,00:00:00,178.13,182.64,174.49,176.29,68568920,,,,42.64274029365741,271.738,410.16302369152766,133.31297630847232,276.8500473830553,-374609661
03/06/2025,00:00:00,346.6,355.4,343.04,344.27,99324544,,,,54.696588889556345,274.92549999999994,416.9029632080739,132.94803679192597,283.95492641614794,-275285117
03/07/2024,00:00:00,234.56,248.35,234.25,246.39,166561471,,,,48.323930273125214,276.752,416.2525618053204,137.25143819467965,279.0011236106408,-441846588
03/09/2024,00:00:00,215.26,219.9,209.64,210.6,76714222,,,,46.20413613410791,276.439,416.5026353804941,136.37536461950583,280.12727076098827,-518560810
03/10/2024,00:00:00,244.48,249.79,237.81,240.66,80729240,-6.902999061599871,,,48.257158469449294,275.571,416.2940745684588,134.84792543154126,281.4461491369175,-437831570
03/12/2024,00:00:00,351.8,355.69,348.2,351.42,58267196,0.9724850226880905,,,55.062260823359246,280.69300000000004,424.5931114801515,136.7928885198486,287.8002229603029,-379564374
04/02/2025,00:00:00,382.63,394.0,381.4,392.21,57072235,10.385556769378807,,,57.29002465668136,281.3395,427.1095215373517,135.5694784626481,291.5400430747036,-322492139
04/03/2025,00:00:00,270.93,284.35,261.84,272.04,126706623,8.055905781522483,,,49.50385304011444,280.80350000000004,426.6275123265027,134.97948767349737,291.64802465300534,-449198762
04/04/2025,00:00:00,255.38,261.0,236.0,239.43,181229353,3.5375079331276424,,,47.61278159075438,283.7745,423.559415420084,143.98958457991606,279.5698308401679,-630428115
04/06/2024,00:00:00,174.78,177.76,174.0,174.77,60056340,-5.200923519980847,,,44.021852461945045,278.15250000000003,425.7581594951563,130.54684050484377,295.2113189903125,-690484455
04/06/2025,00:00:00,345.1,345.6,327.33,332.05,98912075,0.5585495412017281,,,53.256618376406,277.62050000000005,424.3660925709526,130.87490742904748,293.49118514190513,-591572380
04/09/2024,00:00:00,210.59,222.22,210.57,219.41,80651767,-3.920935092244406,,,47.24529908484276,277.028,424.6108512531182,129.44514874688184,295.1657025062364,-672224147
04/10/2024,00:00:00,246.69,250.96,244.58,250.08,86726285,-4.939210117397465,-1.8313671803173104,-3.107842937080155,48.935435124886304,279.1485,423.87529230536416,134.42170769463587,289.4535846107283,-585497862
04/11/2024,00:00:00,244.56,248.9,238.88,242.84,68802354,-6.258266503287757,-2.7167470449114,-3.5415194583763574,48.54009527281414,278.8395,423.8483915170377,133.83060848296228,290.0177830340755,-654300216
04/12/2024,00:00:00,353.0,358.1,348.6,357.93,50810874,1.9605726986875425,-1.7812830961916115,3.7418557948791538,54.79242735991096,278.8815,423.9814822570631,133.78151774293696,290.1999645141261,-603489342
05/02/2025,00:00:00,387.51,388.39,375.53,378.17,57614721,9.992078367486556,0.5733891965440221,9.418689170942534,55.809288509116605,277.268,417.10256219404414,137.43343780595578,279.66912438808833,-545874621
05/03/2025,00:00:00,272.92,279.55,267.71,279.1,94042913,8.267678781873371,2.112247113609892,6.155431668263479,49.89352270920215,272.039,403.112656834621,140.96534316537893,262.14731366924207,-639917534
05/05/2025,00:00:00,284.57,284.85,274.4,280.26,94618882,6.914970516428582,3.0727917941736305,3.842178722254952,49.9604061753657,271.8195,402.8226308748001,140.8163691251999,262.0062617496002,-545298652
05/06/2024,00:00:00,175.35,176.15,172.13,175.0,57953756,-2.620455851272368,1.9341422650844309,-4.554598116356798,44.19549097213423,267.20550000000003,404.8548589487434,129.55614105125667,275.2987178974868,-603252408
05/06/2025,00:00:00,322.49,324.55,273.21,284.7,292818655,-1.3103715997414724,1.2852394921192505,-2.5956110918607225,50.59394541628765,272.381,404.3722159046957,140.38978409530424,263.9824318093915,-310433753
05/07/2024,00:00:00,249.81,252.37,242.46,251.52,154501152,-2.9158569115080013,0.4450202113938,-3.360877122901801,48.772422839433744,276.1425,401.0641784829599,151.22082151704006,249.84335696591984,-464934905
05/08/2024,00:00:00,185.22,203.88,182.0,198.88,100308836,-8.339688914612793,-1.3119216138075187,-7.027767300805275,45.946179218276,268.873,394.011606209275,143.734393790725,250.27721241855,-565243741
05/09/2024,00:00:00,223.49,235.0,222.25,230.17,119355013,-9.99802237670778,-3.049141766387571,-6.948880610320209,47.87956131702669,268.062,393.9807327763427,142.14326722365735,251.83746555268533,-445888728
05/11/2024,00:00:00,247.34,255.28,246.21,251.44,69282505,-9.48659677149206,-4.336632767408469,-5.149964004083591,49.2094665058214,270.10400000000004,393.5289978569982,146.67900214300187,246.84999571399635,-376606223
05/12/2024,00:00:00,359.87,375.43,359.5,369.49,81403569,0.4392961872551382,-3.381446976475748,3.820743163730886,55.93047135063188,276.5455,406.42961750094776,146.66138249905222,259.7682350018955,-295202654
06/01/2025,00:00:00,423.2,426.43,401.7,411.05,85516534,11.52631436077786,-0.3998947090250264,11.926209069802889,58.03582175354409,279.527,418.5643351441979,140.48966485580206,278.07467028839585,-209686120
06/02/2025,00:00:00,373.03,375.4,363.18,374.32,77918230,17.15134211085092,3.1103526549501628,14.040989455900757,55.51175401930222,278.6325,414.96236068723175,142.30263931276824,272.6597213744635,-287604350
06/03/2025,00:00:00,272.06,272.65,260.02,263.45,98451566,12.518627759929757,4.992007675946082,7.526620083983674,48.63571996704802,278.203,414.6672901421467,141.7387098578532,272.9285802842935,-386055916
06/05/2024,00:00:00,183.8,187.56,182.2,184.76,84390253,2.469080872342772,4.4874223152254205,-2.0183414428826483,44.42929919999106,275.46950000000004,417.0260757533009,133.91292424669916,283.1131515066017,-470446169
