date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,16:00:00,525.74,528.17,520.95,523.12,2962708,,,,,,,,,2962708
01/05/2024,16:00:00,479.26,489.19,477.07,484.11,2729234,,,,,,,,,233474
01/05/2025,16:00:00,411.32,411.99,399.86,400.68,9316805,,,,,,,,,-9083331
01/07/2024,16:00:00,506.75,508.91,492.89,494.65,4523141,,,,,,,,,-4560190
01/08/2024,16:00:00,577.2,587.5,567.1,572.77,3680778,,,,,,,,,-879412
01/10/2024,16:00:00,585.0,588.7,580.77,583.3,2648628,,,,,,,,,1769216
01/11/2024,16:00:00,565.12,570.33,563.9,567.56,2548368,,,,,,,,,-779152
02/01/2025,16:00:00,508.25,512.11,503.29,504.51,4237395,,,,,,,,,-5016547
02/04/2025,16:00:00,522.95,525.0,516.8,523.2,2378909,,,,,,,,,-2637638
02/05/2024,16:00:00,484.28,493.69,483.94,492.97,3561404,,,,,,,,,-6199042
02/05/2025,16:00:00,399.96,402.0,393.11,399.92,11392906,,,,,,,,,-17591948
02/06/2025,16:00:00,303.12,313.55,300.97,304.72,19074368,,,,,,,,,-36666316
02/07/2024,16:00:00,494.26,498.47,493.39,498.24,3312171,,,,,,,,,-33354145
02/08/2024,16:00:00,582.33,591.54,575.25,589.83,5094041,,,,57.08772763735687,,,,,-28260104
02/10/2024,16:00:00,604.26,604.52,584.25,592.31,3667113,,,,57.26154430875524,,,,,-24592991
02/12/2024,16:00:00,614.0,614.0,600.77,608.52,3365099,,,,58.44631811609726,,,,,-21227892
03/01/2025,16:00:00,506.35,516.29,505.38,513.0,3020428,,,,49.702676002299775,,,,,-24248320
03/02/2025,16:00:00,542.0,553.91,541.07,548.18,4083572,,,,52.51997143933725,,,,,-20164748
03/03/2025,16:00:00,474.37,477.27,465.21,467.05,5700194,,,,46.10615219962636,,,,,-25864942
03/04/2025,16:00:00,529.99,548.5,529.29,540.44,6457925,,,,51.8361390324168,510.454,657.1734962368669,363.7345037631332,293.4389924737337,-19407017
03/05/2024,16:00:00,490.86,492.79,485.78,492.45,2487811,,,,48.22545634208709,508.9205,655.7195033310853,362.1214966689147,293.59800666217063,-21894828
03/06/2024,16:00:00,494.13,498.68,493.07,497.44,2795265,,,,48.62616904426057,509.587,656.050028386006,363.123971613994,292.92605677201203,-19099563
03/06/2025,16:00:00,303.1,305.72,300.01,301.22,12805723,,,,36.62295351198475,504.614,670.9381118298847,338.2898881701153,332.6482236597694,-31905286
03/07/2024,13:00:00,497.12,498.08,486.52,489.89,2239210,,,,49.52475241154492,504.376,670.7700701347256,337.9819298652744,332.7881402694512,-29666076
03/09/2024,16:00:00,592.52,600.66,591.82,598.68,3175479,,,,55.18936462700662,505.6715,674.5601447663075,336.7828552336926,337.77728953261493,-26490597
03/10/2024,16:00:00,590.61,593.23,584.37,592.75,2645877,2.8386092628254573,,,54.82816620257189,506.14400000000006,675.9491163422351,336.338883657765,339.61023268447013,-29136474
03/12/2024,16:00:00,610.85,615.75,604.82,605.23,2329878,9.881762814163269,,,55.488415702159614,508.0275,681.3157261291863,334.7392738708137,346.57645225837257,-26806596
04/02/2025,16:00:00,545.2,548.81,541.51,545.45,2869935,10.51851545052,,,51.59797312207812,510.07450000000006,684.1137559711746,336.0352440288256,348.078511942349,-29676531
04/03/2025,16:00:00,469.75,479.21,466.46,474.61,5864135,5.246472468172442,,,47.360380597797445,507.645,682.2392242458209,333.0507757541791,349.1884484916418,-35540666
04/04/2025,16:00:00,540.64,551.74,524.84,525.05,9918989,5.079869305727243,,,50.47896480487911,509.2490000000001,683.863912181062,334.6340878189381,349.2298243621239,-25621677
04/06/2024,16:00:00,498.56,508.27,494.59,505.49,3178436,3.331107633660736,,,49.26020148685242,514.5275,681.8331402964347,347.2218597035653,334.61128059286943,-28800113
04/06/2025,16:00:00,303.54,307.64,300.2,300.38,11255616,-14.43901741007977,,,38.706677607231896,514.3104999999999,682.7117525458168,345.90924745418306,336.80250509163375,-40055729
04/09/2024,16:00:00,600.0,607.94,597.88,604.18,2935040,-3.9621750094767663,,,54.31779501024342,519.6075,692.2643916522013,346.9506083477986,345.3137833044027,-37120689
04/10/2024,16:00:00,592.13,596.13,588.44,591.2,2463201,3.255888694807368,0.712300567098585,2.543588127708783,53.68861540407248,519.676,692.4453282269744,346.9066717730257,345.5386564539487,-39583890
04/11/2024,16:00:00,566.74,568.59,555.42,557.77,2656777,6.207182039248778,1.811276861528624,4.395905177720154,52.01741832878295,517.949,688.4553096662407,347.4426903337592,341.0126193324816,-42240667
04/12/2024,16:00:00,611.02,622.83,606.97,610.79,4147575,12.6782274568111,3.98466698058512,8.693560476225981,54.4396757727209,518.0625,688.8126659003586,347.31233409964136,341.5003318007173,-38093092
05/02/2025,16:00:00,530.73,540.7,521.91,539.81,4621558,11.941431388441856,5.576019862156468,6.3654115262853885,50.74631165661236,519.403,690.3939248001191,348.4120751998809,341.9818496002381,-42714650
05/03/2025,16:00:00,471.07,479.08,471.01,475.98,3637102,6.136232971475124,5.688062484020199,0.4481704874549246,47.61772106577494,515.793,687.2492807365189,344.3367192634811,342.91256147303784,-46351752
05/05/2025,16:00:00,399.12,409.7,397.59,404.81,8157196,-4.1593069047406175,3.718588606268036,-7.877895511008654,44.33560667840801,512.681,689.7312394124335,335.6307605875666,354.1004788248669,-54508948
05/06/2024,16:00:00,508.7,509.1,498.8,503.12,2464359,-4.335820404285869,2.1077068041572558,-6.443527208443124,49.51233966907347,510.815,687.4418087805471,334.18819121945273,353.2536175610944,-52044589
05/06/2025,16:00:00,300.38,302.42,294.11,295.84,13627792,-20.959860093054488,-2.505806575285093,-18.454053517769395,40.87991730934386,500.9844999999999,700.9491722273712,301.0198277726287,399.9293444547425,-65672381
05/07/2024,16:00:00,489.0,489.67,484.5,488.01,3498996,-18.41573323846524,-5.687791907921122,-12.727941330544114,49.64532125601836,500.513,700.5533352426705,300.47266475732954,400.080670485341,-62173385
05/08/2024,16:00:00,582.12,586.82,566.76,569.96,4587352,-9.6752836146307,-6.485290249263038,-3.189993365367662,52.85540846167526,513.95,693.7136254641077,334.1863745358923,359.52725092821544,-57586033
05/09/2024,16:00:00,604.19,606.0,589.67,595.49,2144906,-0.6805121587531744,-5.324334631161065,4.643822472407891,53.84260768836064,519.23,702.0343353971673,336.4256646028328,365.6086707943345,-55441127
05/11/2024,16:00:00,558.28,568.74,554.4,567.03,2608133,4.104115188828928,-3.4386446671630666,7.542759855991994,52.522269521924585,517.6474999999999,698.2075047491137,337.0874952508861,361.1200094982276,-58049260
05/12/2024,16:00:00,605.64,608.99,573.89,578.97,5943684,8.758462937631634,-0.9992231462041264,9.75768608383576,53.04252651727764,516.9585,696.4690265186418,337.44797348135813,359.0210530372837,-52105576
06/01/2025,16:00:00,513.0,520.3,509.82,513.67,4444836,7.096103334128088,0.6198421498623167,6.476261184265772,49.82676240298477,512.3805,687.263283883949,337.497716116051,349.76556776789806,-56550412
06/02/2025,16:00:00,537.89,539.1,525.27,530.04,3926829,7.01868651276061,1.8996110224419755,5.119075490318634,50.634744161384674,511.61,686.0383997518752,337.18160024812465,348.8567995037505,-52623583
06/03/2025,16:00:00,476.0,488.12,472.0,487.72,4963988,3.502092860546668,2.220107390062914,1.281985470483754,48.46198163996044,512.2655000000001,686.230710139844,338.3002898601563,347.93042027968767,-57587571
06/05/2024,16:00:00,492.48,494.87,492.0,494.38,2029503,1.2382990548456974,2.023745723019471,-0.7854466681737735,48.83407993742717,510.732,684.7600936630636,336.7039063369364,348.05618732612714,-55558068
06/05/2025,16:00:00,402.8,404.72,393.42,394.51,7858592,-8.516277847681806,-0.0842589911207845,-8.432018856561022,43.7348655987346,505.183,686.4524864669727,323.9135135330273,362.5389729339454,-63416660
06/06/2024,16:00:00,503.65,504.7,497.28,501.92,2419608,-7.493381941141365,-1.5660835811249008,-5.927298360016464,49.80545836871162,515.26,670.3912949730003,360.1287050269997,310.2625899460006,-60997052
06/06/2025,16:00:00,297.23,304.39,297.15,303.22,12588977,-22.45728535406681,-5.744323935713283,-16.71296141835353,40.99396531936728,500.212,675.0570414052397,325.36695859476026,349.69008281047945,-73586029
06/08/2024,16:00:00,568.21,577.52,562.53,568.35,3216525,-12.775246314574588,-7.150508411485545,-5.624737903089043,52.954186965009605,499.0695,671.8073402637939,326.331659736206,345.4756805275879,-70369504
06/09/2024,16:00:00,595.87,600.61,592.26,596.88,2926369,-2.7681189039801097,-6.274030509984458,3.5059116060043483,54.03389925694201,501.0249999999999,677.2274250116892,324.82257498831063,352.4048500233786,-67443135
