date,time,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv
01/04/2025,16:00:00,119.22,119.28,117.93,119.04,12425434,,,,,,,,,12425434
01/05/2024,16:00:00,118.28,118.47,115.66,116.03,27789759,,,,,,,,,-15364325
01/05/2025,16:00:00,105.1,106.92,104.98,105.78,18610256,,,,,,,,,-33974581
01/07/2024,16:00:00,115.71,116.74,114.53,114.96,11972881,,,,,,,,,-22001700
01/08/2024,16:00:00,118.35,119.49,116.36,116.95,15051482,,,,,,,,,-6950218
01/10/2024,16:00:00,116.04,120.6,115.93,119.93,23235878,,,,,,,,,16285660
01/11/2024,16:00:00,119.93,119.95,114.84,114.95,20939321,,,,,,,,,-4653661
02/01/2025,16:00:00,108.28,109.0,106.88,107.31,12685447,,,,,,,,,-17339108
02/04/2025,16:00:00,118.39,118.84,117.66,118.67,12614605,,,,,,,,,-4724503
02/05/2024,16:00:00,116.26,117.26,115.9,116.24,25513648,,,,,,,,,-30238151
02/05/2025,16:00:00,107.72,109.0,104.55,106.21,16581870,,,,,,,,,-46820021
02/06/2025,16:00:00,103.75,103.85,102.22,103.05,17290462,,,,,,,,,-64110483
02/07/2024,16:00:00,115.9,115.94,113.49,114.18,13326703,,,,,,,,,-50783780
02/08/2024,16:00:00,115.97,118.87,115.42,116.88,20403773,,,,51.59297575191796,,,,,-30380007
02/10/2024,16:00:00,121.93,122.82,120.2,121.52,17129676,,,,55.68474986968516,,,,,-13250331
02/12/2024,16:00:00,118.05,118.2,116.82,117.85,12687317,,,,51.94470095240477,,,,,-25937648
03/01/2025,16:00:00,108.0,108.49,107.46,107.86,14237885,,,,43.39970446040447,,,,,-40175533
03/02/2025,16:00:00,106.64,107.3,105.32,107.09,14623197,,,,42.815079553142354,,,,,-54798730
03/03/2025,16:00:00,111.7,112.16,106.51,107.76,18706879,,,,43.52792122082937,,,,,-36091851
03/04/2025,16:00:00,114.37,115.45,112.23,112.43,21204636,,,,48.35990380319104,113.2345,124.09527064484836,102.37372935515164,21.72154128969672,-14887215
03/05/2024,16:00:00,116.0,116.07,114.13,116.0,28023313,,,,51.75812601478114,113.0825,123.69630021481468,102.46869978518534,21.227600429629348,13136098
03/06/2024,16:00:00,116.3,116.36,113.76,114.45,19589338,,,,50.21312024261215,113.0035,123.55168709542068,102.45531290457927,21.0963741908414,-6453240
03/06/2025,16:00:00,102.9,104.66,102.21,103.8,19194335,,,,41.12866707313244,112.9045,123.7548520219392,102.05414797806084,21.70070404387837,-25647575
03/07/2024,13:00:00,114.27,115.66,114.27,114.76,7732928,,,,50.96123084908575,112.8945,123.73762219796492,102.05137780203506,21.68624439592986,-17914647
03/09/2024,16:00:00,115.84,116.09,114.04,115.47,15725139,,,,51.52604277254813,112.8205,123.57171476857384,102.06928523142616,21.502429537147663,-2189508
03/10/2024,16:00:00,121.9,123.17,120.93,122.58,16524334,-0.1446789344663699,,,56.881799678775465,112.953,124.10911778353024,101.79688221646975,22.312235567060497,14334826
03/12/2024,16:00:00,118.72,118.72,117.26,117.67,11756566,0.1458852599747331,,,52.56276070378337,113.089,124.40436106361614,101.77363893638388,22.630722127232247,2578260
04/02/2025,16:00:00,106.71,110.28,106.53,109.96,14835692,-0.2431699752634415,,,46.58159640811024,113.22150000000002,124.32311839553137,102.11988160446867,22.203236791062693,-12257432
04/03/2025,16:00:00,106.36,108.96,105.94,107.54,19394905,-0.7382625957461926,,,44.85625039873431,112.665,123.7341381778348,101.5958618221652,22.138276355669603,-31652337
04/04/2025,16:00:00,109.87,110.83,103.83,104.34,30841318,-1.3730130807882688,,,42.60884758915107,112.07,123.57715951049607,100.56284048950394,23.014319020992133,-62493655
04/06/2024,16:00:00,113.0,113.09,110.92,112.67,19412238,-1.1901764171512923,,,49.676975404069445,112.393,123.58234689783096,101.203653102169,22.37869379566197,-43081417
04/06/2025,16:00:00,103.92,104.92,102.3,102.3,15648515,-1.860601522083556,,,42.63709203383135,112.3555,123.67412443055692,101.03687556944308,22.637248861113846,-58729932
04/09/2024,16:00:00,115.29,116.15,113.98,114.06,12620584,-1.426540262163428,,,51.10021276914397,112.3495,123.66437600462328,101.0346239953767,22.629752009246573,-46109348
04/10/2024,16:00:00,123.2,125.19,122.43,124.83,19759207,-0.2110616082412377,-0.8222531686368637,0.6111915603956259,57.31177123532189,112.747,125.1744649064079,100.3195350935921,24.85492981281581,-26350141
04/11/2024,16:00:00,116.07,118.7,115.93,118.61,14965433,0.2474594067489732,-0.6083106535596964,0.8557700603086696,53.11540422995607,112.60150000000002,124.67788402006164,100.5251159799384,24.15276804012325,-41315574
04/12/2024,16:00:00,117.5,117.55,113.86,114.28,19520583,0.2584663625760868,-0.4349552503325397,0.6934216129086266,50.35149245597759,112.423,124.28747318678752,100.55852681321248,23.72894637357504,-60836157
05/02/2025,16:00:00,109.74,110.01,109.1,109.88,13364387,-0.0868525906941499,-0.3653347184048618,0.2784821277107118,47.63872079661158,112.524,124.26512839551631,100.78287160448367,23.48225679103265,-74200544
05/03/2025,16:00:00,105.84,106.33,103.67,105.44,24822245,-0.7105998892312897,-0.4343877525701474,-0.2762121366611423,45.00381438890323,112.4415,124.35610494519226,100.52689505480772,23.829209890384533,-99022789
05/05/2025,16:00:00,104.65,104.66,103.07,103.27,19623970,-1.3642982013133178,-0.6203698423187816,-0.7439283589945362,43.73074115468338,112.21699999999998,124.63457641409948,99.7994235859005,24.83515282819897,-118646759
05/06/2024,16:00:00,112.89,113.19,111.48,113.12,14863516,-1.075152454923867,-0.7113263648397986,-0.3638260900840681,50.56649820273025,112.2515,124.6750844666505,99.82791553334948,24.84716893330102,-103783243
05/06/2025,16:00:00,102.98,103.05,101.73,101.83,13942218,-1.736988095730723,-0.9164587110179836,-0.8205293847127395,43.97263002501896,111.543,124.62920815973824,98.45679184026176,26.172416319476497,-117725461
05/07/2024,16:00:00,114.61,114.63,112.69,113.37,12630986,-1.3151557562405998,-0.996198120062507,-0.3189576361780928,51.005339606146144,111.489,124.53563312889575,98.44236687110426,26.093266257791495,-105094475
05/08/2024,16:00:00,115.54,116.03,113.25,114.77,18025858,-0.8579918918965745,-0.9685568744293204,0.1105649825327459,51.79586110677048,112.0375,124.6604978610471,99.41450213895288,25.24599572209422,-87068617
05/09/2024,16:00:00,115.07,115.28,113.07,113.17,17200770,-0.6176727173604064,-0.8983800430155376,0.2807073256551312,50.78731258373047,111.958,124.53134100388596,99.38465899611406,25.146682007771915,-104269387
05/11/2024,16:00:00,119.08,119.21,118.01,118.96,10436744,0.0395308833999621,-0.7107978577324378,0.7503287411323999,54.258331694662,112.1325,124.9896332341234,99.27536676587664,25.714266468246763,-93832643
05/12/2024,16:00:00,114.71,115.62,114.06,114.78,15751204,0.2205362015637746,-0.5245310458731953,0.74506724743697,51.437715490799896,111.7425,123.75371455140986,99.73128544859011,24.02242910281973,-109583847
06/01/2025,16:00:00,108.24,109.78,107.52,107.74,15623677,-0.2017591896362489,-0.459976674625806,0.2582174849895571,47.00562655047733,111.246,123.05532580632782,99.4366741936722,23.61865161265561,-125207524
06/02/2025,16:00:00,110.77,111.05,107.99,108.43,13411401,-0.4752754170478113,-0.4630364231102071,-0.0122389939376041,47.48325012096802,111.1695,123.03086497204262,99.30813502795738,23.722729944085245,-111796123
06/03/2025,16:00:00,105.43,108.11,104.36,107.62,17150233,-0.7487678981589028,-0.5201827181199463,-0.2285851800389564,46.94832048269552,111.1735,123.0300193459126,99.3169806540874,23.713038691825204,-128946356
06/05/2024,16:00:00,116.67,118.34,116.4,116.75,31401260,-0.2261905782526696,-0.461384290146491,0.2351937118938213,53.33038103475015,111.79399999999998,123.4523487681575,100.13565123184246,23.316697536315047,-97545096
06/05/2025,16:00:00,103.89,105.98,103.48,104.71,16303449,-0.7746420731608765,-0.5240358467493682,-0.2506062264115083,45.54862751230502,111.396,123.44451094534092,99.34748905465908,24.097021890681845,-113848545
06/06/2024,16:00:00,112.75,114.04,112.11,113.97,13154094,-0.4568232492495099,-0.5105933272493965,0.0537700779998866,51.41987750890844,111.9795,123.31891704850828,100.64008295149172,22.678834097016534,-100694451
06/06/2025,16:00:00,102.76,104.5,102.68,104.27,15487844,-0.9764031080169532,-0.6037552834029078,-0.3726478246140452,45.84358272871512,111.49,123.26478322518084,99.71521677481918,23.54956645036165,-116182295
06/08/2024,16:00:00,114.45,115.63,113.63,114.16,13647778,-0.5834083750510928,-0.5996859017325449,0.0162775266814521,51.60612738319614,110.9565,121.12221153436886,100.79078846563117,20.331423068737703,-102534517
06/09/2024,16:00:00,113.59,114.18,111.73,112.64,13467747,-0.3901115515017466,-0.5577710316863852,0.1676594801846386,50.71299544212447,110.658,120.24115730852832,101.07484269147166,19.166314617056656,-116002264
06/11/2024,16:00:00,121.15,121.91,119.3,121.0,20807681,0.432672131353172,-0.3596823990784737,0.7923545304316458,55.29559628444839,110.994,121.48937688699168,100.49862311300828,20.99075377398341,-95194583
06/12/2024,16:00:00,114.54,114.77,113.5,113.57,16171066,0.4796659326628258,-0.1918127327302138,0.6714786653930398,50.77690136793634,111.1785,121.71869596592018,100.63830403407984,21.080391931840325,-111365649
07/01/2025,16:00:00,108.94,110.06,108.28,108.75,12625890,0.1265167350260725,-0.1281468391789566,0.2546635742050291,48.03457383069758,111.344,121.6191942074104,101.06880579258964,20.55038841482076,-123991539
07/02/2025,16:00:00,108.78,109.73,108.32,108.89,10051626,-0.1404408042622691,-0.1306056321956191,-0.0098351720666499,48.122213402916586,111.625,121.2909350297837,101.9590649702163,19.331870059567397,-113939913
07/03/2025,16:00:00,108.41,110.4,108.3,109.02,19624965,-0.3376247361347708,-0.1720094529834495,-0.1656152831513213,48.20955786496256,111.42,121.12424649315956,101.71575350684044,19.40849298631912,-94314948
07/04/2025,16:00:00,100.39,105.8,98.46,102.94,35068450,-0.9732802413210776,-0.3322636106509752,-0.6410166306701025,44.44094015804434,111.47549999999998,120.97015844567352,101.98084155432645,18.989316891347077,-129383398
07/05/2024,16:00:00,117.28,117.58,115.93,116.17,30121973,-0.4048248081613792,-0.346775850153056,-0.0580489580083232,53.042795224599935,111.6155,121.29847366515058,101.9325263348494,19.365947330301168,-99261425
07/05/2025,16:00:00,104.99,105.29,104.07,104.61,12335924,-0.877005596333575,-0.4528217993891598,-0.4241837969444152,46.29781878911071,111.1075,121.13510963540163,101.07989036459836,20.055219270803263,-111597349
07/06/2024,16:00:00,113.79,114.9,112.67,112.75,13289196,-0.5876087141740811,-0.479779182346144,-0.107829531827937,51.02080751958525,111.0865,121.09849136036382,101.07450863963618,20.023982720727645,-98308153
07/08/2024,16:00:00,115.45,117.12,115.26,115.68,13660657,-0.1204446758534203,-0.4079122810475993,0.2874676051941789,52.63555758745208,110.9225,120.51176665600656,101.3332333439934,19.17853331201317,-84647496
07/10/2024,16:00:00,125.25,126.34,124.86,125.37,15714440,1.0199310769716448,-0.1223436094437505,1.1422746864153952,57.61259966609371,111.452,122.83631130986848,100.0676886901315,22.768622619736988,-68933056
07/11/2024,16:00:00,121.3,121.5,119.61,121.15,12184431,1.565126540558552,0.21515042055671,1.349976120001842,54.90666500007433,112.1225,124.11661168032045,100.12838831967954,23.988223360640887,-81117487
08/01/2025,16:00:00,107.31,107.71,106.01,106.93,17858110,0.8400788092883715,0.3401360983030423,0.4999427109853292,46.91112955126751,112.0475,124.15128928269982,99.94371071730016,24.207578565399672,-98975597
08/04/2025,16:00:00,105.46,105.6,99.01,100.77,27147750,-0.2289480891060833,0.2263192608212172,-0.4552673499273005,43.92698612034103,111.705,124.64904650795106,98.76095349204896,25.888093015902086,-126123347
08/05/2024,16:00:00,115.71,116.95,115.41,116.15,18957166,0.1629989060447769,0.2136551898659291,-0.0506562838211522,52.11701327538447,111.675,124.57484263469904,98.77515736530094,25.79968526939811,-107166181
08/05/2025,16:00:00,105.34,107.39,105.34,106.07,19196548,-0.3358802163418204,0.1037481086243792,-0.4396283249661997,47.24634513541781,111.743,124.50890787997469,98.97709212002532,25.531815759949357,-126362729
08/07/2024,16:00:00,112.39,113.55,111.42,112.18,13350549,-0.2355048254328267,0.035897521812938,-0.2714023472457648,50.27960061625304,111.65349999999998,124.38074051002413,98.92625948997583,25.45448102004829,-113012180
08/08/2024,16:00:00,116.08,118.11,115.73,117.89,13850993,0.3013192537743094,0.0889818682052123,0.2123373855690971,52.99941509447948,112.3345,124.8645909414098,99.80440905859022,25.060181882819563,-99161187
08/10/2024,16:00:00,123.88,124.02,121.26,122.04,14818475,1.0495282132240789,0.2810911372089856,0.7684370760150931,54.92914761683664,112.7285,125.94042987417052,99.51657012582947,26.423859748341044,-84342712
08/11/2024,16:00:00,120.98,121.42,119.66,121.11,12835969,1.549583344266196,0.5347895786204278,1.0147937656457684,54.39021537360541,113.152,126.85915229360202,99.44484770639798,27.414304587204043,-97178681
09/04/2025,16:00:00,99.37,106.58,98.13,105.8,30063287,0.702394819079629,0.5683106267122681,0.1340841923673609,46.33120319871652,112.392,125.95915828757074,98.82484171242928,27.13431657514147,-127241968
09/05/2024,16:00:00,116.2,118.53,116.19,118.44,17563975,1.0389577145137423,0.662440044272563,0.3765176702411793,52.5785095055953,112.6355,126.45102528860194,98.81997471139807,27.631050577203865,-109677993
09/05/2025,16:00:00,107.14,107.75,106.38,107.31,10992080,0.4029433708850547,0.6105407095950613,-0.2075973387100066,47.35167162356568,112.5635,126.47395545623864,98.65304454376135,27.820910912477277,-120670073
09/06/2025,16:00:00,104.33,105.85,103.83,104.97,17087328,-0.2866170792044897,0.4311091518351511,-0.7177262310396408,46.309342785574536,112.3675,126.586516667829,98.14848333217098,28.43803333565802,-137757401
09/07/2024,16:00:00,111.11,112.54,110.62,110.94,11729085,-0.3473653853520773,0.2754142443977055,-0.6227796297497827,49.37136817002428,112.4635,126.61659051055632,98.31040948944369,28.30618102111265,-126028316
09/08/2024,16:00:00,117.89,119.31,117.36,118.85,12151867,0.2399955187812992,0.2683304992744242,-0.028334980493125,53.18129227637926,113.259,126.96289565050756,99.55510434949248,27.407791301015067,-113876449
09/09/2024,16:00:00,112.87,116.15,112.66,115.01,21645325,0.3911187853384348,0.2928881564872264,0.0982306288512084,51.16821777453298,113.201,126.86488363533586,99.53711636466412,27.32776727067173,-135521774
09/10/2024,16:00:00,120.9,122.58,120.8,122.09,11144864,1.0698493356571248,0.4482803923212061,0.6215689433359187,54.58185284401267,114.075,127.66499705665896,100.48500294334104,27.17999411331792,-124376910
09/12/2024,16:00:00,114.64,114.94,112.75,112.9,17412565,0.8563208570104308,0.5298884852590511,0.3264323717513797,49.72294872473259,114.0825,127.66972911413508,100.49527088586495,27.17445822827011,-141789475
10/01/2025,16:00:00,108.7,110.1,105.78,106.54,19304499,0.171917395312775,0.4582942672697959,-0.2863768719570208,46.629271680680056,113.62550000000002,127.5770181611178,99.67398183888224,27.90303632223555,-161093974
10/02/2025,16:00:00,110.01,111.03,109.88,110.97,12142197,-0.0128650022601988,0.3640624133637969,-0.3769274156239958,49.00908137335183,112.9055,125.8049162271011,100.0060837728989,25.7988324542022,-148951777
10/03/2025,16:00:00,109.28,112.57,109.08,111.8,22749073,-0.0912801000480101,0.2729939106814356,-0.3642740107294457,49.46375640574179,112.43800000000002,124.773752267292,100.10224773270804,24.67150453458396,-126202704
10/04/2025,16:00:00,103.71,103.78,97.8,99.93,33999317,-1.098570788057856,-0.0013190290664227,-1.0972517589914332,43.49111885040659,112.088,125.3884956298628,98.78750437013724,26.60099125972556,-160202021
10/05/2024,16:00:00,118.54,118.66,117.58,117.96,13648130,-0.4369487255235924,-0.0884449683578566,-0.3485037571657358,52.811701737464354,112.9475,125.4064275220622,100.48857247793778,24.917855044124423,-146553891
10/06/2024,16:00:00,113.06,114.22,112.7,113.08,15245227,-0.3028921383469196,-0.1313344023556693,-0.1715577359912503,50.38915471229438,112.794,125.16666891175866,100.42133108824136,24.745337823517303,-161799118
10/06/2025,16:00:00,106.08,107.65,105.93,107.22,17634793,-0.6618746738826218,-0.2374424566610598,-0.424432217221562,47.56743259027499,112.85150000000002,125.1087905244185,100.59420947558154,24.51458104883696,-179433911
